name,slug,description,price,old_price,image_url,category_id,manufacturer,model,in_stock,featured,specifications
Амортизатор капота L-630 мм,амортизатор-капота-l-630-мм-0,,956.45,,https://tata-agro-moto.com/image/cache/catalog/products/1c/8830/8830-1-410x410.jpg,313,DongFeng,,true,false,"{'article': '8830', 'source_url': 'https://tata-agro-moto.com/ru/amortizator-kapota-l-630-mm/', 'stock_info': 'В наличии'}"
"Амортизатор капота на трактор Dongfeng, L-700 мм","амортизатор-капота-на-трактор-dongfeng,-l-700-мм-1",,995.3,,https://tata-agro-moto.com/image/cache/catalog/products/1c/7483/7483-1-410x410.jpg,313,DongFeng,,false,false,"{'article': '7483', 'source_url': 'https://tata-agro-moto.com/ru/amortizator-kapota-na-traktor-dongfeng-l-700-mm/', 'stock_info': 'Уточняйте'}"
Амперметр DongFeng 240/244,амперметр-dongfeng-240-244-2,,471.75,,https://tata-agro-moto.com/image/cache/catalog/products/1c/8334/8334-1-410x410.JPEG,313,DongFeng,,true,false,"{'article': '8334', 'source_url': 'https://tata-agro-moto.com/ru/ampermetr-dongfeng-240-244/', 'stock_info': 'В наличии'}"
Бак топливный TTG DongFeng 240/244,бак-топливный-ttg-dongfeng-240-244-3,,6682.2,,https://tata-agro-moto.com/image/cache/catalog/products/1c/8384/8384-1-410x410.JPEG,313,DongFeng,,false,false,"{'article': '8384', 'source_url': 'https://tata-agro-moto.com/ru/bak-toplivnyy-ttg-dongfeng-240-244/', 'stock_info': 'Уточняйте'}"
Балка левая телескопическая DongFeng 240/244,балка-левая-телескопическая-dongfeng-240-244-4,,4068.15,,https://tata-agro-moto.com/image/cache/catalog/products/1c/8385/8385-1-410x410.JPEG,313,DongFeng,,true,false,"{'article': '8385', 'source_url': 'https://tata-agro-moto.com/ru/balka-levaya-teleskopicheskaya-dongfeng-240-244/', 'stock_info': 'В наличии'}"
Балка передняя центральная DongFeng 240/244,балка-передняя-центральная-dongfeng-240-244-5,,5840.45,,https://tata-agro-moto.com/image/cache/catalog/products/1c/8386/8386-1-410x410.JPEG,313,DongFeng,,false,false,"{'article': '8386', 'source_url': 'https://tata-agro-moto.com/ru/balka-perednyaya-centralynaya-dongfeng-240-244/', 'stock_info': 'Уточняйте'}"
Балка правая телескопическая DongFeng 240/244,балка-правая-телескопическая-dongfeng-240-244-6,,4068.15,,https://tata-agro-moto.com/image/cache/catalog/products/1c/8387/8387-1-410x410.JPEG,313,DongFeng,,true,false,"{'article': '8387', 'source_url': 'https://tata-agro-moto.com/ru/balka-pravaya-teleskopicheskaya-dongfeng-240-244/', 'stock_info': 'В наличии'}"
Барабан тормозной DongFeng 244/240,барабан-тормозной-dongfeng-244-240-7,,1343.1,,https://tata-agro-moto.com/image/cache/catalog/products/1c/7491/7491-1-410x410.JPEG,313,DongFeng,,false,false,"{'article': '7491', 'source_url': 'https://tata-agro-moto.com/ru/baraban-tormoznoy-dongfeng-244-240/', 'stock_info': 'Уточняйте'}"
Барабан тормозной DongFeng 354,барабан-тормозной-dongfeng-354-8,,1130.35,,https://tata-agro-moto.com/image/cache/catalog/products/1c/7492/7492-1-410x410.JPEG,313,DongFeng,,true,false,"{'article': '7492', 'source_url': 'https://tata-agro-moto.com/ru/baraban-tormoznoy-dongfeng-354/', 'stock_info': 'В наличии'}"
Блок переключателей (перекл.света + аварийка) DongFeng 240/2..,блок-переключателей-(перекл.света-+-аварийка)-dong-9,,1361.6,,https://tata-agro-moto.com/image/cache/catalog/products/1c/8831/8831-1-410x410.jpg,313,DongFeng,,true,false,"{'article': '8831', 'source_url': 'https://tata-agro-moto.com/ru/blok-pereklyuchateley-perekl-sveta-avariyka-dongfeng-240-244/', 'stock_info': 'В наличии'}"
Блок переключателей (повороты + сигнал) DongFeng 240/244,блок-переключателей-(повороты-+-сигнал)-dongfeng-2-10,,1272.8,,https://tata-agro-moto.com/image/cache/catalog/products/1c/8684/8684-1-410x410.jpg,313,DongFeng,,true,false,"{'article': '8684', 'source_url': 'https://tata-agro-moto.com/ru/blok-pereklyuchateley-povoroty-signal-dongfeng-240-244/', 'stock_info': 'В наличии'}"
Блок предохранителей на трактор DongFeng 240/244,блок-предохранителей-на-трактор-dongfeng-240-244-11,,1243.2,,https://tata-agro-moto.com/image/cache/catalog/products/1c/7104/7104-1-410x410.jpeg,313,DongFeng,,true,false,"{'article': '7104', 'source_url': 'https://tata-agro-moto.com/ru/blok-predohraniteley-na-traktor-dongfeng-240-244/', 'stock_info': 'В наличии'}"
Болт крепления груза заднего колеса DongFeng 240/244,болт-крепления-груза-заднего-колеса-dongfeng-240-2-12,,207.2,,https://tata-agro-moto.com/image/cache/catalog/products/1c/8388/8388-1-410x410.JPEG,313,DongFeng,,true,false,"{'article': '8388', 'source_url': 'https://tata-agro-moto.com/ru/bolt-krepleniya-gruza-zadnego-kolesa-dongfeng-240-244/', 'stock_info': 'В наличии'}"
Болт регулировочный сцепления 1 DongFeng 354/404,болт-регулировочный-сцепления-1-dongfeng-354-404-13,,212.75,,https://tata-agro-moto.com/image/cache/catalog/products/1c/4472/4472-1-410x410.JPG,313,DongFeng,,true,false,"{'article': '4472', 'source_url': 'https://tata-agro-moto.com/ru/bolt-regulirovochnyy-scepleniya-1-dongfeng-354-404/', 'stock_info': 'В наличии'}"
Болт регулировочный сцепления 1 TTG на трактор DongFeng 354/..,болт-регулировочный-сцепления-1-ttg-на-трактор-don-14,,151.7,,https://tata-agro-moto.com/image/cache/catalog/products/1c/4472D/4472D-1-410x410.jpg,313,DongFeng,,true,false,"{'article': '4472D', 'source_url': 'https://tata-agro-moto.com/ru/bolt-regulirovochnyy-scepleniya-1-ttg-na-traktor-dongfeng-354-404-ucenka/', 'stock_info': 'В наличии'}"
Болт регулировочный сцепления 2 DongFeng 354/404,болт-регулировочный-сцепления-2-dongfeng-354-404-15,,186.85,,https://tata-agro-moto.com/image/cache/catalog/products/1c/4473/4473-1-410x410.JPG,313,DongFeng,,true,false,"{'article': '4473', 'source_url': 'https://tata-agro-moto.com/ru/bolt-regulirovochnyy-scepleniya-2-dongfeng-354-404/', 'stock_info': 'В наличии'}"
"Болт сцепления регулировочный TTG, L= 65 мм, тип 2, для Dong..","болт-сцепления-регулировочный-ttg,-l=-65-мм,-тип-2-16",,151.7,,https://tata-agro-moto.com/image/cache/catalog/products/1c/46030/46030-1-410x410.jpg,313,DongFeng,,true,false,"{'article': '46030', 'source_url': 'https://tata-agro-moto.com/ru/bolt-scepleniya-regulirovochnyy-ttg-l-65-mm-tip-2-dlya-dongfeng-244-240/', 'stock_info': 'В наличии'}"
Болт сцепления регулировочный на трактор DongFeng 244/240,болт-сцепления-регулировочный-на-трактор-dongfeng--17,,159.1,,https://tata-agro-moto.com/image/cache/catalog/products/1c/7493/7493-1-410x410.jpg,313,DongFeng,,true,false,"{'article': '7493', 'source_url': 'https://tata-agro-moto.com/ru/bolt-scepleniya-regulirovochnyy-na-traktor-dongfeng-244-240/', 'stock_info': 'В наличии'}"
Болт фиксирующий оси сателлита DongFeng 240/244,болт-фиксирующий-оси-сателлита-dongfeng-240-244-18,,138.75,,https://tata-agro-moto.com/image/cache/catalog/products/1c/8389/8389-1-410x410.JPEG,313,DongFeng,,true,false,"{'article': '8389', 'source_url': 'https://tata-agro-moto.com/ru/bolt-fiksiruyuschiy-osi-satellita-dongfeng-240-244/', 'stock_info': 'В наличии'}"
"Вал L-377 мм, Z-19/19 DongFeng 354/404","вал-l-377-мм,-z-19-19-dongfeng-354-404-19",,1814.85,,https://tata-agro-moto.com/image/cache/catalog/products/1c/7276/7276-1-410x410.JPEG,313,DongFeng,,true,false,"{'article': '7276', 'source_url': 'https://tata-agro-moto.com/ru/val-l-377-mm-z-19-19-dongfeng-354-404/', 'stock_info': 'В наличии'}"
Вал вилки 1-й и задней передачи L-215 мм DongFeng 240/244,вал-вилки-1-й-и-задней-передачи-l-215-мм-dongfeng--20,,373.7,,https://tata-agro-moto.com/image/cache/catalog/products/1c/7265/7265-1-410x410.JPEG,313,DongFeng,,true,false,"{'article': '7265', 'source_url': 'https://tata-agro-moto.com/ru/val-vilki-1-y-i-zadney-peredachi-l-215-mm-dongfeng-240-244/', 'stock_info': 'В наличии'}"
Вал вилки 2-й передачи L-345 мм DongFeng 240/244,вал-вилки-2-й-передачи-l-345-мм-dongfeng-240-244-21,,416.25,,https://tata-agro-moto.com/image/cache/catalog/products/1c/7266/7266-1-410x410.JPEG,313,DongFeng,,true,false,"{'article': '7266', 'source_url': 'https://tata-agro-moto.com/ru/val-vilki-2-y-peredachi-l-345-mm-dongfeng-240-244/', 'stock_info': 'В наличии'}"
Вал вилки 3/4-й передачи L-215 мм DongFeng 240/244,вал-вилки-3-4-й-передачи-l-215-мм-dongfeng-240-244-22,,412.55,,https://tata-agro-moto.com/image/cache/catalog/products/1c/7267/7267-1-410x410.JPEG,313,DongFeng,,true,false,"{'article': '7267', 'source_url': 'https://tata-agro-moto.com/ru/val-vilki-3-4-y-peredachi-l-215-mm-dongfeng-240-244/', 'stock_info': 'В наличии'}"
Вал вилки блокировки дифференциала L-363 мм диаметр 20 мм Do..,вал-вилки-блокировки-дифференциала-l-363-мм-диамет-23,,673.4,,https://tata-agro-moto.com/image/cache/catalog/products/1c/7268/7268-1-410x410.JPEG,313,DongFeng,,true,false,"{'article': '7268', 'source_url': 'https://tata-agro-moto.com/ru/val-vilki-blokirovki-differenciala-l-363-mm-diametr-20-mm-dongfeng-354-404/', 'stock_info': 'В наличии'}"
Вал вилки включения оборотов ВОМ L-114 мм DongFeng,вал-вилки-включения-оборотов-вом-l-114-мм-dongfeng-24,,469.9,,https://tata-agro-moto.com/image/cache/catalog/products/1c/7494/7494-1-410x410.JPEG,313,DongFeng,,true,false,"{'article': '7494', 'source_url': 'https://tata-agro-moto.com/ru/val-vilki-vklyucheniya-oborotov-vom-l-114-mm-dongfeng/', 'stock_info': 'В наличии'}"
Вал вилки выключения сцепления DongFeng 240/244,вал-вилки-выключения-сцепления-dongfeng-240-244-25,,1272.8,,https://tata-agro-moto.com/image/cache/catalog/products/1c/8390/8390-1-410x410.JPEG,313,DongFeng,,true,false,"{'article': '8390', 'source_url': 'https://tata-agro-moto.com/ru/val-vilki-vyklyucheniya-scepleniya-dongfeng-240-244/', 'stock_info': 'В наличии'}"
Вал вилки повышенной/пониженной передачи с головкой DongFeng..,вал-вилки-повышенной-пониженной-передачи-с-головко-26,,431.05,,https://tata-agro-moto.com/image/cache/catalog/products/1c/8396/8396-1-410x410.JPEG,313,DongFeng,,true,false,"{'article': '8396', 'source_url': 'https://tata-agro-moto.com/ru/val-vilki-povyshennoy-ponizhennoy-peredachi-s-golovkoy-dongfeng-240-244/', 'stock_info': 'В наличии'}"
Вал входной (1000/540) DongFeng 354,вал-входной-(1000-540)-dongfeng-354-27,,2332.85,,https://tata-agro-moto.com/image/cache/catalog/products/1c/4474/4474-1-410x410.JPG,313,DongFeng,,true,false,"{'article': '4474', 'source_url': 'https://tata-agro-moto.com/ru/val-vhodnoy-1000-540-dongfeng-354/', 'stock_info': 'В наличии'}"
Вал выходной КПП L-270 мм Z-8/11 тип2 DongFeng 240/244,вал-выходной-кпп-l-270-мм-z-8-11-тип2-dongfeng-240-28,,2458.65,,https://tata-agro-moto.com/image/cache/catalog/products/1c/8846/8846-1-410x410.jpg,313,DongFeng,,true,false,"{'article': '8846', 'source_url': 'https://tata-agro-moto.com/ru/val-vyhodnoy-kpp-l-270-mm-z-8-11-tip2-dongfeng-240-244/', 'stock_info': 'В наличии'}"
Вал выходной КПП L-290 мм Z-8/11 тип1 DongFeng 240/244,вал-выходной-кпп-l-290-мм-z-8-11-тип1-dongfeng-240-29,,2490.1,,https://tata-agro-moto.com/image/cache/catalog/products/1c/7269/7269-1-410x410.JPG,313,DongFeng,,true,false,"{'article': '7269', 'source_url': 'https://tata-agro-moto.com/ru/val-vyhodnoy-kpp-l-290-mm-z-8-11-tip1-dongfeng-240-244/', 'stock_info': 'В наличии'}"
Вал конечной передачи DongFeng 240/244,вал-конечной-передачи-dongfeng-240-244-30,,2332.85,,https://tata-agro-moto.com/image/cache/catalog/products/1c/8391/8391-1-410x410.JPEG,313,DongFeng,,true,false,"{'article': '8391', 'source_url': 'https://tata-agro-moto.com/ru/val-konechnoy-peredachi-dongfeng-240-244/', 'stock_info': 'В наличии'}"
Вал отбора мощности L-250 мм Z-6 Z-28 DongFeng 244/240/354/4..,вал-отбора-мощности-l-250-мм-z-6-z-28-dongfeng-244-31,,2273.65,,https://tata-agro-moto.com/image/cache/catalog/products/1c/7495/7495-1-410x410.JPEG,313,DongFeng,,false,false,"{'article': '7495', 'source_url': 'https://tata-agro-moto.com/ru/val-otbora-moschnosti-l-250-mm-z-6-z-28-dongfeng-244-240-354-404/', 'stock_info': 'Уточняйте'}"
"Вал первичный на трактор DongFeng 244/240, L-260 мм Z-14/17","вал-первичный-на-трактор-dongfeng-244-240,-l-260-м-32",,2982.2,,https://tata-agro-moto.com/image/cache/catalog/products/1c/7496/7496-1-410x410.jpeg,313,DongFeng,,true,false,"{'article': '7496', 'source_url': 'https://tata-agro-moto.com/ru/val-pervichnyy-na-traktor-dongfeng-244-240-l-260-mm-z-14-17/', 'stock_info': 'В наличии'}"
