id,name,slug,description,image_url,created_at,updated_at
1,Мини-тракторы,mini-tractors,Компактные тракторы для сельского хозяйства,,2025-11-07T09:35:43.005841+00:00,2025-11-07T09:35:43.005841+00:00
2,Запчасти,parts,Запчасти для минитракторов,,2025-11-07T09:35:43.005841+00:00,2025-11-07T09:35:43.005841+00:00
3,Коммунальная техника,equipment,"Снегоуборщики, газонокосилки, подметальные машины, техника для уборки территорий",,2025-11-07T09:35:43.005841+00:00,2025-11-07T09:35:43.005841+00:00
4,DongFeng,dongfeng,Мини-тракторы DongFeng,,2025-11-11T11:01:31.221455+00:00,2025-11-11T11:01:31.221455+00:00
5,Lovol (Foton),lovol-foton,Мини-тракторы Lovol (Foton),,2025-11-11T11:01:32.752887+00:00,2025-11-11T11:01:32.752887+00:00
6,Xingtai (Синтай),xingtai,Мини-тракторы Xingtai,,2025-11-11T11:01:34.359849+00:00,2025-11-11T11:01:34.359849+00:00
7,Рустрак,rustrak,Мини-тракторы Рустрак,,2025-11-11T11:01:37.159854+00:00,2025-11-11T11:01:37.159854+00:00
302,ДВС в Сборе,engines-assembled,Двигатели внутреннего сгорания в сборе для минитракторов и мотоблоков,,2025-11-18T11:55:09.094195+00:00,2025-11-18T11:55:09.094195+00:00
303,Запчасти на ДВС,parts-engines,"Запчасти для двигателей: поршни, кольца, прокладки, клапаны",,2025-11-18T11:55:10.447209+00:00,2025-11-18T11:55:10.447209+00:00
304,Запчасти на Минитракторы,parts-minitractors,"Запчасти для минитракторов DongFeng, Foton, Jinma, Xingtai, Уралец",,2025-11-18T11:55:11.059072+00:00,2025-11-18T11:55:11.059072+00:00
305,Запчасти на Мототракторы,parts-mototractors,"Запчасти для мототракторов с колесом 16 дюймов: Зубр, Crosser",,2025-11-18T11:55:11.626816+00:00,2025-11-18T11:55:11.626816+00:00
306,Запчасти на Мотоблоки,parts-motoblocks,"Запчасти для мотоблоков: Garden, Скаут, Прораб, Булат, Зубр, Crosser",,2025-11-18T11:55:12.28239+00:00,2025-11-18T11:55:12.28239+00:00
307,Запчасти на Навесное оборудование,parts-attachments,"Запчасти для навесного оборудования: плуги, культиваторы, косилки, картофелекопалки",,2025-11-18T11:55:12.821196+00:00,2025-11-18T11:55:12.821196+00:00
308,Запчасти на Садовую технику,parts-garden-equipment,"Запчасти для садовой техники: газонокосилки, триммеры, кусторезы, мотопомпы",,2025-11-18T11:55:13.440121+00:00,2025-11-18T11:55:13.440121+00:00
309,Запчасти на Электрогенераторы,parts-generators,"Запчасти для электрогенераторов: AVR, щетки, статоры, роторы, конденсаторы",,2025-11-18T11:55:14.06456+00:00,2025-11-18T11:55:14.06456+00:00
310,Топливная система,parts-fuel-system,"Топливные баки, насосы, краны, шланги, фитинги, карбюраторы",,2025-11-18T11:55:14.603886+00:00,2025-11-18T11:55:14.603886+00:00
311,Фильтры,parts-filters,"Фильтры: воздушные, топливные, масляные, гидравлические",,2025-11-18T11:55:15.161644+00:00,2025-11-18T11:55:15.161644+00:00
312,Гидравлика,parts-hydraulics,"Гидравлические системы: насосы, распределители, цилиндры, шланги, муфты",,2025-11-18T11:55:15.974421+00:00,2025-11-18T11:55:15.974421+00:00
313,МиниТрактора Dongfeng,parts-minitractors-dongfeng,Запчасти для минитракторов DongFeng всех моделей,,2025-11-18T12:25:33.52966+00:00,2025-11-18T12:25:33.52966+00:00
314,МиниТрактора Foton/Lovol,parts-minitractors-foton,Запчасти для минитракторов Foton и Lovol,,2025-11-18T12:25:34.187357+00:00,2025-11-18T12:25:34.187357+00:00
315,МиниТрактора Jinma,parts-minitractors-jinma,Запчасти для минитракторов Jinma всех моделей,,2025-11-18T12:25:34.777853+00:00,2025-11-18T12:25:34.777853+00:00
316,МиниТрактора Xingtai/Уралец,parts-minitractors-xingtai,Запчасти для минитракторов Xingtai и Уралец,,2025-11-18T12:25:35.317269+00:00,2025-11-18T12:25:35.317269+00:00
317,Shifeng,parts-minitractors-shifeng,Запчасти для минитракторов Shifeng,,2025-11-18T12:25:35.876502+00:00,2025-11-18T12:25:35.876502+00:00
