name,price,brand,category,subcategory,sku,image_url,link
Замок капота Foton 244/ Lovol,1 260.00₽,Foton,Капот и крылья,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/45ff830f3c0211ee8b1ad85ed391f4ed_2943b7e276e811ee8b20d85ed391f4ed-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/foton-244/%d0%b7%d0%b0%d0%bc%d0%be%d0%ba-%d0%ba%d0%b0%d0%bf%d0%be%d1%82%d0%b0-foton-244-lovol/
Ступица переднего колеса Foton (Lovol) 244/254,6 820.00₽,Foton,Колеса и шины,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/c1f322c79aac11ee8b23d85ed391f4ed_86e3989ee2c111ee8b2ed85ed391f4ed-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/foton-244/%d1%81%d1%82%d1%83%d0%bf%d0%b8%d1%86%d0%b0-%d0%bf%d0%b5%d1%80%d0%b5%d0%b4%d0%bd%d0%b5%d0%b3%d0%be-%d0%ba%d0%be%d0%bb%d0%b5%d1%81%d0%b0-foton-lovol-244-254/
Вал заднего хода (реверс) Foton FT 244-254,1 140.00₽,Foton,Прочее,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/47efa270d4fc11ed8b10d85ed391f4ed_f689297effa611ed8b12d85ed391f4ed-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/foton-244/%d0%b2%d0%b0%d0%bb-%d0%b7%d0%b0%d0%b4%d0%bd%d0%b5%d0%b3%d0%be-%d1%85%d0%be%d0%b4%d0%b0-%d1%80%d0%b5%d0%b2%d0%b5%d1%80%d1%81-foton-ft-244-254/
Вал первичный 18/26Т КПП Foton 354/404,4 240.00₽,Foton,Прочее,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/5e01977747e811ef9adb40167eb2b975_d5a31bd4b61811f09b16d85ed391f4ed-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/foton-244/%d0%b2%d0%b0%d0%bb-%d0%bf%d0%b5%d1%80%d0%b2%d0%b8%d1%87%d0%bd%d1%8b%d0%b9-18-26%d1%82-%d0%ba%d0%bf%d0%bf-foton-354-404/
"Вал первичный L=423мм, 16/16 зуб. Foton",5 390.00₽,Foton,Прочее,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/37c6ec9c9d5b11ed8b09d85ed391f4ed_ca8579d98ab411ef9af840167eb2b975-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/foton-244/%d0%b2%d0%b0%d0%bb-%d0%bf%d0%b5%d1%80%d0%b2%d0%b8%d1%87%d0%bd%d1%8b%d0%b9-l423%d0%bc%d0%bc-16-16-%d0%b7%d1%83%d0%b1-foton/
Вилка переключения задней передачи для трактора Foton Lovol TE250/FT254,1 370.00₽,Foton,Прочее,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/af476bfb47ee11ef9adb40167eb2b975_56441404af3811f09b15d85ed391f4ed-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/foton-244/%d0%b2%d0%b8%d0%bb%d0%ba%d0%b0-%d0%bf%d0%b5%d1%80%d0%b5%d0%ba%d0%bb%d1%8e%d1%87%d0%b5%d0%bd%d0%b8%d1%8f-%d0%b7%d0%b0%d0%b4%d0%bd%d0%b5%d0%b9-%d0%bf%d0%b5%d1%80%d0%b5%d0%b4%d0%b0%d1%87%d0%b8-%d0%b4/
Втулка 20х25х45 Foton 254,293.00₽,Foton,Прочее,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2025/03/5c66d281f99011ef9b02d85ed391f4ed_c37dc904f9ad11ef9b02d85ed391f4ed-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/foton-244/%d0%b2%d1%82%d1%83%d0%bb%d0%ba%d0%b0-20%d1%8525%d1%8545-foton-254/
Датчик давления масла Foton 244/254,945.00₽,Foton,Прочее,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/99f3a3ab1a4911eab204704d7b641f5c_7b78d52a4f2b11ea9316704d7b641f5c-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/foton-244/%d0%b4%d0%b0%d1%82%d1%87%d0%b8%d0%ba-%d0%b4%d0%b0%d0%b2%d0%bb%d0%b5%d0%bd%d0%b8%d1%8f-%d0%bc%d0%b0%d1%81%d0%bb%d0%b0-foton-244-254/
Диск сцепления (D=200 мм; 12Т) 1-дисковое Foton244,2 300.00₽,Foton,Прочее,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/c8ceae53b29411e9b8cf704d7b641f5c_32f984e6ba6b11e9b8cf704d7b641f5c-250x260.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/foton-244/%d0%b4%d0%b8%d1%81%d0%ba-%d1%81%d1%86%d0%b5%d0%bf%d0%bb%d0%b5%d0%bd%d0%b8%d1%8f-d200-%d0%bc%d0%bc-12%d1%82-1-%d0%b4%d0%b8%d1%81%d0%ba%d0%be%d0%b2%d0%be%d0%b5-foton244/
Корзина сцепления (1-дисковая) Foton 224/254,5 160.00₽,Foton,Прочее,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/c8ceae54b29411e9b8cf704d7b641f5c_329db323c33411e985b9704d7b641f5c-250x247.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/foton-244/%d0%ba%d0%be%d1%80%d0%b7%d0%b8%d0%bd%d0%b0-%d1%81%d1%86%d0%b5%d0%bf%d0%bb%d0%b5%d0%bd%d0%b8%d1%8f-1-%d0%b4%d0%b8%d1%81%d0%ba%d0%be%d0%b2%d0%b0%d1%8f-foton-224-254/
Корзина сцепления 2-х дисковая в сборе Foton 404,21 660.00₽,Foton,Прочее,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/80f60443cee611ed8b10d85ed391f4ed_a13592ae5cf111ee8b20d85ed391f4ed-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/foton-244/%d0%ba%d0%be%d1%80%d0%b7%d0%b8%d0%bd%d0%b0-%d1%81%d1%86%d0%b5%d0%bf%d0%bb%d0%b5%d0%bd%d0%b8%d1%8f-2-%d1%85-%d0%b4%d0%b8%d1%81%d0%ba%d0%be%d0%b2%d0%b0%d1%8f-%d0%b2-%d1%81%d0%b1%d0%be%d1%80%d0%b5-foton/
Наконечник поворотный левый Foton 244/ Lovol,2 640.00₽,Foton,Прочее,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/017fb1103c0111ee8b1ad85ed391f4ed_d31725b476dd11ee8b20d85ed391f4ed-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/foton-244/%d0%bd%d0%b0%d0%ba%d0%be%d0%bd%d0%b5%d1%87%d0%bd%d0%b8%d0%ba-%d0%bf%d0%be%d0%b2%d0%be%d1%80%d0%be%d1%82%d0%bd%d1%8b%d0%b9-%d0%bb%d0%b5%d0%b2%d1%8b%d0%b9-foton-244-lovol/
