name,price,brand,category,subcategory,sku,image_url,link
Блок масляного цилиндра (Гильза гидробака ) Jinma,4 500.00₽,Jinma,Гидравлика,Гидрораспределители,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/8670b750927211e5b8eb40167eb2b975_1766089c9a5811e5b8eb40167eb2b975-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/jinma/jm-184-200-204-240-244/%d0%b3%d0%b8%d0%b4%d1%80%d0%be%d0%b1%d0%b0%d0%ba-%d0%b3%d0%b8%d0%b4%d1%80%d0%be%d1%80%d0%b0%d1%81%d0%bf%d1%80%d0%b5%d0%b4%d0%b5%d0%bb%d0%b8%d1%82%d0%b5%d0%bb%d1%8c-%d0%bd%d0%b0%d0%b2%d0%b5%d1%81/%d0%b1%d0%bb%d0%be%d0%ba-%d0%bc%d0%b0%d1%81%d0%bb%d1%8f%d0%bd%d0%be%d0%b3%d0%be-%d1%86%d0%b8%d0%bb%d0%b8%d0%bd%d0%b4%d1%80%d0%b0-%d0%b3%d0%b8%d0%bb%d1%8c%d0%b7%d0%b0-%d0%b3%d0%b8%d0%b4%d1%80%d0%be/
Валик крепления ручки гидрораспределителя Jinma,635.00₽,Jinma,Гидравлика,Гидрораспределители,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/c010793f90fb11e68bb940167eb2b975_8113f9d6a02611e68bb940167eb2b975-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/jinma/jm-184-200-204-240-244/%d0%b3%d0%b8%d0%b4%d1%80%d0%be%d0%b1%d0%b0%d0%ba-%d0%b3%d0%b8%d0%b4%d1%80%d0%be%d1%80%d0%b0%d1%81%d0%bf%d1%80%d0%b5%d0%b4%d0%b5%d0%bb%d0%b8%d1%82%d0%b5%d0%bb%d1%8c-%d0%bd%d0%b0%d0%b2%d0%b5%d1%81/%d0%b2%d0%b0%d0%bb%d0%b8%d0%ba-%d0%ba%d1%80%d0%b5%d0%bf%d0%bb%d0%b5%d0%bd%d0%b8%d1%8f-%d1%80%d1%83%d1%87%d0%ba%d0%b8-%d0%b3%d0%b8%d0%b4%d1%80%d0%be%d1%80%d0%b0%d1%81%d0%bf%d1%80%d0%b5%d0%b4%d0%b5/
Втулка подъемного вала 42x52x47 (гидробака) Jinma 184-244,390.00₽,Jinma,Гидравлика,Гидрораспределители,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/8670b74f927211e5b8eb40167eb2b975_b914ada68ac911e6bd5440167eb2b975-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/jinma/jm-184-200-204-240-244/%d0%b3%d0%b8%d0%b4%d1%80%d0%be%d0%b1%d0%b0%d0%ba-%d0%b3%d0%b8%d0%b4%d1%80%d0%be%d1%80%d0%b0%d1%81%d0%bf%d1%80%d0%b5%d0%b4%d0%b5%d0%bb%d0%b8%d1%82%d0%b5%d0%bb%d1%8c-%d0%bd%d0%b0%d0%b2%d0%b5%d1%81/%d0%b2%d1%82%d1%83%d0%bb%d0%ba%d0%b0-%d0%bf%d0%be%d0%b4%d1%8a%d0%b5%d0%bc%d0%bd%d0%be%d0%b3%d0%be-%d0%b2%d0%b0%d0%bb%d0%b0-42x52x47-%d0%b3%d0%b8%d0%b4%d1%80%d0%be%d0%b1%d0%b0%d0%ba%d0%b0-jinma-184-2/
Гидрораспределитель ГУР (Клапан гидравлики) Jinma,5 490.00₽,Jinma,Гидравлика,Гидрораспределители,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/10/edfdcb33bd9a11e593e540167eb2b975_6153966fcfb611e593e540167eb2b975-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/jinma/jm-184-200-204-240-244/%d0%b3%d0%b8%d0%b4%d1%80%d0%b0%d0%b2%d0%bb%d0%b8%d1%87%d0%b5%d1%81%d0%ba%d0%b0%d1%8f-%d1%81%d0%b8%d1%81%d1%82%d0%b5%d0%bc%d0%b0-%d0%b8-%d1%80%d1%83%d0%bb%d0%b5%d0%b2%d0%be%d0%b9-%d0%bc%d0%b5/%d0%b3%d0%b8%d0%b4%d1%80%d0%be%d1%80%d0%b0%d1%81%d0%bf%d1%80%d0%b5%d0%b4%d0%b5%d0%bb%d0%b8%d1%82%d0%b5%d0%bb%d1%8c-%d0%b3%d1%83%d1%80-%d0%ba%d0%bb%d0%b0%d0%bf%d0%b0%d0%bd-%d0%b3%d0%b8%d0%b4%d1%80/
Гидрораспределитель в сборе Jinma 244; Foton 244,6 140.00₽,Jinma,Гидравлика,Гидрораспределители,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2025/07/60d643de3f1e11e5a2de40167eb2b975_e18488db622d11f09b11d85ed391f4ed-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/jinma/jm-184-200-204-240-244/%d0%b3%d0%b8%d0%b4%d1%80%d0%be%d0%b1%d0%b0%d0%ba-%d0%b3%d0%b8%d0%b4%d1%80%d0%be%d1%80%d0%b0%d1%81%d0%bf%d1%80%d0%b5%d0%b4%d0%b5%d0%bb%d0%b8%d1%82%d0%b5%d0%bb%d1%8c-%d0%bd%d0%b0%d0%b2%d0%b5%d1%81/%d0%b3%d0%b8%d0%b4%d1%80%d0%be%d1%80%d0%b0%d1%81%d0%bf%d1%80%d0%b5%d0%b4%d0%b5%d0%bb%d0%b8%d1%82%d0%b5%d0%bb%d1%8c-%d0%b2-%d1%81%d0%b1%d0%be%d1%80%d0%b5-jinma-244-foton-244/
Гидрофикация Jinma комплект 4 БРС,25 590.00₽,Jinma,Гидравлика,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/11/4430d80b968511e68bb940167eb2b975_e923ac39c6ce11e88839704d7b641f5c-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/%d0%be%d0%bf%d1%86%d0%b8%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/%d0%b3%d0%b8%d0%b4%d1%80%d0%be%d1%84%d0%b8%d0%ba%d0%b0%d1%86%d0%b8%d1%8f-jinma-%d0%ba%d0%be%d0%bc%d0%bf%d0%bb%d0%b5%d0%ba%d1%82-4-%d0%b1%d1%80%d1%81/
Гидроцилиндр ГУР (Под 1 наконечник) Jinma,10 900.00₽,Jinma,Гидравлика,Гидроцилиндры,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/82645baf3b6911e58c5850e5499eff42_cb30294f43dd11e78c0240167eb2b975-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/jinma/jm-184-200-204-240-244/%d0%b3%d0%b8%d0%b4%d1%80%d0%b0%d0%b2%d0%bb%d0%b8%d1%87%d0%b5%d1%81%d0%ba%d0%b0%d1%8f-%d1%81%d0%b8%d1%81%d1%82%d0%b5%d0%bc%d0%b0-%d0%b8-%d1%80%d1%83%d0%bb%d0%b5%d0%b2%d0%be%d0%b9-%d0%bc%d0%b5/%d0%b3%d0%b8%d0%b4%d1%80%d0%be%d1%86%d0%b8%d0%bb%d0%b8%d0%bd%d0%b4%d1%80-%d0%b3%d1%83%d1%80-%d0%bf%d0%be%d0%b4-1-%d0%bd%d0%b0%d0%ba%d0%be%d0%bd%d0%b5%d1%87%d0%bd%d0%b8%d0%ba-jinma/
Гидроцилиндр ГУР (Под 2 наконечника) Jinma,11 340.00₽,Jinma,Гидравлика,Гидроцилиндры,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2025/03/b645bddf513611e59e2440167eb2b975_fbcc88e7636211e5bfc240167eb2b975-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/jinma/jm-184-200-204-240-244/%d0%b3%d0%b8%d0%b4%d1%80%d0%b0%d0%b2%d0%bb%d0%b8%d1%87%d0%b5%d1%81%d0%ba%d0%b0%d1%8f-%d1%81%d0%b8%d1%81%d1%82%d0%b5%d0%bc%d0%b0-%d0%b8-%d1%80%d1%83%d0%bb%d0%b5%d0%b2%d0%be%d0%b9-%d0%bc%d0%b5/%d0%b3%d0%b8%d0%b4%d1%80%d0%be%d1%86%d0%b8%d0%bb%d0%b8%d0%bd%d0%b4%d1%80-%d0%b3%d1%83%d1%80-%d0%bf%d0%be%d0%b4-2-%d0%bd%d0%b0%d0%ba%d0%be%d0%bd%d0%b5%d1%87%d0%bd%d0%b8%d0%ba%d0%b0-jinma/
Гидроцилиндр челюстного ковша Jinma,6 360.00₽,Jinma,Гидравлика,Гидроцилиндры,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/468d0a719e2911e5b8eb40167eb2b975_1c1e2f7adbf611e6921b40167eb2b975-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b3%d0%b8%d0%b4%d1%80%d0%b0%d0%b2%d0%bb%d0%b8%d0%ba%d0%b0/%d0%b3%d0%b8%d0%b4%d1%80%d0%be%d1%86%d0%b8%d0%bb%d0%b8%d0%bd%d0%b4%d1%80%d1%8b/%d0%b3%d0%b8%d0%b4%d1%80%d0%be%d1%86%d0%b8%d0%bb%d0%b8%d0%bd%d0%b4%d1%80-%d1%87%d0%b5%d0%bb%d1%8e%d1%81%d1%82%d0%bd%d0%be%d0%b3%d0%be-%d0%ba%d0%be%d0%b2%d1%88%d0%b0-jinma/
Клапан передней крышки гидробака Jinma 180-244 с внутр. диам. гильзы 63 мм,1 530.00₽,Jinma,Гидравлика,Гидрораспределители,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/23b840a3f92511ed8b12d85ed391f4ed_23b840a4f92511ed8b12d85ed391f4ed-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/jinma/jm-184-200-204-240-244/%d0%b3%d0%b8%d0%b4%d1%80%d0%be%d0%b1%d0%b0%d0%ba-%d0%b3%d0%b8%d0%b4%d1%80%d0%be%d1%80%d0%b0%d1%81%d0%bf%d1%80%d0%b5%d0%b4%d0%b5%d0%bb%d0%b8%d1%82%d0%b5%d0%bb%d1%8c-%d0%bd%d0%b0%d0%b2%d0%b5%d1%81/%d0%ba%d0%bb%d0%b0%d0%bf%d0%b0%d0%bd-%d0%bf%d0%b5%d1%80%d0%b5%d0%b4%d0%bd%d0%b5%d0%b9-%d0%ba%d1%80%d1%8b%d1%88%d0%ba%d0%b8-%d0%b3%d0%b8%d0%b4%d1%80%d0%be%d0%b1%d0%b0%d0%ba%d0%b0-jinma-180-244-%d1%81/
