name,price,brand,category,subcategory,sku,image_url,link
"Трубка от Гидронасоса к Гидрораспределителю, Скаут 220В",500.00₽,Scout,Гидравлика,Гидрораспределители,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2023/10/WhatsApp-Image-2023-10-13-at-10.26.07-250x333.jpeg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%bf%d1%80%d0%be%d1%87%d0%b8%d0%b5-%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8/%d1%82%d1%80%d1%83%d0%b1%d0%ba%d0%b0-%d0%be%d1%82-%d0%b3%d0%b8%d0%b4%d1%80%d0%be%d0%bd%d0%b0%d1%81%d0%be%d1%81%d0%b0-%d0%ba-%d0%b3%d0%b8%d0%b4%d1%80%d0%be%d1%80%d0%b0%d1%81%d0%bf%d1%80%d0%b5%d0%b4/
"Вал карданный «Скаут» 6*6 шлицов, 1200 мм, трехлимонник, с кожухом, усиленный",9 396.00₽,Scout,Карданные валы,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2025/05/WhatsApp-Image-2025-05-03-at-12.16.22-250x333.jpeg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%bf%d1%80%d0%be%d1%87%d0%b8%d0%b5-%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8/%d0%b2%d0%b0%d0%bb-%d0%ba%d0%b0%d1%80%d0%b4%d0%b0%d0%bd%d0%bd%d1%8b%d0%b9-%d1%81%d0%ba%d0%b0%d1%83%d1%82-66-%d1%88%d0%bb%d0%b8%d1%86%d0%be%d0%b2-1200-%d0%bc%d0%bc-%d1%82%d1%80%d0%b5/
"Вал карданный «Скаут» 6*8 шлицов, 1000 мм, трехлимонник, с кожухом, усиленный",9 396.00₽,Scout,Карданные валы,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2025/05/WhatsApp-Image-2025-05-03-at-12.16.22-250x333.jpeg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%bf%d1%80%d0%be%d1%87%d0%b8%d0%b5-%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8/%d0%b2%d0%b0%d0%bb-%d0%ba%d0%b0%d1%80%d0%b4%d0%b0%d0%bd%d0%bd%d1%8b%d0%b9-%d1%81%d0%ba%d0%b0%d1%83%d1%82-68-%d1%88%d0%bb%d0%b8%d1%86%d0%be%d0%b2-1000-%d0%bc%d0%bc-%d1%82%d1%80%d0%b5/
Крепление заднего колеса Скаут Т-18 шпилька + гайка 32шт,300.00₽,Scout,Колеса и шины,Метизы,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2023/01/WhatsApp-Image-2023-01-30-at-16.06.06-250x333.jpeg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%bf%d1%80%d0%be%d1%87%d0%b8%d0%b5-%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8/%d0%ba%d1%80%d0%b5%d0%bf%d0%bb%d0%b5%d0%bd%d0%b8%d0%b5-%d0%b7%d0%b0%d0%b4%d0%bd%d0%b5%d0%b3%d0%be-%d0%ba%d0%be%d0%bb%d0%b5%d1%81%d0%b0-%d1%81%d0%ba%d0%b0%d1%83%d1%82-%d1%82-18-%d1%88%d0%bf%d0%b8%d0%bb/
Шестерня Z49 почвофрезы СКАУТ-100 / 120,1 800.00₽,Scout,Навесное оборудование,Почвофрезы,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2025/08/WhatsApp-Image-2025-08-11-at-15.36.55-250x333.jpeg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%bf%d1%80%d0%be%d1%87%d0%b8%d0%b5-%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8/%d1%88%d0%b5%d1%81%d1%82%d0%b5%d1%80%d0%bd%d1%8f-z49-%d0%bf%d0%be%d1%87%d0%b2%d0%be%d1%84%d1%80%d0%b5%d0%b7%d1%8b-%d1%81%d0%ba%d0%b0%d1%83%d1%82-100-120/
Адаптер трехточечный к минитрактору СКАУТ,,Scout,Прочее,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2020/08/WhatsApp-Image-2020-08-29-at-20.04.08-250x211.jpeg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%bf%d1%80%d0%be%d1%87%d0%b8%d0%b5-%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8/%d0%b0%d0%b4%d0%b0%d0%bf%d1%82%d0%b5%d1%80-%d1%82%d1%80%d0%b5%d1%85%d1%82%d0%be%d1%87%d0%b5%d1%87%d0%bd%d1%8b%d0%b9-%d0%ba-%d0%bc%d0%b8%d0%bd%d0%b8%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d1%83/
Вал первичный L368 СКАУТ Т-15/Т-22/Т-25/ ФАЙТЕР Т-15/Т-22,2 300.00₽,Scout,Прочее,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2025/08/WhatsApp-Image-2025-08-11-at-15.35.14-250x333.jpeg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%bf%d1%80%d0%be%d1%87%d0%b8%d0%b5-%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8/%d0%b2%d0%b0%d0%bb-%d0%bf%d0%b5%d1%80%d0%b2%d0%b8%d1%87%d0%bd%d1%8b%d0%b9-l368-%d1%81%d0%ba%d0%b0%d1%83%d1%82-%d1%82-15-%d1%82-22-%d1%82-25-%d1%84%d0%b0%d0%b9%d1%82%d0%b5%d1%80-%d1%82-15-%d1%82-22/
Кожух фрезы Скаут,1 050.00₽,Scout,Прочее,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2020/07/WhatsApp-Image-2020-07-22-at-14.41.57-250x333.jpeg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%bf%d1%80%d0%be%d1%87%d0%b8%d0%b5-%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8/%d0%ba%d0%be%d0%b6%d1%83%d1%85-%d1%84%d1%80%d0%b5%d0%b7%d1%8b-%d1%81%d0%ba%d0%b0%d1%83%d1%82/
Крышка задняя редуктора подъемного навесного оборудования мотоблока/трактора,2 540.00₽,Scout,Прочее,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/11/1856896e64f711ef9aee40167eb2b975_1856896f64f711ef9aee40167eb2b975-250x192.png,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d0%bc%d0%be%d1%82%d0%be%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2-%d0%b8-%d0%bc%d0%be%d1%82%d0%be/%d1%81%d0%ba%d0%b0%d1%83%d1%82-scout/%d0%ba%d1%80%d1%8b%d1%88%d0%ba%d0%b0-%d0%b7%d0%b0%d0%b4%d0%bd%d1%8f%d1%8f-%d1%80%d0%b5%d0%b4%d1%83%d0%ba%d1%82%d0%be%d1%80%d0%b0-%d0%bf%d0%be%d0%b4%d1%8a%d0%b5%d0%bc%d0%bd%d0%be%d0%b3%d0%be-%d0%bd/
Первичный вал L-368 мм. СКАУТ T-15 / T-18 / T-25 / ФАЙТЕР T-15 / T-22,1 430.00₽,Scout,Прочее,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/09/f95bb2bb636611ef9aee40167eb2b975_4d8317aa636711ef9aee40167eb2b975-250x175.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d0%bc%d0%be%d1%82%d0%be%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2-%d0%b8-%d0%bc%d0%be%d1%82%d0%be/%d1%81%d0%ba%d0%b0%d1%83%d1%82-scout/%d0%bf%d0%b5%d1%80%d0%b2%d0%b8%d1%87%d0%bd%d1%8b%d0%b9-%d0%b2%d0%b0%d0%bb-l-368-%d0%bc%d0%bc-%d1%81%d0%ba%d0%b0%d1%83%d1%82-t-15-t-18-t-25-%d1%84%d0%b0%d0%b9%d1%82%d0%b5%d1%80-t-15-t-22/
