name,price,brand,category,subcategory,sku,image_url,link
Вкладыши шатунные SF188-2 Shifeng 350/354,1 010.00₽,Shifeng,Двигатель,Дизельные двигатели,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/605d7458d47611ed8b10d85ed391f4ed_7fe671f2fddf11ed8b12d85ed391f4ed-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d0%b4%d0%b8%d0%b7%d0%b5%d0%bb%d0%b5%d0%b9/%d0%b4%d0%b8%d0%b7%d0%b5%d0%bb%d1%8c-r195-km130-km138/%d0%b2%d0%ba%d0%bb%d0%b0%d0%b4%d1%8b%d1%88%d0%b8-%d1%88%d0%b0%d1%82%d1%83%d0%bd%d0%bd%d1%8b%d0%b5-sf188-2-shifeng-350-354/
Диск сцепления (D=200 мм; 6Т) SF 244 Shifeng 244,1 260.00₽,Shifeng,Двигатель,Дизельные двигатели,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/08/6771ce57952c11ee8b23d85ed391f4ed_093cd925669c11ef9aef40167eb2b975-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d0%b4%d0%b8%d0%b7%d0%b5%d0%bb%d0%b5%d0%b9/%d0%b4%d0%b8%d0%b7%d0%b5%d0%bb%d1%8c-r195-km130-km138/%d0%b4%d0%b8%d1%81%d0%ba-%d1%81%d1%86%d0%b5%d0%bf%d0%bb%d0%b5%d0%bd%d0%b8%d1%8f-d200-%d0%bc%d0%bc-6%d1%82-sf-244-shifeng-244/
Коленвал (Коленчатый вал) SF138-2/SF148  Shifeng 350/354,9 080.00₽,Shifeng,Двигатель,Дизельные двигатели,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2025/02/ba5a5210eeb911ef9b02d85ed391f4ed_25458ff5f7df11ef9b02d85ed391f4ed-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d0%b4%d0%b8%d0%b7%d0%b5%d0%bb%d0%b5%d0%b9/%d0%b4%d0%b8%d0%b7%d0%b5%d0%bb%d1%8c-r195-km130-km138/%d0%ba%d0%be%d0%bb%d0%b5%d0%bd%d0%b2%d0%b0%d0%bb-%d0%ba%d0%be%d0%bb%d0%b5%d0%bd%d1%87%d0%b0%d1%82%d1%8b%d0%b9-%d0%b2%d0%b0%d0%bb-sf138-2-sf148-shifeng-350-354/
Коленвал (Коленчатый вал) SF188-2; Shifeng 350/354,11 800.00₽,Shifeng,Двигатель,Дизельные двигатели,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/a7c8e748dea311ed8b10d85ed391f4ed_f9390adb8ac011ef9af840167eb2b975-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d0%b4%d0%b8%d0%b7%d0%b5%d0%bb%d0%b5%d0%b9/%d0%b4%d0%b8%d0%b7%d0%b5%d0%bb%d1%8c-r195-km130-km138/%d0%ba%d0%be%d0%bb%d0%b5%d0%bd%d0%b2%d0%b0%d0%bb-%d0%ba%d0%be%d0%bb%d0%b5%d0%bd%d1%87%d0%b0%d1%82%d1%8b%d0%b9-%d0%b2%d0%b0%d0%bb-sf188-2-shifeng-350-354/
Комплект прокладок двигателя IL316DI Mahindra,625.00₽,Shifeng,Двигатель,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/aba5b651c04411e79002704d7b641f5c_0cfea259eabc11e78ef4704d7b641f5c-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/%d0%bf%d1%80%d0%be%d1%87%d0%b8%d0%b5-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%b0-shifeng-%d1%88%d0%b8%d1%84%d0%b5%d0%bd%d0%b3-mahindra-yto/%d0%ba%d0%be%d0%bc%d0%bf%d0%bb%d0%b5%d0%ba%d1%82-%d0%bf%d1%80%d0%be%d0%ba%d0%bb%d0%b0%d0%b4%d0%be%d0%ba-%d0%b4%d0%b2%d0%b8%d0%b3%d0%b0%d1%82%d0%b5%d0%bb%d1%8f-il316di-mahindra/
Корзина сцепления в сборе SF138-2/ KM138 4 ручья для SF 244 Shifeng 244,7 840.00₽,Shifeng,Двигатель,Дизельные двигатели,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/40ca4833952b11ee8b23d85ed391f4ed_56decac4cc9111ee8b2dd85ed391f4ed-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d0%b4%d0%b8%d0%b7%d0%b5%d0%bb%d0%b5%d0%b9/%d0%b4%d0%b8%d0%b7%d0%b5%d0%bb%d1%8c-r195-km130-km138/%d0%ba%d0%be%d1%80%d0%b7%d0%b8%d0%bd%d0%b0-%d1%81%d1%86%d0%b5%d0%bf%d0%bb%d0%b5%d0%bd%d0%b8%d1%8f-%d0%b2-%d1%81%d0%b1%d0%be%d1%80%d0%b5-sf138-2-km138-4-%d1%80%d1%83%d1%87%d1%8c%d1%8f-%d0%b4%d0%bb/
Корпус выжимного подшипника SF138-2/ KM138 для SF 244 Shifeng 244,390.00₽,Shifeng,Двигатель,Дизельные двигатели,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/06a92e53d46611ee8b2ed85ed391f4ed_bc6f9476351f11ef9ada40167eb2b975-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d0%b4%d0%b8%d0%b7%d0%b5%d0%bb%d0%b5%d0%b9/%d0%b4%d0%b8%d0%b7%d0%b5%d0%bb%d1%8c-r195-km130-km138/%d0%ba%d0%be%d1%80%d0%bf%d1%83%d1%81-%d0%b2%d1%8b%d0%b6%d0%b8%d0%bc%d0%bd%d0%be%d0%b3%d0%be-%d0%bf%d0%be%d0%b4%d1%88%d0%b8%d0%bf%d0%bd%d0%b8%d0%ba%d0%b0-sf138-2-km138-%d0%b4%d0%bb%d1%8f-sf-244-shifen/
Опора выжимного подшипника SF138-2/ KM138 для SF 244 Shifeng 244,640.00₽,Shifeng,Двигатель,Дизельные двигатели,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/cfdd8c83952b11ee8b23d85ed391f4ed_d7de2d3f352011ef9ada40167eb2b975-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d0%b4%d0%b8%d0%b7%d0%b5%d0%bb%d0%b5%d0%b9/%d0%b4%d0%b8%d0%b7%d0%b5%d0%bb%d1%8c-r195-km130-km138/%d0%be%d0%bf%d0%be%d1%80%d0%b0-%d0%b2%d1%8b%d0%b6%d0%b8%d0%bc%d0%bd%d0%be%d0%b3%d0%be-%d0%bf%d0%be%d0%b4%d1%88%d0%b8%d0%bf%d0%bd%d0%b8%d0%ba%d0%b0-sf138-2-km138-%d0%b4%d0%bb%d1%8f-sf-244-shifeng-244/
Поршневой комплект дизель SF188-2 Shifeng 350/354,8 100.00₽,Shifeng,Двигатель,Дизельные двигатели,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/18c15379cd6511ed8b10d85ed391f4ed_47691747d16211ef9afed85ed391f4ed-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d0%b4%d0%b8%d0%b7%d0%b5%d0%bb%d0%b5%d0%b9/%d0%b4%d0%b8%d0%b7%d0%b5%d0%bb%d1%8c-r195-km130-km138/%d0%bf%d0%be%d1%80%d1%88%d0%bd%d0%b5%d0%b2%d0%be%d0%b9-%d0%ba%d0%be%d0%bc%d0%bf%d0%bb%d0%b5%d0%ba%d1%82-%d0%b4%d0%b8%d0%b7%d0%b5%d0%bb%d1%8c-sf188-2-shifeng-350-354/
Прокладка ГБЦ KM130/ КМ138/ SF138 Shifeng SF244,250.00₽,Shifeng,Двигатель,Дизельные двигатели,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/82d0a6eebd6111e8ab2f704d7b641f5c_b6ccd556c09a11e8ab2f704d7b641f5c-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d0%b4%d0%b8%d0%b7%d0%b5%d0%bb%d0%b5%d0%b9/%d0%b4%d0%b8%d0%b7%d0%b5%d0%bb%d1%8c-r195-km130-km138/%d0%bf%d1%80%d0%be%d0%ba%d0%bb%d0%b0%d0%b4%d0%ba%d0%b0-%d0%b3%d0%b1%d1%86-km130-%d0%ba%d0%bc138-sf138-shifeng-sf244/
