name,price,brand,category,subcategory,sku,image_url,link
Блок масляного цилиндра (Гильза гидробака) DongFeng-244,3 960.00₽,DongFeng,Гидравлика,Гидробаки,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2025/06/1dda9c46701d11e79625704d7b641f5c_ad0e98d8b89e11e7b3cc704d7b641f5c-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/dongfeng-masteryard-%d0%be%d1%8224-%d0%bb-%d1%81/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-dongfeng-masteryard/%d0%b1%d0%bb%d0%be%d0%ba-%d0%bc%d0%b0%d1%81%d0%bb%d1%8f%d0%bd%d0%be%d0%b3%d0%be-%d1%86%d0%b8%d0%bb%d0%b8%d0%bd%d0%b4%d1%80%d0%b0-%d0%b3%d0%b8%d0%bb%d1%8c%d0%b7%d0%b0-%d0%b3%d0%b8%d0%b4%d1%80%d0%be-3/
Гидробак (Гидравлический бак) в сборе DongFeng 354/404,29 490.00₽,DongFeng,Гидравлика,Гидробаки,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/ca634d0a592a11ee8b1fd85ed391f4ed_094e512398d811ee8b23d85ed391f4ed-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/dongfeng-masteryard-%d0%be%d1%8224-%d0%bb-%d1%81/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-dongfeng-masteryard/%d0%b3%d0%b8%d0%b4%d1%80%d0%be%d0%b1%d0%b0%d0%ba-%d0%b3%d0%b8%d0%b4%d1%80%d0%b0%d0%b2%d0%bb%d0%b8%d1%87%d0%b5%d1%81%d0%ba%d0%b8%d0%b9-%d0%b1%d0%b0%d0%ba-%d0%b2-%d1%81%d0%b1%d0%be%d1%80%d0%b5-dongfen/
"Гидробак (Гидравлический бак, подъемник) в сборе DongFeng 244",40 040.00₽,DongFeng,Гидравлика,Гидробаки,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/7249220c4fac11ed8b05d85ed391f4ed_f7f2faa2b54d11f09b16d85ed391f4ed-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/dongfeng-masteryard-%d0%be%d1%8224-%d0%bb-%d1%81/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-dongfeng-masteryard/%d0%b3%d0%b8%d0%b4%d1%80%d0%be%d0%b1%d0%b0%d0%ba-%d0%b3%d0%b8%d0%b4%d1%80%d0%b0%d0%b2%d0%bb%d0%b8%d1%87%d0%b5%d1%81%d0%ba%d0%b8%d0%b9-%d0%b1%d0%b0%d0%ba-%d0%bf%d0%be%d0%b4%d1%8a%d0%b5%d0%bc%d0%bd/
Гидрораспределитель  двухконтурный с плавающим режимом DongFeng,8 570.00₽,DongFeng,Гидравлика,Гидрораспределители,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/9573ce19245311e9aa09704d7b641f5c_5b096141283611e9aa09704d7b641f5c-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/dongfeng-masteryard-%d0%be%d1%8224-%d0%bb-%d1%81/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-dongfeng-masteryard/%d0%b3%d0%b8%d0%b4%d1%80%d0%be%d1%80%d0%b0%d1%81%d0%bf%d1%80%d0%b5%d0%b4%d0%b5%d0%bb%d0%b8%d1%82%d0%b5%d0%bb%d1%8c-%d0%b4%d0%b2%d1%83%d1%85%d0%ba%d0%be%d0%bd%d1%82%d1%83%d1%80%d0%bd%d1%8b%d0%b9/
Гидрораспределитель в сборе DongFeng 244,6 630.00₽,DongFeng,Гидравлика,Гидрораспределители,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/8cc90acc1a7e11e7991940167eb2b975_870bce05414811e78c0240167eb2b975-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/dongfeng-masteryard-%d0%be%d1%8224-%d0%bb-%d1%81/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-dongfeng-masteryard/%d0%b3%d0%b8%d0%b4%d1%80%d0%be%d1%80%d0%b0%d1%81%d0%bf%d1%80%d0%b5%d0%b4%d0%b5%d0%bb%d0%b8%d1%82%d0%b5%d0%bb%d1%8c-%d0%b2-%d1%81%d0%b1%d0%be%d1%80%d0%b5-dongfeng-244/
Гидроцилиндр рулевого управления Dongfeng 244 ГУР,10 900.00₽,DongFeng,Гидравлика,Гидроцилиндры,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/8d3e5f7ad43911ed8b10d85ed391f4ed_f8e7f63b76e811ee8b20d85ed391f4ed-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/dongfeng-masteryard-%d0%be%d1%8224-%d0%bb-%d1%81/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-dongfeng-masteryard/%d0%b3%d0%b8%d0%b4%d1%80%d0%be%d1%86%d0%b8%d0%bb%d0%b8%d0%bd%d0%b4%d1%80-%d1%80%d1%83%d0%bb%d0%b5%d0%b2%d0%be%d0%b3%d0%be-%d1%83%d0%bf%d1%80%d0%b0%d0%b2%d0%bb%d0%b5%d0%bd%d0%b8%d1%8f-dongfeng-244/
Гидроцилиндр рулевого управления Dongfeng 304 404,7 840.00₽,DongFeng,Гидравлика,Гидроцилиндры,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/1b123e224fad11ed8b05d85ed391f4ed_80ddfd95e8cf11ed8b11d85ed391f4ed-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/dongfeng-masteryard-%d0%be%d1%8224-%d0%bb-%d1%81/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-dongfeng-masteryard/%d0%b3%d0%b8%d0%b4%d1%80%d0%be%d1%86%d0%b8%d0%bb%d0%b8%d0%bd%d0%b4%d1%80-%d1%80%d1%83%d0%bb%d0%b5%d0%b2%d0%be%d0%b3%d0%be-%d1%83%d0%bf%d1%80%d0%b0%d0%b2%d0%bb%d0%b5%d0%bd%d0%b8%d1%8f-dongfeng-304-404/
Корпус гидробака DongFeng 244,17 480.00₽,DongFeng,Гидравлика,Гидробаки,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/705567acc52111eb855a704d7b641f5c_5a6ce5d8cf1d11eb855a704d7b641f5c-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/dongfeng-masteryard-%d0%be%d1%8224-%d0%bb-%d1%81/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-dongfeng-masteryard/%d0%ba%d0%be%d1%80%d0%bf%d1%83%d1%81-%d0%b3%d0%b8%d0%b4%d1%80%d0%be%d0%b1%d0%b0%d0%ba%d0%b0-dongfeng-244/
Корпус гидробака DongFeng 354/404,17 480.00₽,DongFeng,Гидравлика,Гидробаки,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/a05365d3592711ee8b1fd85ed391f4ed_cc07f99798d611ee8b23d85ed391f4ed-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/dongfeng-masteryard-%d0%be%d1%8224-%d0%bb-%d1%81/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-dongfeng-masteryard/%d0%ba%d0%be%d1%80%d0%bf%d1%83%d1%81-%d0%b3%d0%b8%d0%b4%d1%80%d0%be%d0%b1%d0%b0%d0%ba%d0%b0-dongfeng-354-404/
Корпус гидробака DongFeng 354/404,,DongFeng,Гидравлика,Гидробаки,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2025/08/0f81a59e775e11f09b11d85ed391f4ed_0f81a59f775e11f09b11d85ed391f4ed-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/dongfeng-masteryard-%d0%be%d1%8224-%d0%bb-%d1%81/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-dongfeng-masteryard/%d0%ba%d0%be%d1%80%d0%bf%d1%83%d1%81-%d0%b3%d0%b8%d0%b4%d1%80%d0%be%d0%b1%d0%b0%d0%ba%d0%b0-dongfeng-354-404-2/
