name,price,brand,category,subcategory,sku,image_url,link
"Вал промежуточной шестерни ZN490BT DongFeng 400, 404",2 860.00₽,DongFeng,Двигатель,Дизельные двигатели,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/ca5e2805974311e68bb940167eb2b975_04b79672357511e78c0240167eb2b975-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d0%b4%d0%b8%d0%b7%d0%b5%d0%bb%d0%b5%d0%b9/%d0%b4%d0%b8%d0%b7%d0%b5%d0%bb%d1%8c-zn390-zn490/%d0%b2%d0%b0%d0%bb-%d0%bf%d1%80%d0%be%d0%bc%d0%b5%d0%b6%d1%83%d1%82%d0%be%d1%87%d0%bd%d0%be%d0%b9-%d1%88%d0%b5%d1%81%d1%82%d0%b5%d1%80%d0%bd%d0%b8-zn490bt-dongfeng-400-404/
Двигатель дизельный КМ385BT – 47E1 под лепестковую корзину сцепления D=290 мм DongFeng 244,147 000.00₽,DongFeng,Двигатель,Дизельные двигатели,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2025/06/ed2bc0397a9611eca282704d7b641f5c_3b20f1bac44311ef9afdd85ed391f4ed-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b4%d0%b2%d0%b8%d0%b3%d0%b0%d1%82%d0%b5%d0%bb%d1%8f-%d0%b4%d0%b8%d0%b7%d0%b5%d0%bb%d1%8c%d0%bd%d1%8b%d0%b5/%d0%b4%d0%b2%d0%b8%d0%b3%d0%b0%d1%82%d0%b5%d0%bb%d1%8c-%d0%b4%d0%b8%d0%b7%d0%b5%d0%bb%d1%8c%d0%bd%d1%8b%d0%b9-%d0%ba%d0%bc385bt-47e1-%d0%bf%d0%be%d0%b4-%d0%bb%d0%b5%d0%bf%d0%b5%d1%81%d1%82%d0%ba/
Двигатель дизельный КМ385BT – 47E1 под однодисковую корзину сцепления D=226 мм DongFeng 244,152 000.00₽,DongFeng,Двигатель,Дизельные двигатели,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2025/02/b8dcd927dba511e6921b40167eb2b975_fda747afd4b611ef9affd85ed391f4ed-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b4%d0%b2%d0%b8%d0%b3%d0%b0%d1%82%d0%b5%d0%bb%d1%8f-%d0%b4%d0%b8%d0%b7%d0%b5%d0%bb%d1%8c%d0%bd%d1%8b%d0%b5/%d0%b4%d0%b2%d0%b8%d0%b3%d0%b0%d1%82%d0%b5%d0%bb%d1%8c-%d0%b4%d0%b8%d0%b7%d0%b5%d0%bb%d1%8c%d0%bd%d1%8b%d0%b9-%d0%ba%d0%bc385bt-47e1-%d0%bf%d0%be%d0%b4-%d0%be%d0%b4%d0%bd%d0%be%d0%b4%d0%b8%d1%81/
Двигатель дизельный КМ385BТ – 47E10 DongFeng 244 под 2х дисковую корзину сцепления),152 000.00₽,DongFeng,Двигатель,Дизельные двигатели,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2025/06/39dd1cf687f111ecb023704d7b641f5c_9ab857beb77911ef9afcd85ed391f4ed-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b4%d0%b2%d0%b8%d0%b3%d0%b0%d1%82%d0%b5%d0%bb%d1%8f-%d0%b4%d0%b8%d0%b7%d0%b5%d0%bb%d1%8c%d0%bd%d1%8b%d0%b5/%d0%b4%d0%b2%d0%b8%d0%b3%d0%b0%d1%82%d0%b5%d0%bb%d1%8c-%d0%b4%d0%b8%d0%b7%d0%b5%d0%bb%d1%8c%d0%bd%d1%8b%d0%b9-%d0%ba%d0%bc385b%d1%82-47e10-dongfeng-244-%d0%bf%d0%be%d0%b4-2%d1%85-%d0%b4%d0%b8%d1%81/
Кожух Маховика DongFeng КМ385,19 510.00₽,DongFeng,Двигатель,Дизельные двигатели,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/9c0cafbc989611e9a10e704d7b641f5c_92ce6eb04b1b11ebbac2704d7b641f5c-250x256.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d0%b4%d0%b8%d0%b7%d0%b5%d0%bb%d0%b5%d0%b9/%d0%b4%d0%b8%d0%b7%d0%b5%d0%bb%d1%8c-km385bt-ll380/%d0%ba%d0%be%d0%b6%d1%83%d1%85-%d0%bc%d0%b0%d1%85%d0%be%d0%b2%d0%b8%d0%ba%d0%b0-dongfeng-%d0%ba%d0%bc385/
Коллектор (колено) выхлопной трубы TY395 DongFeng 354,1 980.00₽,DongFeng,Двигатель,Дизельные двигатели,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2025/07/cf011ae66d2511f09b11d85ed391f4ed_22f79667888111f09b12d85ed391f4ed-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d0%b4%d0%b8%d0%b7%d0%b5%d0%bb%d0%b5%d0%b9/%d0%b4%d0%b8%d0%b7%d0%b5%d0%bb%d1%8c-ty395/%d0%ba%d0%be%d0%bb%d0%bb%d0%b5%d0%ba%d1%82%d0%be%d1%80-%d0%ba%d0%be%d0%bb%d0%b5%d0%bd%d0%be-%d0%b2%d1%8b%d1%85%d0%bb%d0%be%d0%bf%d0%bd%d0%be%d0%b9-%d1%82%d1%80%d1%83%d0%b1%d1%8b-ty395-dongfeng-354/
Маховик КМ385 – 47E с венцом в сборе DongFeng (2021 г.в) D под корзину=290,18 150.00₽,DongFeng,Двигатель,Дизельные двигатели,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2025/05/eb3aa19b00d311ecba53704d7b641f5c_de0c3704266611eca664704d7b641f5c-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d0%b4%d0%b8%d0%b7%d0%b5%d0%bb%d0%b5%d0%b9/%d0%b4%d0%b8%d0%b7%d0%b5%d0%bb%d1%8c-km385bt-ll380/%d0%bc%d0%b0%d1%85%d0%be%d0%b2%d0%b8%d0%ba-%d0%ba%d0%bc385-47e-%d1%81-%d0%b2%d0%b5%d0%bd%d1%86%d0%be%d0%bc-%d0%b2-%d1%81%d0%b1%d0%be%d1%80%d0%b5-dongfeng-2021-%d0%b3-%d0%b2-d-%d0%bf%d0%be%d0%b4/
Маховик КМ385 – 47E10 с венцом в сборе (109 зуб) DongFeng 2х дисковую корзину сцепления,14 530.00₽,DongFeng,Двигатель,Дизельные двигатели,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2025/03/67907a2826bb11ee8b14d85ed391f4ed_eed6511b4e3811ee8b1fd85ed391f4ed-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d0%b4%d0%b8%d0%b7%d0%b5%d0%bb%d0%b5%d0%b9/%d0%b4%d0%b8%d0%b7%d0%b5%d0%bb%d1%8c-km385bt-ll380/%d0%bc%d0%b0%d1%85%d0%be%d0%b2%d0%b8%d0%ba-%d0%ba%d0%bc385-47e10-%d1%81-%d0%b2%d0%b5%d0%bd%d1%86%d0%be%d0%bc-%d0%b2-%d1%81%d0%b1%d0%be%d1%80%d0%b5-109-%d0%b7%d1%83%d0%b1-dongfeng-2%d1%85-%d0%b4/
Маховик КМ385 – 47E10 с венцом в сборе (115 зуб) DongFeng 2х дисковую корзину сцепления,18 150.00₽,DongFeng,Двигатель,Дизельные двигатели,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/woocommerce-placeholder.png,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d0%b4%d0%b8%d0%b7%d0%b5%d0%bb%d0%b5%d0%b9/%d0%b4%d0%b8%d0%b7%d0%b5%d0%bb%d1%8c-km385bt-ll380/%d0%bc%d0%b0%d1%85%d0%be%d0%b2%d0%b8%d0%ba-%d0%ba%d0%bc385-47e10-%d1%81-%d0%b2%d0%b5%d0%bd%d1%86%d0%be%d0%bc-%d0%b2-%d1%81%d0%b1%d0%be%d1%80%d0%b5-115-%d0%b7%d1%83%d0%b1-dongfeng-2%d1%85-%d0%b4/
Прокладка ГБЦ ZN490QA DongFeng 404,700.00₽,DongFeng,Двигатель,Дизельные двигатели,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/a2cbdd3a8a1211e6bd5440167eb2b975_0c3d7cfa145f11f09b07d85ed391f4ed-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d0%b4%d0%b8%d0%b7%d0%b5%d0%bb%d0%b5%d0%b9/%d0%b4%d0%b8%d0%b7%d0%b5%d0%bb%d1%8c-zn390-zn490/%d0%bf%d1%80%d0%be%d0%ba%d0%bb%d0%b0%d0%b4%d0%ba%d0%b0-%d0%b3%d0%b1%d1%86-zn490qa-dongfeng-404/
"Прокладка ГБЦ КМ385BT DongFeng 244, Foton 244, Jinma 244",635.00₽,DongFeng,Двигатель,Дизельные двигатели,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/60d643f53f1e11e5a2de40167eb2b975_db0d6cabccbe11ee8b2dd85ed391f4ed-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d0%b4%d0%b8%d0%b7%d0%b5%d0%bb%d0%b5%d0%b9/%d0%b4%d0%b8%d0%b7%d0%b5%d0%bb%d1%8c-km385bt-ll380/%d0%bf%d1%80%d0%be%d0%ba%d0%bb%d0%b0%d0%b4%d0%ba%d0%b0-%d0%b3%d0%b1%d1%86-%d0%ba%d0%bc385bt-dongfeng-244-foton-244-jinma-244/
Распылитель ZCK155S525 DongFeng 244/404; Jinma 404,1 260.00₽,DongFeng,Двигатель,Дизельные двигатели,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/9898f94e9ab311ee8b23d85ed391f4ed_bf142fa86f6211ef9af040167eb2b975-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d0%b4%d0%b8%d0%b7%d0%b5%d0%bb%d0%b5%d0%b9/%d0%b4%d0%b8%d0%b7%d0%b5%d0%bb%d1%8c-zn390-zn490/%d1%80%d0%b0%d1%81%d0%bf%d1%8b%d0%bb%d0%b8%d1%82%d0%b5%d0%bb%d1%8c-zck155s525-dongfeng-244-404-jinma-404/
Шестерня коленчатого вала  ZN490BT DongFeng 400/404,2 040.00₽,DongFeng,Двигатель,Дизельные двигатели,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/ca5e2800974311e68bb940167eb2b975_ad0e98d3b89e11e7b3cc704d7b641f5c-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d0%b4%d0%b8%d0%b7%d0%b5%d0%bb%d0%b5%d0%b9/%d0%b4%d0%b8%d0%b7%d0%b5%d0%bb%d1%8c-zn390-zn490/%d1%88%d0%b5%d1%81%d1%82%d0%b5%d1%80%d0%bd%d1%8f-%d0%ba%d0%be%d0%bb%d0%b5%d0%bd%d1%87%d0%b0%d1%82%d0%be%d0%b3%d0%be-%d0%b2%d0%b0%d0%bb%d0%b0-zn490bt-dongfeng-400-404/
"Шестерня промежуточная ZN490BT DongFeng 400, 404",3 540.00₽,DongFeng,Двигатель,Дизельные двигатели,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/ca5e2804974311e68bb940167eb2b975_ad0e98d4b89e11e7b3cc704d7b641f5c-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d0%b4%d0%b8%d0%b7%d0%b5%d0%bb%d0%b5%d0%b9/%d0%b4%d0%b8%d0%b7%d0%b5%d0%bb%d1%8c-zn390-zn490/%d1%88%d0%b5%d1%81%d1%82%d0%b5%d1%80%d0%bd%d1%8f-%d0%bf%d1%80%d0%be%d0%bc%d0%b5%d0%b6%d1%83%d1%82%d0%be%d1%87%d0%bd%d0%b0%d1%8f-zn490bt-dongfeng-400-404/
"Шестерня топливного насоса ZN490/ZN390 DongFeng 400, 404",2 540.00₽,DongFeng,Двигатель,Гидронасосы,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2025/04/ca5e2806974311e68bb940167eb2b975_d7364f620d5011e8923e704d7b641f5c-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d0%b4%d0%b8%d0%b7%d0%b5%d0%bb%d0%b5%d0%b9/%d0%b4%d0%b8%d0%b7%d0%b5%d0%bb%d1%8c-zn390-zn490/%d1%88%d0%b5%d1%81%d1%82%d0%b5%d1%80%d0%bd%d1%8f-%d1%82%d0%be%d0%bf%d0%bb%d0%b8%d0%b2%d0%bd%d0%be%d0%b3%d0%be-%d0%bd%d0%b0%d1%81%d0%be%d1%81%d0%b0-zn490-zn390-dongfeng-400-404/
