name,price,brand,category,subcategory,sku,image_url,link
Габарит с поворотом левый на кабину DongFeng 244,1 210.00₽,DongFeng,Кабина,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/d8258a13bf7c11e79002704d7b641f5c_b516d2644f2b11ea9316704d7b641f5c-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/dongfeng-masteryard-%d0%be%d1%8224-%d0%bb-%d1%81/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-dongfeng-masteryard/%d0%b3%d0%b0%d0%b1%d0%b0%d1%80%d0%b8%d1%82-%d1%81-%d0%bf%d0%be%d0%b2%d0%be%d1%80%d0%be%d1%82%d0%be%d0%bc-%d0%bb%d0%b5%d0%b2%d1%8b%d0%b9-%d0%bd%d0%b0-%d0%ba%d0%b0%d0%b1%d0%b8%d0%bd%d1%83-dongfeng-244/
Габарит с поворотом правый на кабину DongFeng 244,1 210.00₽,DongFeng,Кабина,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/d8258a15bf7c11e79002704d7b641f5c_0cfea25deabc11e78ef4704d7b641f5c-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/dongfeng-masteryard-%d0%be%d1%8224-%d0%bb-%d1%81/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-dongfeng-masteryard/%d0%b3%d0%b0%d0%b1%d0%b0%d1%80%d0%b8%d1%82-%d1%81-%d0%bf%d0%be%d0%b2%d0%be%d1%80%d0%be%d1%82%d0%be%d0%bc-%d0%bf%d1%80%d0%b0%d0%b2%d1%8b%d0%b9-%d0%bd%d0%b0-%d0%ba%d0%b0%d0%b1%d0%b8%d0%bd%d1%83-dongfeng/
Фонарь задний без кабины DongFeng 240/244,700.00₽,DongFeng,Кабина,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/7ba010c5cd6511ed8b10d85ed391f4ed_8c891b1110b111ee8b14d85ed391f4ed-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/dongfeng-masteryard-%d0%be%d1%8224-%d0%bb-%d1%81/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-dongfeng-masteryard/%d1%84%d0%be%d0%bd%d0%b0%d1%80%d1%8c-%d0%b7%d0%b0%d0%b4%d0%bd%d0%b8%d0%b9-%d0%b1%d0%b5%d0%b7-%d0%ba%d0%b0%d0%b1%d0%b8%d0%bd%d1%8b-dongfeng-240-244/
Доводчик дверной Jinma kab L=340 мм,1 650.00₽,Jinma,Кабина,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/365c6ec552e811ee8b1fd85ed391f4ed_97d9dc4a555011ef9aeb40167eb2b975-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/jinma/%d0%ba%d0%b0%d0%b1%d0%b8%d0%bd%d0%b0-jinma/%d0%b4%d0%be%d0%b2%d0%be%d0%b4%d1%87%d0%b8%d0%ba-%d0%b4%d0%b2%d0%b5%d1%80%d0%bd%d0%be%d0%b9-jinma-kab-l340-%d0%bc%d0%bc/
Доводчик заднего стекла кабины минитрактора,945.00₽,Jinma,Кабина,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/08/d6615275515411e59e2440167eb2b975_1f98a4db669811ef9aef40167eb2b975-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/jinma/%d0%ba%d0%b0%d0%b1%d0%b8%d0%bd%d0%b0-jinma/%d0%b4%d0%be%d0%b2%d0%be%d0%b4%d1%87%d0%b8%d0%ba-%d0%b7%d0%b0%d0%b4%d0%bd%d0%b5%d0%b3%d0%be-%d1%81%d1%82%d0%b5%d0%ba%d0%bb%d0%b0-%d0%ba%d0%b0%d0%b1%d0%b8%d0%bd%d1%8b-%d0%bc%d0%b8%d0%bd%d0%b8%d1%82/
Замок двери кабины левый Jinma 244,1 370.00₽,Jinma,Кабина,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2025/02/ed96cd58f43011ef9b02d85ed391f4ed_45fad6c7f43111ef9b02d85ed391f4ed-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/jinma/%d0%ba%d0%b0%d0%b1%d0%b8%d0%bd%d0%b0-jinma/%d0%b7%d0%b0%d0%bc%d0%be%d0%ba-%d0%b4%d0%b2%d0%b5%d1%80%d0%b8-%d0%ba%d0%b0%d0%b1%d0%b8%d0%bd%d1%8b-%d0%bb%d0%b5%d0%b2%d1%8b%d0%b9-jinma-244/
Замок двери кабины правый Jinma 244,945.00₽,Jinma,Кабина,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/15f4e0b9676911eba6da704d7b641f5c_37a059e77c4011eb9220704d7b641f5c-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/jinma/%d0%ba%d0%b0%d0%b1%d0%b8%d0%bd%d0%b0-jinma/%d0%b7%d0%b0%d0%bc%d0%be%d0%ba-%d0%b4%d0%b2%d0%b5%d1%80%d0%b8-%d0%ba%d0%b0%d0%b1%d0%b8%d0%bd%d1%8b-%d0%bf%d1%80%d0%b0%d0%b2%d1%8b%d0%b9-jinma-244/
Катафот на кабину СО комплект,985.00₽,Jinma,Кабина,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/f23a97a473e811e6ae7940167eb2b975_19bc8c8ac6d111e6be1d40167eb2b975-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/jinma/jm-184-200-204-240-244/%d0%bf%d1%80%d0%be%d1%87%d0%b5%d0%b5-jm-184-200-204-240-244/%d0%ba%d0%b0%d1%82%d0%b0%d1%84%d0%be%d1%82-%d0%bd%d0%b0-%d0%ba%d0%b0%d0%b1%d0%b8%d0%bd%d1%83-%d1%81%d0%be-%d0%ba%d0%be%d0%bc%d0%bf%d0%bb%d0%b5%d0%ba%d1%82/
Моторедуктор стеклоочистителя Jinma,10 590.00₽,Jinma,Кабина,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/14ef310c2fcd11ebbac2704d7b641f5c_929e5bf47c1611eb9220704d7b641f5c-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/jinma/jm-184-200-204-240-244/%d1%8d%d0%bb%d0%b5%d0%ba%d1%82%d1%80%d0%b8%d0%ba%d0%b0-%d0%b8-%d0%bf%d1%80%d0%b8%d0%b1%d0%be%d1%80%d1%8b/%d0%bc%d0%be%d1%82%d0%be%d1%80%d0%b5%d0%b4%d1%83%d0%ba%d1%82%d0%be%d1%80-%d1%81%d1%82%d0%b5%d0%ba%d0%bb%d0%be%d0%be%d1%87%d0%b8%d1%81%d1%82%d0%b8%d1%82%d0%b5%d0%bb%d1%8f-jinma/
Моторедуктор стеклоочистителя Ru кабины Уралец,1 780.00₽,Jinma,Кабина,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/bc8e470a3bf111e5b74550e5499eff42_2a7aaf8fa23d11e9a10e704d7b641f5c-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/jinma/%d0%ba%d0%b0%d0%b1%d0%b8%d0%bd%d0%b0-jinma/%d0%bc%d0%be%d1%82%d0%be%d1%80%d0%b5%d0%b4%d1%83%d0%ba%d1%82%d0%be%d1%80-%d1%81%d1%82%d0%b5%d0%ba%d0%bb%d0%be%d0%be%d1%87%d0%b8%d1%81%d1%82%d0%b8%d1%82%d0%b5%d0%bb%d1%8f-ru-%d0%ba%d0%b0%d0%b1%d0%b8/
