name,price,brand,category,subcategory,sku,image_url,link
Замок капота Foton 244/ Lovol,1 260.00₽,Foton,Капот и крылья,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/45ff830f3c0211ee8b1ad85ed391f4ed_2943b7e276e811ee8b20d85ed391f4ed-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/foton-244/%d0%b7%d0%b0%d0%bc%d0%be%d0%ba-%d0%ba%d0%b0%d0%bf%d0%be%d1%82%d0%b0-foton-244-lovol/
Вентилятор (крыльчатка) охлаждения Jinma 804,1 450.00₽,Jinma,Капот и крылья,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/909d6f6e684311e78ba840167eb2b975_ad0e9905b89e11e7b3cc704d7b641f5c-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/jinma/jm-804-854/%d0%b2%d0%b5%d0%bd%d1%82%d0%b8%d0%bb%d1%8f%d1%82%d0%be%d1%80-%d0%ba%d1%80%d1%8b%d0%bb%d1%8c%d1%87%d0%b0%d1%82%d0%ba%d0%b0-%d0%be%d1%85%d0%bb%d0%b0%d0%b6%d0%b4%d0%b5%d0%bd%d0%b8%d1%8f-jinma-804/
Капот металлический Jinma 244,17 150.00₽,Jinma,Капот и крылья,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/09227cd96fb511e9a964704d7b641f5c_09227ceb6fb511e9a964704d7b641f5c-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/jinma/jm-184-200-204-240-244/%d0%ba%d0%b0%d0%bf%d0%be%d1%82/%d0%ba%d0%b0%d0%bf%d0%be%d1%82-%d0%bc%d0%b5%d1%82%d0%b0%d0%bb%d0%bb%d0%b8%d1%87%d0%b5%d1%81%d0%ba%d0%b8%d0%b9-jinma-244/
"Облицовка капота с блок-фарой Jinma 200, 204, 240",11 800.00₽,Jinma,Капот и крылья,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/60e2df67902f11e6b1e140167eb2b975_ff4ac752e0a211e6921b40167eb2b975-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/jinma/jm-184-200-204-240-244/%d1%8d%d0%bb%d0%b5%d0%ba%d1%82%d1%80%d0%b8%d0%ba%d0%b0-%d0%b8-%d0%bf%d1%80%d0%b8%d0%b1%d0%be%d1%80%d1%8b/%d0%be%d0%b1%d0%bb%d0%b8%d1%86%d0%be%d0%b2%d0%ba%d0%b0-%d0%ba%d0%b0%d0%bf%d0%be%d1%82%d0%b0-%d1%81-%d0%b1%d0%bb%d0%be%d0%ba-%d1%84%d0%b0%d1%80%d0%be%d0%b9-jinma-200-204-240/
Панель приборов Jinma 244,10 210.00₽,Jinma,Капот и крылья,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/09227cdb6fb511e9a964704d7b641f5c_09227cdc6fb511e9a964704d7b641f5c-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/jinma/jm-184-200-204-240-244/%d0%ba%d0%b0%d0%bf%d0%be%d1%82/%d0%bf%d0%b0%d0%bd%d0%b5%d0%bb%d1%8c-%d0%bf%d1%80%d0%b8%d0%b1%d0%be%d1%80%d0%be%d0%b2-jinma-244/
Крылья окучника,300.00₽,Универсальные,Капот и крылья,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2020/08/WhatsApp-Image-2020-07-28-at-15.50.43-250x333.jpeg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%bf%d1%80%d0%be%d1%87%d0%b8%d0%b5-%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8/%d0%ba%d1%80%d1%8b%d0%bb%d1%8c%d1%8f-%d0%be%d0%ba%d1%83%d1%87%d0%bd%d0%b8%d0%ba%d0%b0/
Крылья передние (комплект 2 шт) уценка 2шт,800.00₽,Универсальные,Капот и крылья,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2025/05/WhatsApp-Image-2025-05-25-at-16.10.06-250x333.jpeg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%bf%d1%80%d0%be%d1%87%d0%b8%d0%b5-%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8/%d0%ba%d1%80%d1%8b%d0%bb%d1%8c%d1%8f-%d0%bf%d0%b5%d1%80%d0%b5%d0%b4%d0%bd%d0%b8%d0%b5-%d0%ba%d0%be%d0%bc%d0%bf%d0%bb%d0%b5%d0%ba%d1%82-2-%d1%88%d1%82/
Замок капота Уралец 180/220,390.00₽,Уралец,Капот и крылья,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/f7d3e5795c2611e5a2f540167eb2b975_ac5076525d2611e5a2f540167eb2b975-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/xingtai-%d1%83%d1%80%d0%b0%d0%bb%d0%b5%d1%86-swatt-%d0%b8-%d0%b4%d1%80-%d0%be%d1%82-12-24-%d0%bb-%d1%81/%d0%ba%d0%b0%d0%bf%d0%be%d1%82-%d0%ba%d1%80%d1%8b%d0%bb%d1%8c%d1%8f/%d0%b7%d0%b0%d0%bc%d0%be%d0%ba-%d0%ba%d0%b0%d0%bf%d0%be%d1%82%d0%b0-%d1%83%d1%80%d0%b0%d0%bb%d0%b5%d1%86-180-220/
"Капот на Уралец/Синтай 220,224",15 100.00₽,Уралец,Капот и крылья,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/7bc6188fff0211e6a18640167eb2b975_0a22367c356911e78c0240167eb2b975-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/xingtai-%d1%83%d1%80%d0%b0%d0%bb%d0%b5%d1%86-swatt-%d0%b8-%d0%b4%d1%80-%d0%be%d1%82-12-24-%d0%bb-%d1%81/%d0%ba%d0%b0%d0%bf%d0%be%d1%82-%d0%ba%d1%80%d1%8b%d0%bb%d1%8c%d1%8f/%d0%ba%d0%b0%d0%bf%d0%be%d1%82-%d0%bd%d0%b0-%d1%83%d1%80%d0%b0%d0%bb%d0%b5%d1%86-%d1%81%d0%b8%d0%bd%d1%82%d0%b0%d0%b9-220224/
Крепление номерного знака Уралец,350.00₽,Уралец,Капот и крылья,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/e250e3ba257e11e7a9fd40167eb2b975_f2949579b8af11e7b3cc704d7b641f5c-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/xingtai-%d1%83%d1%80%d0%b0%d0%bb%d0%b5%d1%86-swatt-%d0%b8-%d0%b4%d1%80-%d0%be%d1%82-12-24-%d0%bb-%d1%81/%d0%ba%d0%b0%d0%bf%d0%be%d1%82-%d0%ba%d1%80%d1%8b%d0%bb%d1%8c%d1%8f/%d0%ba%d1%80%d0%b5%d0%bf%d0%bb%d0%b5%d0%bd%d0%b8%d0%b5-%d0%bd%d0%be%d0%bc%d0%b5%d1%80%d0%bd%d0%be%d0%b3%d0%be-%d0%b7%d0%bd%d0%b0%d0%ba%d0%b0-%d1%83%d1%80%d0%b0%d0%bb%d0%b5%d1%86/
