name,price,brand,category,subcategory,sku,image_url,link
Вал карданный переднего моста короткий 6/15 зуб. L=292 mm DongFeng 244/ 404,2 300.00₽,DongFeng,Карданные валы,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/024a9c9dd50311ed8b10d85ed391f4ed_6c0900c6035a11ee8b12d85ed391f4ed-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/dongfeng-masteryard-%d0%be%d1%8224-%d0%bb-%d1%81/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-dongfeng-masteryard/%d0%b2%d0%b0%d0%bb-%d0%ba%d0%b0%d1%80%d0%b4%d0%b0%d0%bd%d0%bd%d1%8b%d0%b9-%d0%bf%d0%b5%d1%80%d0%b5%d0%b4%d0%bd%d0%b5%d0%b3%d0%be-%d0%bc%d0%be%d1%81%d1%82%d0%b0-%d0%ba%d0%be%d1%80%d0%be%d1%82%d0%ba/
Вал карданный переднего моста в сборе Jinma 404,15 880.00₽,Jinma,Карданные валы,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/9a19c15a6cd511ee8b20d85ed391f4ed_a1c009dc6d8111ee8b20d85ed391f4ed-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/jinma/jm-354/%d0%b2%d0%b0%d0%bb-%d0%ba%d0%b0%d1%80%d0%b4%d0%b0%d0%bd%d0%bd%d1%8b%d0%b9-%d0%bf%d0%b5%d1%80%d0%b5%d0%b4%d0%bd%d0%b5%d0%b3%d0%be-%d0%bc%d0%be%d1%81%d1%82%d0%b0-%d0%b2-%d1%81%d0%b1%d0%be%d1%80%d0%b5-4/
"Втулка I карданного вала переднего моста без ГУР Jinma 184, 200, 204, 240, 244",1 270.00₽,Jinma,Карданные валы,Раздаточный вал,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2025/07/759a1a029dc711e7b3cc704d7b641f5c_c2acbe25d32811e79272704d7b641f5c-250x234.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/jinma/jm-184-200-204-240-244/%d1%80%d0%b0%d0%b7%d0%b4%d0%b0%d1%82%d0%be%d1%87%d0%bd%d1%8b%d0%b9-%d0%b2%d0%b0%d0%bb/%d0%b2%d1%82%d1%83%d0%bb%d0%ba%d0%b0-i-%d0%ba%d0%b0%d1%80%d0%b4%d0%b0%d0%bd%d0%bd%d0%be%d0%b3%d0%be-%d0%b2%d0%b0%d0%bb%d0%b0-%d0%bf%d0%b5%d1%80%d0%b5%d0%b4%d0%bd%d0%b5%d0%b3%d0%be-%d0%bc%d0%be%d1%81/
"Втулка II карданного вала переднего моста без ГУР Jinma 184, 200, 204, 240, 244",1 360.00₽,Jinma,Карданные валы,Раздаточный вал,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2025/07/759a1a019dc711e7b3cc704d7b641f5c_c2acbe27d32811e79272704d7b641f5c-250x238.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/jinma/jm-184-200-204-240-244/%d1%80%d0%b0%d0%b7%d0%b4%d0%b0%d1%82%d0%be%d1%87%d0%bd%d1%8b%d0%b9-%d0%b2%d0%b0%d0%bb/%d0%b2%d1%82%d1%83%d0%bb%d0%ba%d0%b0-ii-%d0%ba%d0%b0%d1%80%d0%b4%d0%b0%d0%bd%d0%bd%d0%be%d0%b3%d0%be-%d0%b2%d0%b0%d0%bb%d0%b0-%d0%bf%d0%b5%d1%80%d0%b5%d0%b4%d0%bd%d0%b5%d0%b3%d0%be-%d0%bc%d0%be%d1%81/
Чехол карданного вала Jinma,2 350.00₽,Jinma,Карданные валы,Раздаточный вал,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2025/02/d6615272515411e59e2440167eb2b975_9060440944a811e78c0240167eb2b975-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/jinma/jm-184-200-204-240-244/%d1%80%d0%b0%d0%b7%d0%b4%d0%b0%d1%82%d0%be%d1%87%d0%bd%d1%8b%d0%b9-%d0%b2%d0%b0%d0%bb/%d1%87%d0%b5%d1%85%d0%be%d0%bb-%d0%ba%d0%b0%d1%80%d0%b4%d0%b0%d0%bd%d0%bd%d0%be%d0%b3%d0%be-%d0%b2%d0%b0%d0%bb%d0%b0-jinma/
"Вал карданный «Скаут» 6*6 шлицов, 1200 мм, трехлимонник, с кожухом, усиленный",9 396.00₽,Scout,Карданные валы,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2025/05/WhatsApp-Image-2025-05-03-at-12.16.22-250x333.jpeg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%bf%d1%80%d0%be%d1%87%d0%b8%d0%b5-%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8/%d0%b2%d0%b0%d0%bb-%d0%ba%d0%b0%d1%80%d0%b4%d0%b0%d0%bd%d0%bd%d1%8b%d0%b9-%d1%81%d0%ba%d0%b0%d1%83%d1%82-66-%d1%88%d0%bb%d0%b8%d1%86%d0%be%d0%b2-1200-%d0%bc%d0%bc-%d1%82%d1%80%d0%b5/
"Вал карданный «Скаут» 6*8 шлицов, 1000 мм, трехлимонник, с кожухом, усиленный",9 396.00₽,Scout,Карданные валы,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2025/05/WhatsApp-Image-2025-05-03-at-12.16.22-250x333.jpeg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%bf%d1%80%d0%be%d1%87%d0%b8%d0%b5-%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8/%d0%b2%d0%b0%d0%bb-%d0%ba%d0%b0%d1%80%d0%b4%d0%b0%d0%bd%d0%bd%d1%8b%d0%b9-%d1%81%d0%ba%d0%b0%d1%83%d1%82-68-%d1%88%d0%bb%d0%b8%d1%86%d0%be%d0%b2-1000-%d0%bc%d0%bc-%d1%82%d1%80%d0%b5/
"Вал карданный 6*6 шлицов, 1200 мм, трехлимонник, крестовина 24х63 (20-30 л.с.) б/к",5 830.00₽,Универсальные,Карданные валы,Крестовины,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2025/06/0f6d9c54612e11eba6da704d7b641f5c_0f023a6cc22211ec889a704d7b641f5c-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%ba%d0%b0%d1%80%d0%b4%d0%b0%d0%bd%d0%bd%d1%8b%d0%b5-%d0%b2%d0%b0%d0%bb%d1%8b/%d0%b2%d0%b0%d0%bb%d1%8b-%d0%ba%d0%b0%d1%80%d0%b4%d0%b0%d0%bd%d0%bd%d1%8b%d0%b5/%d0%b2%d0%b0%d0%bb-%d0%ba%d0%b0%d1%80%d0%b4%d0%b0%d0%bd%d0%bd%d1%8b%d0%b9-66-%d1%88%d0%bb%d0%b8%d1%86%d0%be%d0%b2-1200-%d0%bc%d0%bc-%d1%82%d1%80%d0%b5%d1%85%d0%bb%d0%b8%d0%bc%d0%be%d0%bd%d0%bd-3/
"Вал карданный 6*6 шлицов, 1200 мм, трехлимонник, крестовина 27х74,5 (25-45 л.с.) б/к",6 540.00₽,Универсальные,Карданные валы,Крестовины,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2025/01/11e1c60f53f911ebbac2704d7b641f5c_fffacf12c22111ec889a704d7b641f5c-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%ba%d0%b0%d1%80%d0%b4%d0%b0%d0%bd%d0%bd%d1%8b%d0%b5-%d0%b2%d0%b0%d0%bb%d1%8b/%d0%b2%d0%b0%d0%bb%d1%8b-%d0%ba%d0%b0%d1%80%d0%b4%d0%b0%d0%bd%d0%bd%d1%8b%d0%b5/%d0%b2%d0%b0%d0%bb-%d0%ba%d0%b0%d1%80%d0%b4%d0%b0%d0%bd%d0%bd%d1%8b%d0%b9-66-%d1%88%d0%bb%d0%b8%d1%86%d0%be%d0%b2-1200-%d0%bc%d0%bc-%d1%82%d1%80%d0%b5%d1%85%d0%bb%d0%b8%d0%bc%d0%be%d0%bd%d0%bd/
"Вал карданный 6*6 шлицов, 1200 мм, трехлимонник, крестовина 30,2х106,3 (50-80 л.с.) с кожухом",10 370.00₽,Универсальные,Карданные валы,Крестовины,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2025/08/6b3d01bd32b411ee8b17d85ed391f4ed_5db1d08c817411f09b12d85ed391f4ed-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%ba%d0%b0%d1%80%d0%b4%d0%b0%d0%bd%d0%bd%d1%8b%d0%b5-%d0%b2%d0%b0%d0%bb%d1%8b/%d0%b2%d0%b0%d0%bb%d1%8b-%d0%ba%d0%b0%d1%80%d0%b4%d0%b0%d0%bd%d0%bd%d1%8b%d0%b5/%d0%b2%d0%b0%d0%bb-%d0%ba%d0%b0%d1%80%d0%b4%d0%b0%d0%bd%d0%bd%d1%8b%d0%b9-66-%d1%88%d0%bb%d0%b8%d1%86%d0%be%d0%b2-1200-%d0%bc%d0%bc-%d1%82%d1%80%d0%b5%d1%85%d0%bb%d0%b8%d0%bc%d0%be%d0%bd%d0%bd-2/
