name,price,brand,category,subcategory,sku,image_url,link
"Втулка 50x55x35 переднего моста (поворотного кулака) Jinma, DongFeng, Foton 244",760.00₽,DongFeng,Передний мост,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2025/06/b03928c7f56811e59cee40167eb2b975_fa63d0adfae811e59cee40167eb2b975-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/jinma/jm-184-200-204-240-244/%d0%bf%d0%b5%d1%80%d0%b5%d0%b4%d0%bd%d0%b8%d0%b9-%d0%bc%d0%be%d1%81%d1%82-jm-184-200-204-240-244/%d0%b2%d1%82%d1%83%d0%bb%d0%ba%d0%b0-50x55x35-%d0%bf%d0%b5%d1%80%d0%b5%d0%b4%d0%bd%d0%b5%d0%b3%d0%be-%d0%bc%d0%be%d1%81%d1%82%d0%b0-%d0%bf%d0%be%d0%b2%d0%be%d1%80%d0%be%d1%82%d0%bd%d0%be%d0%b3%d0%be/
Втулка суппорта 35x39x30 Jinma 184-244/ DongFeng 240-244,455.00₽,DongFeng,Передний мост,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/978086fc5ba111e5a2f540167eb2b975_36fefc5668f511e5bfc240167eb2b975-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/jinma/jm-184-200-204-240-244/%d0%bf%d0%b5%d1%80%d0%b5%d0%b4%d0%bd%d0%b8%d0%b9-%d0%bc%d0%be%d1%81%d1%82-jm-184-200-204-240-244/%d0%b2%d1%82%d1%83%d0%bb%d0%ba%d0%b0-%d1%81%d1%83%d0%bf%d0%bf%d0%be%d1%80%d1%82%d0%b0-35x39x30-jinma-184-244-dongfeng-240-244/
Кольцо уплотнительное из войлока (пыльник) Jinma 244/ DongFeng / Master Yard,169.00₽,DongFeng,Передний мост,Кольца,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/468d0a919e2911e5b8eb40167eb2b975_5c560771450f11e78c0240167eb2b975-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/jinma/jm-184-200-204-240-244/%d0%bf%d0%b5%d1%80%d0%b5%d0%b4%d0%bd%d0%b8%d0%b9-%d0%bc%d0%be%d1%81%d1%82-jm-184-200-204-240-244/%d0%ba%d0%be%d0%bb%d1%8c%d1%86%d0%be-%d1%83%d0%bf%d0%bb%d0%be%d1%82%d0%bd%d0%b8%d1%82%d0%b5%d0%bb%d1%8c%d0%bd%d0%be%d0%b5-%d0%b8%d0%b7-%d0%b2%d0%be%d0%b9%d0%bb%d0%be%d0%ba%d0%b0-%d0%bf%d1%8b%d0%bb/
Комплект сальников на передний мост Jinma / DongFeng,1 500.00₽,DongFeng,Передний мост,Сальники,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2025/07/28038efade9a11ed8b10d85ed391f4ed_231a8a1987c711f09b12d85ed391f4ed-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/jinma/jm-184-200-204-240-244/%d0%bf%d0%b5%d1%80%d0%b5%d0%b4%d0%bd%d0%b8%d0%b9-%d0%bc%d0%be%d1%81%d1%82-jm-184-200-204-240-244/%d0%ba%d0%be%d0%bc%d0%bf%d0%bb%d0%b5%d0%ba%d1%82-%d1%81%d0%b0%d0%bb%d1%8c%d0%bd%d0%b8%d0%ba%d0%be%d0%b2-%d0%bd%d0%b0-%d0%bf%d0%b5%d1%80%d0%b5%d0%b4%d0%bd%d0%b8%d0%b9-%d0%bc%d0%be%d1%81%d1%82-jinma-d/
"Вал вертикальный Jinma 244, 254",3 140.00₽,Jinma,Передний мост,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/ca5e27e7974311e68bb940167eb2b975_ff4ac758e0a211e6921b40167eb2b975-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/jinma/jm-184-200-204-240-244/%d0%bf%d0%b5%d1%80%d0%b5%d0%b4%d0%bd%d0%b8%d0%b9-%d0%bc%d0%be%d1%81%d1%82-jm-184-200-204-240-244/%d0%b2%d0%b0%d0%bb-%d0%b2%d0%b5%d1%80%d1%82%d0%b8%d0%ba%d0%b0%d0%bb%d1%8c%d0%bd%d1%8b%d0%b9-jinma-244-254/
Вал горизонтальный перед моста (L=370 мм) Jinma 244/254,2 190.00₽,Jinma,Передний мост,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/9fb7f82a2f0511ebbac2704d7b641f5c_00d928487c4711eb9220704d7b641f5c-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/jinma/jm-184-200-204-240-244/%d0%bf%d0%b5%d1%80%d0%b5%d0%b4%d0%bd%d0%b8%d0%b9-%d0%bc%d0%be%d1%81%d1%82-jm-184-200-204-240-244/%d0%b2%d0%b0%d0%bb-%d0%b3%d0%be%d1%80%d0%b8%d0%b7%d0%be%d0%bd%d1%82%d0%b0%d0%bb%d1%8c%d0%bd%d1%8b%d0%b9-%d0%bf%d0%b5%d1%80%d0%b5%d0%b4-%d0%bc%d0%be%d1%81%d1%82%d0%b0-l370-%d0%bc%d0%bc-jinma-244-254/
Верхняя крышка подшипника переднего моста Jinma 184-244,2 090.00₽,Jinma,Передний мост,Подшипники,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/14a69c29796811e6ae7940167eb2b975_19bc8c96c6d111e6be1d40167eb2b975-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/jinma/jm-184-200-204-240-244/%d0%bf%d0%b5%d1%80%d0%b5%d0%b4%d0%bd%d0%b8%d0%b9-%d0%bc%d0%be%d1%81%d1%82-jm-184-200-204-240-244/%d0%b2%d0%b5%d1%80%d1%85%d0%bd%d1%8f%d1%8f-%d0%ba%d1%80%d1%8b%d1%88%d0%ba%d0%b0-%d0%bf%d0%be%d0%b4%d1%88%d0%b8%d0%bf%d0%bd%d0%b8%d0%ba%d0%b0-%d0%bf%d0%b5%d1%80%d0%b5%d0%b4%d0%bd%d0%b5%d0%b3%d0%be/
"Втулка 70х75х37 Jinma 184, 244",760.00₽,Jinma,Передний мост,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/ce63992bce1911e593e540167eb2b975_6153966ecfb611e593e540167eb2b975-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/jinma/jm-184-200-204-240-244/%d0%bf%d0%b5%d1%80%d0%b5%d0%b4%d0%bd%d0%b8%d0%b9-%d0%bc%d0%be%d1%81%d1%82-jm-184-200-204-240-244/%d0%b2%d1%82%d1%83%d0%bb%d0%ba%d0%b0-70%d1%8575%d1%8537-jinma-184-244/
"Втулка цапфы 30x36x30 Jinma 184, 244, 254, Синтай-220",299.00₽,Jinma,Передний мост,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/b1207b02732911e6ae7940167eb2b975_60f3ec40c75411e6be1d40167eb2b975-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/jinma/jm-184-200-204-240-244/%d0%bf%d0%b5%d1%80%d0%b5%d0%b4%d0%bd%d0%b8%d0%b9-%d0%bc%d0%be%d1%81%d1%82-jm-184-200-204-240-244/%d0%b2%d1%82%d1%83%d0%bb%d0%ba%d0%b0-%d1%86%d0%b0%d0%bf%d1%84%d1%8b-30x36x30-jinma-184-244-254-%d1%81%d0%b8%d0%bd%d1%82%d0%b0%d0%b9-220/
"Втулка цапфы 30x36x35 Jinma 184, 244, 254, h- 35",299.00₽,Jinma,Передний мост,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2025/06/69dab80802de11ebbac2704d7b641f5c_13c1ce677c1711eb9220704d7b641f5c-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/jinma/jm-184-200-204-240-244/%d0%bf%d0%b5%d1%80%d0%b5%d0%b4%d0%bd%d0%b8%d0%b9-%d0%bc%d0%be%d1%81%d1%82-jm-184-200-204-240-244/%d0%b2%d1%82%d1%83%d0%bb%d0%ba%d0%b0-%d1%86%d0%b0%d0%bf%d1%84%d1%8b-30x36x35-jinma-184-244-254-h-35/
