name,price,brand,category,subcategory,sku,image_url,link
Вал горизонтальный рулевого механизма DongFeng 244,3 280.00₽,DongFeng,Рулевое управление,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/08/de2fccd96d1811e78ba840167eb2b975_ad0e98d7b89e11e7b3cc704d7b641f5c-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/dongfeng-masteryard-%d0%be%d1%8224-%d0%bb-%d1%81/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-dongfeng-masteryard/%d0%b2%d0%b0%d0%bb-%d0%b3%d0%be%d1%80%d0%b8%d0%b7%d0%be%d0%bd%d1%82%d0%b0%d0%bb%d1%8c%d0%bd%d1%8b%d0%b9-%d1%80%d1%83%d0%bb%d0%b5%d0%b2%d0%be%d0%b3%d0%be-%d0%bc%d0%b5%d1%85%d0%b0%d0%bd%d0%b8%d0%b7-3/
Рулевая колонка в сборе с червяком DongFeng 244/240,13 070.00₽,DongFeng,Рулевое управление,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2025/02/3d932f99ef4911ef9b02d85ed391f4ed_0d74ca47fd7211ef9b02d85ed391f4ed-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/dongfeng-masteryard-%d0%be%d1%8224-%d0%bb-%d1%81/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-dongfeng-masteryard/%d1%80%d1%83%d0%bb%d0%b5%d0%b2%d0%b0%d1%8f-%d0%ba%d0%be%d0%bb%d0%be%d0%bd%d0%ba%d0%b0-%d0%b2-%d1%81%d0%b1%d0%be%d1%80%d0%b5-%d1%81-%d1%87%d0%b5%d1%80%d0%b2%d1%8f%d0%ba%d0%be%d0%bc-dongfeng-244-240/
Рычаг поворотный (Сошка рулевая) DongFeng 244,1 910.00₽,DongFeng,Рулевое управление,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2025/02/1dda9c3f701d11e79625704d7b641f5c_ad0e98d6b89e11e7b3cc704d7b641f5c-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/dongfeng-masteryard-%d0%be%d1%8224-%d0%bb-%d1%81/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-dongfeng-masteryard/%d1%80%d1%8b%d1%87%d0%b0%d0%b3-%d0%bf%d0%be%d0%b2%d0%be%d1%80%d0%be%d1%82%d0%bd%d1%8b%d0%b9-%d1%81%d0%be%d1%88%d0%ba%d0%b0-%d1%80%d1%83%d0%bb%d0%b5%d0%b2%d0%b0%d1%8f-dongfeng-244/
Рычаг рулевой левый переднего моста DongFeng 244,4 410.00₽,DongFeng,Рулевое управление,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2025/03/20d83cb216df11e8923e704d7b641f5c_20d83cc616df11e8923e704d7b641f5c-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/dongfeng-masteryard-%d0%be%d1%8224-%d0%bb-%d1%81/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-dongfeng-masteryard/%d1%80%d1%8b%d1%87%d0%b0%d0%b3-%d1%80%d1%83%d0%bb%d0%b5%d0%b2%d0%be%d0%b9-%d0%bb%d0%b5%d0%b2%d1%8b%d0%b9-%d0%bf%d0%b5%d1%80%d0%b5%d0%b4%d0%bd%d0%b5%d0%b3%d0%be-%d0%bc%d0%be%d1%81%d1%82%d0%b0-dongfeng/
Рычаг рулевой правый переднего моста DongFeng 244,3 700.00₽,DongFeng,Рулевое управление,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/edc35245a7e511eb81a1704d7b641f5c_f32e1c5ebc7b11eb855a704d7b641f5c-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/dongfeng-masteryard-%d0%be%d1%8224-%d0%bb-%d1%81/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-dongfeng-masteryard/%d1%80%d1%8b%d1%87%d0%b0%d0%b3-%d1%80%d1%83%d0%bb%d0%b5%d0%b2%d0%be%d0%b9-%d0%bf%d1%80%d0%b0%d0%b2%d1%8b%d0%b9-%d0%bf%d0%b5%d1%80%d0%b5%d0%b4%d0%bd%d0%b5%d0%b3%d0%be-%d0%bc%d0%be%d1%81%d1%82%d0%b0-don/
Червяк рулевого механизма DongFeng – 244,1 820.00₽,DongFeng,Рулевое управление,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/bbba14231ff911e7a9fd40167eb2b975_ad0e98d2b89e11e7b3cc704d7b641f5c-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/dongfeng-masteryard-%d0%be%d1%8224-%d0%bb-%d1%81/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-dongfeng-masteryard/%d1%87%d0%b5%d1%80%d0%b2%d1%8f%d0%ba-%d1%80%d1%83%d0%bb%d0%b5%d0%b2%d0%be%d0%b3%d0%be-%d0%bc%d0%b5%d1%85%d0%b0%d0%bd%d0%b8%d0%b7%d0%bc%d0%b0-dongfeng-244/
Вал горизонтальный рулевого механизма Jinma 184,4 140.00₽,Jinma,Рулевое управление,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/3fa9b52e3b7811e78c0240167eb2b975_c2acbe13d32811e79272704d7b641f5c-250x241.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/jinma/jm-184-200-204-240-244/%d1%80%d1%83%d0%bb%d0%b5%d0%b2%d0%be%d0%b9-%d0%bc%d0%b5%d1%85%d0%b0%d0%bd%d0%b8%d0%b7%d0%bc-%d0%b1%d0%b5%d0%b7-%d0%b3%d1%83%d1%80/%d0%b2%d0%b0%d0%bb-%d0%b3%d0%be%d1%80%d0%b8%d0%b7%d0%be%d0%bd%d1%82%d0%b0%d0%bb%d1%8c%d0%bd%d1%8b%d0%b9-%d1%80%d1%83%d0%bb%d0%b5%d0%b2%d0%be%d0%b3%d0%be-%d0%bc%d0%b5%d1%85%d0%b0%d0%bd%d0%b8%d0%b7-4/
Вал горизонтальный рулевого механизма Jinma 244,2 090.00₽,Jinma,Рулевое управление,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/cb703b0651fa11e59e2440167eb2b975_176608999a5811e5b8eb40167eb2b975-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/jinma/jm-184-200-204-240-244/%d1%80%d1%83%d0%bb%d0%b5%d0%b2%d0%be%d0%b9-%d0%bc%d0%b5%d1%85%d0%b0%d0%bd%d0%b8%d0%b7%d0%bc-%d0%b1%d0%b5%d0%b7-%d0%b3%d1%83%d1%80/%d0%b2%d0%b0%d0%bb-%d0%b3%d0%be%d1%80%d0%b8%d0%b7%d0%be%d0%bd%d1%82%d0%b0%d0%bb%d1%8c%d0%bd%d1%8b%d0%b9-%d1%80%d1%83%d0%bb%d0%b5%d0%b2%d0%be%d0%b3%d0%be-%d0%bc%d0%b5%d1%85%d0%b0%d0%bd%d0%b8%d0%b7/
"Вал рулевой Jinma 184, 200, 204, 240, 244, 254",2 640.00₽,Jinma,Рулевое управление,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/bd5081059a3911e5b8eb40167eb2b975_30c6cb1cd46b11e59f9b40167eb2b975-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/jinma/jm-184-200-204-240-244/%d0%b3%d0%b8%d0%b4%d1%80%d0%b0%d0%b2%d0%bb%d0%b8%d1%87%d0%b5%d1%81%d0%ba%d0%b0%d1%8f-%d1%81%d0%b8%d1%81%d1%82%d0%b5%d0%bc%d0%b0-%d0%b8-%d1%80%d1%83%d0%bb%d0%b5%d0%b2%d0%be%d0%b9-%d0%bc%d0%b5/%d0%b2%d0%b0%d0%bb-%d1%80%d1%83%d0%bb%d0%b5%d0%b2%d0%be%d0%b9-jinma-184-200-204-240-244-254/
Маслопровод (трубка впускная) Jinma JM-184/244/254,1 260.00₽,Jinma,Рулевое управление,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/01257612716411e5bfc240167eb2b975_3e08664b869d11e5a65340167eb2b975-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/jinma/jm-184-200-204-240-244/%d0%b3%d0%b8%d0%b4%d1%80%d0%b0%d0%b2%d0%bb%d0%b8%d1%87%d0%b5%d1%81%d0%ba%d0%b0%d1%8f-%d1%81%d0%b8%d1%81%d1%82%d0%b5%d0%bc%d0%b0-%d0%b8-%d1%80%d1%83%d0%bb%d0%b5%d0%b2%d0%be%d0%b9-%d0%bc%d0%b5/%d0%bc%d0%b0%d1%81%d0%bb%d0%be%d0%bf%d1%80%d0%be%d0%b2%d0%be%d0%b4-%d1%82%d1%80%d1%83%d0%b1%d0%ba%d0%b0-%d0%b2%d0%bf%d1%83%d1%81%d0%ba%d0%bd%d0%b0%d1%8f-jinma-jm-184-244-254/
