name,price,brand,category,subcategory,sku,image_url,link
Кольцо уплотнительное (манжета) YX D=75 поршня гидробака для минитрактора Dongfeng 244,189.00₽,DongFeng,Стандартные изделия,Гидробаки,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/182d23f6b0ef11ed8b10d85ed391f4ed_b3f8e56676e111ee8b20d85ed391f4ed-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/dongfeng-masteryard-%d0%be%d1%8224-%d0%bb-%d1%81/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-dongfeng-masteryard/%d0%ba%d0%be%d0%bb%d1%8c%d1%86%d0%be-%d1%83%d0%bf%d0%bb%d0%be%d1%82%d0%bd%d0%b8%d1%82%d0%b5%d0%bb%d1%8c%d0%bd%d0%be%d0%b5-%d0%bc%d0%b0%d0%bd%d0%b6%d0%b5%d1%82%d0%b0-yx-d75-%d0%bf%d0%be%d1%80%d1%88/
"Кольцо уплотнительное 40х46,2х3,5",47.00₽,DongFeng,Стандартные изделия,Кольца,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/11/4239151f15fa11e8923e704d7b641f5c_2a7aaf96a23d11e9a10e704d7b641f5c-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/dongfeng-masteryard-%d0%be%d1%8224-%d0%bb-%d1%81/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-dongfeng-masteryard/%d0%ba%d0%be%d0%bb%d1%8c%d1%86%d0%be-%d1%83%d0%bf%d0%bb%d0%be%d1%82%d0%bd%d0%b8%d1%82%d0%b5%d0%bb%d1%8c%d0%bd%d0%be%d0%b5-40%d1%85462%d1%8535/
"Кольцо уплотнительное из войлока (пыльник)  DongFeng240/244, Foton 240/244",169.00₽,DongFeng,Стандартные изделия,Кольца,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/11/83c6467b94e311e68bb940167eb2b975_7b65f38bc27d11e6be1d40167eb2b975-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/dongfeng-masteryard-%d0%be%d1%8224-%d0%bb-%d1%81/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-dongfeng-masteryard/%d0%ba%d0%be%d0%bb%d1%8c%d1%86%d0%be-%d1%83%d0%bf%d0%bb%d0%be%d1%82%d0%bd%d0%b8%d1%82%d0%b5%d0%bb%d1%8c%d0%bd%d0%be%d0%b5-%d0%b8%d0%b7-%d0%b2%d0%be%d0%b9%d0%bb%d0%be%d0%ba%d0%b0-%d0%bf%d1%8b%d0%bb-2/
Кольцо упорное иголок DF-244 20х25х3 мм,114.00₽,DongFeng,Стандартные изделия,Кольца,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2025/05/5339cb9f19b111e7991940167eb2b975_870bce0f414811e78c0240167eb2b975-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/dongfeng-masteryard-%d0%be%d1%8224-%d0%bb-%d1%81/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-dongfeng-masteryard/%d0%ba%d0%be%d0%bb%d1%8c%d1%86%d0%be-%d1%83%d0%bf%d0%be%d1%80%d0%bd%d0%be%d0%b5-%d0%b8%d0%b3%d0%be%d0%bb%d0%be%d0%ba-df-244-20%d1%8525%d1%853-%d0%bc%d0%bc/
Кольцо шлицевое водила планетарной передачи КПП Втулка подвижная (Синхронизатор)  DongFeng 240/244,1 860.00₽,DongFeng,Стандартные изделия,Кольца,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/04bb2111f73d11ea8285704d7b641f5c_913239371dc611ebbac2704d7b641f5c-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/dongfeng-masteryard-%d0%be%d1%8224-%d0%bb-%d1%81/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-dongfeng-masteryard/%d0%ba%d0%be%d0%bb%d1%8c%d1%86%d0%be-%d1%88%d0%bb%d0%b8%d1%86%d0%b5%d0%b2%d0%be%d0%b5-%d0%b2%d0%be%d0%b4%d0%b8%d0%bb%d0%b0-%d0%bf%d0%bb%d0%b0%d0%bd%d0%b5%d1%82%d0%b0%d1%80%d0%bd%d0%be%d0%b9-%d0%bf/
Корпус выжимного подшипника DongFeng 244,1 320.00₽,DongFeng,Стандартные изделия,Подшипники,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/639f0908b12b11e6ac5740167eb2b975_4b2e93efb13311e6ac5740167eb2b975-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/dongfeng-masteryard-%d0%be%d1%8224-%d0%bb-%d1%81/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-dongfeng-masteryard/%d0%ba%d0%be%d1%80%d0%bf%d1%83%d1%81-%d0%b2%d1%8b%d0%b6%d0%b8%d0%bc%d0%bd%d0%be%d0%b3%d0%be-%d0%bf%d0%be%d0%b4%d1%88%d0%b8%d0%bf%d0%bd%d0%b8%d0%ba%d0%b0-dongfeng-244/
Крышка подшипника верхняя DongFeng 244,2 160.00₽,DongFeng,Стандартные изделия,Подшипники,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/c2a4673ea7e211eb81a1704d7b641f5c_1cd89284bc7c11eb855a704d7b641f5c-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/dongfeng-masteryard-%d0%be%d1%8224-%d0%bb-%d1%81/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-dongfeng-masteryard/%d0%ba%d1%80%d1%8b%d1%88%d0%ba%d0%b0-%d0%bf%d0%be%d0%b4%d1%88%d0%b8%d0%bf%d0%bd%d0%b8%d0%ba%d0%b0-%d0%b2%d0%b5%d1%80%d1%85%d0%bd%d1%8f%d1%8f-dongfeng-244/
Опора выжимного подшипника DongFeng,1 530.00₽,DongFeng,Стандартные изделия,Подшипники,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/2bd456a7ae3511e7b3cc704d7b641f5c_8a51438cd0f911e79272704d7b641f5c-250x237.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/dongfeng-masteryard-%d0%be%d1%8224-%d0%bb-%d1%81/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-dongfeng-masteryard/%d0%be%d0%bf%d0%be%d1%80%d0%b0-%d0%b2%d1%8b%d0%b6%d0%b8%d0%bc%d0%bd%d0%be%d0%b3%d0%be-%d0%bf%d0%be%d0%b4%d1%88%d0%b8%d0%bf%d0%bd%d0%b8%d0%ba%d0%b0-dongfeng/
Палец крепежный 16х55 (под стопорный палец) DongFeng,114.00₽,DongFeng,Стандартные изделия,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2025/07/34f0d76e7f2311ef9af640167eb2b975_789d46b687c811f09b12d85ed391f4ed-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/dongfeng-masteryard-%d0%be%d1%8224-%d0%bb-%d1%81/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-dongfeng-masteryard/%d0%bf%d0%b0%d0%bb%d0%b5%d1%86-%d0%ba%d1%80%d0%b5%d0%bf%d0%b5%d0%b6%d0%bd%d1%8b%d0%b9-16%d1%8555-%d0%bf%d0%be%d0%b4-%d1%81%d1%82%d0%be%d0%bf%d0%be%d1%80%d0%bd%d1%8b%d0%b9-%d0%bf%d0%b0%d0%bb%d0%b5/
Палец крепежный 16х75 (под стопорный палец) DongFeng,137.00₽,DongFeng,Стандартные изделия,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2025/07/f258655db81e11ee8b25d85ed391f4ed_c6411dff87c711f09b12d85ed391f4ed-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0%d0%ba%d1%82%d0%be%d1%80%d0%be%d0%b2/dongfeng-masteryard-%d0%be%d1%8224-%d0%bb-%d1%81/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-dongfeng-masteryard/%d0%bf%d0%b0%d0%bb%d0%b5%d1%86-%d0%ba%d1%80%d0%b5%d0%bf%d0%b5%d0%b6%d0%bd%d1%8b%d0%b9-16%d1%8575-%d0%bf%d0%be%d0%b4-%d1%81%d1%82%d0%be%d0%bf%d0%be%d1%80%d0%bd%d1%8b%d0%b9-%d0%bf%d0%b0%d0%bb%d0%b5/
