name,price,brand,category,subcategory,sku,image_url,link
"ЗИП базовый (комплект фильтров) для трактора Jinma 244, DongFeng 244",1 610.00₽,DongFeng,Фильтры,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2025/04/8612e115323c11e8923e704d7b641f5c_618c84c0df8f11ef9b00d85ed391f4ed-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b8%d0%bf/%d0%b7%d0%b8%d0%bf-%d0%b1%d0%b0%d0%b7%d0%be%d0%b2%d1%8b%d0%b9-%d0%ba%d0%be%d0%bc%d0%bf%d0%bb%d0%b5%d0%ba%d1%82-%d1%84%d0%b8%d0%bb%d1%8c%d1%82%d1%80%d0%be%d0%b2-%d0%b4%d0%bb%d1%8f-%d1%82%d1%80%d0%b0-3/
"Фильтр гидравлики YX0811 (YX0811А) 1″-12 Jinma 244; DongFeng M244, 304, 404, 354; ZN390BT",555.00₽,DongFeng,Фильтры,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2025/04/8cc90afd1a7e11e7991940167eb2b975_870bce15414811e78c0240167eb2b975-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d1%84%d0%b8%d0%bb%d1%8c%d1%82%d1%80%d0%b0/%d1%84%d0%b8%d0%bb%d1%8c%d1%82%d1%80-%d0%b3%d0%b8%d0%b4%d1%80%d0%b0%d0%b2%d0%bb%d0%b8%d0%ba%d0%b8-yx0811-yx0811%d0%b0-1-12-jinma-244-dongfeng-m244-304-404-354-zn390bt/
"Фильтр масляный (гидравлики) JX0811A 1″-12 Jinma 164, 200,204,240, 244, DongFeng 304, 354, 404",435.00₽,DongFeng,Фильтры,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/11/bc8e46de3bf111e5b74550e5499eff42_1283c9949b9b11ed8b09d85ed391f4ed-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d1%84%d0%b8%d0%bb%d1%8c%d1%82%d1%80%d0%b0/%d1%84%d0%b8%d0%bb%d1%8c%d1%82%d1%80-%d0%bc%d0%b0%d1%81%d0%bb%d1%8f%d0%bd%d1%8b%d0%b9-%d0%b3%d0%b8%d0%b4%d1%80%d0%b0%d0%b2%d0%bb%d0%b8%d0%ba%d0%b8-jx0811a-1-12-jinma-164-200204240-244-dongfeng/
"Фильтр масляный JX0707А/JX0810S/JX85100/JX0809  M24х2 Jinma 200, 204, Булат 244, DF 244/240,SF244GL",480.00₽,DongFeng,Фильтры,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/10/c94583f26d6e11e5bfc240167eb2b975_3e08664e869d11e5a65340167eb2b975-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d1%84%d0%b8%d0%bb%d1%8c%d1%82%d1%80%d0%b0/%d1%84%d0%b8%d0%bb%d1%8c%d1%82%d1%80-%d0%bc%d0%b0%d1%81%d0%bb%d1%8f%d0%bd%d1%8b%d0%b9-jx0707%d0%b0-jx0810s-jx85100-jx0809-m24%d1%852-jinma-200-204-%d0%b1%d1%83%d0%bb%d0%b0%d1%82-244-df-244-240sf2/
Фильтр масляный JX0810 (NJ427)/ LX427/JX85100A (JX85100AB) 3/4-16 DongFeng 244; Jinma 354,410.00₽,DongFeng,Фильтры,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2025/06/61d4a2c357ad11e594cc40167eb2b975_5e27d010bc4f11ef9afdd85ed391f4ed-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d1%84%d0%b8%d0%bb%d1%8c%d1%82%d1%80%d0%b0/%d1%84%d0%b8%d0%bb%d1%8c%d1%82%d1%80-%d0%bc%d0%b0%d1%81%d0%bb%d1%8f%d0%bd%d1%8b%d0%b9-jx0810-nj427-lx427-jx85100a-jx85100ab-3-4-16-dongfeng-244-jinma-354/
"Фильтр масляный JX0810A DongFeng 244, 404",445.00₽,DongFeng,Фильтры,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2025/06/6c3d422ce77111e5b54140167eb2b975_78e9d615fff911e7923e704d7b641f5c-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d1%84%d0%b8%d0%bb%d1%8c%d1%82%d1%80%d0%b0/%d1%84%d0%b8%d0%bb%d1%8c%d1%82%d1%80-%d0%bc%d0%b0%d1%81%d0%bb%d1%8f%d0%bd%d1%8b%d0%b9-jx0810a-dongfeng-244-404/
Фильтр масляный JX0810Y M24х2 DongFeng 404,435.00₽,DongFeng,Фильтры,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2025/04/d8360aa050c111e78c0240167eb2b975_ad0e98dab89e11e7b3cc704d7b641f5c-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d1%84%d0%b8%d0%bb%d1%8c%d1%82%d1%80%d0%b0/%d1%84%d0%b8%d0%bb%d1%8c%d1%82%d1%80-%d0%bc%d0%b0%d1%81%d0%bb%d1%8f%d0%bd%d1%8b%d0%b9-jx0810y-m24%d1%852-dongfeng-404/
"Фильтр масляный WB202 (JX0810B; JX0810BD; SM114) М20х1,5 DongFeng-244",435.00₽,DongFeng,Фильтры,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2025/06/8cc90af61a7e11e7991940167eb2b975_870bce14414811e78c0240167eb2b975-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d1%84%d0%b8%d0%bb%d1%8c%d1%82%d1%80%d0%b0/%d1%84%d0%b8%d0%bb%d1%8c%d1%82%d1%80-%d0%bc%d0%b0%d1%81%d0%bb%d1%8f%d0%bd%d1%8b%d0%b9-wb202-jx0810b-jx0810bd-sm114-%d0%bc20%d1%8515-dongfeng-244/
"Фильтр топливный C0506 (C0506C) с крышкой в сборе TY290/295, J285, SF-244, DongFeng 244",1 260.00₽,DongFeng,Фильтры,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2025/03/23dcb6fcdeb011e59f9b40167eb2b975_35f80471512511ed8b05d85ed391f4ed-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d1%84%d0%b8%d0%bb%d1%8c%d1%82%d1%80%d0%b0/%d1%84%d0%b8%d0%bb%d1%8c%d1%82%d1%80-%d1%82%d0%be%d0%bf%d0%bb%d0%b8%d0%b2%d0%bd%d1%8b%d0%b9-c0506-c0506c-%d1%81-%d0%ba%d1%80%d1%8b%d1%88%d0%ba%d0%be%d0%b9-%d0%b2-%d1%81%d0%b1%d0%be%d1%80%d0%b5-ty290/
"Фильтр топливный СХ0710 М16х1,5 Jinma 404, DongFeng 354/ 404",355.00₽,DongFeng,Фильтры,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/10/8cc90af81a7e11e7991940167eb2b975_870bce11414811e78c0240167eb2b975-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d1%84%d0%b8%d0%bb%d1%8c%d1%82%d1%80%d0%b0/%d1%84%d0%b8%d0%bb%d1%8c%d1%82%d1%80-%d1%82%d0%be%d0%bf%d0%bb%d0%b8%d0%b2%d0%bd%d1%8b%d0%b9-%d1%81%d1%850710-%d0%bc16%d1%8515-jinma-404-dongfeng-354-404/
"Фильтр масляный JX85100C М24х2 SHIFENG/Шифенг 254, Фотон 404, DF 304",455.00₽,Foton,Фильтры,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/10/8cc90afa1a7e11e7991940167eb2b975_dbcb165f3a2f11e78c0240167eb2b975-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d1%84%d0%b8%d0%bb%d1%8c%d1%82%d1%80%d0%b0/%d1%84%d0%b8%d0%bb%d1%8c%d1%82%d1%80-%d0%bc%d0%b0%d1%81%d0%bb%d1%8f%d0%bd%d1%8b%d0%b9-jx85100c-%d0%bc24%d1%852-shifeng-%d1%88%d0%b8%d1%84%d0%b5%d0%bd%d0%b3-254-%d1%84%d0%be%d1%82%d0%be%d0%bd-404-df/
