name,price,brand,category,subcategory,sku,image_url,link,,
БРС 1/2″ ISO A быстроразъемное соединение гидравлики,605.00₽,Универсальные,Гидравлика,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/68ed8ad356b611e594cc40167eb2b975_19b1d6e8deac11e9a778e0d55e0cd2d6-250x248.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b3%d0%b8%d0%b4%d1%80%d0%b0%d0%b2%d0%bb%d0%b8%d0%ba%d0%b0/%d1%80%d0%b2%d0%b4-%d0%b8-%d0%ba%d0%be%d0%bc%d0%bf%d0%bb%d0%b5%d0%ba%d1%82%d1%83%d1%8e%d1%89%d0%b8%d0%b5/%d0%b1%d1%80%d1%81-1-2-iso-a-%d0%b1%d1%8b%d1%81%d1%82%d1%80%d0%be%d1%80%d0%b0%d0%b7%d1%8a%d0%b5%d0%bc%d0%bd%d0%be%d0%b5-%d1%81%d0%be%d0%b5%d0%b4%d0%b8%d0%bd%d0%b5%d0%bd%d0%b8%d0%b5-%d0%b3%d0%b8%d0%b4/,,
БРС 3/8″ ISO A быстроразъемное соединение гидравлики,730.00₽,Универсальные,Гидравлика,,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/72c9d47bcd4f11ed8b10d85ed391f4ed_72c9d47ccd4f11ed8b10d85ed391f4ed-250x248.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b3%d0%b8%d0%b4%d1%80%d0%b0%d0%b2%d0%bb%d0%b8%d0%ba%d0%b0/%d1%80%d0%b2%d0%b4-%d0%b8-%d0%ba%d0%be%d0%bc%d0%bf%d0%bb%d0%b5%d0%ba%d1%82%d1%83%d1%8e%d1%89%d0%b8%d0%b5/%d0%b1%d1%80%d1%81-3-8-iso-a-%d0%b1%d1%8b%d1%81%d1%82%d1%80%d0%be%d1%80%d0%b0%d0%b7%d1%8a%d0%b5%d0%bc%d0%bd%d0%be%d0%b5-%d1%81%d0%be%d0%b5%d0%b4%d0%b8%d0%bd%d0%b5%d0%bd%d0%b8%d0%b5-%d0%b3%d0%b8%d0%b4/,,
"Болт штуцерный полый М20х1,5",99.00₽,Универсальные,Гидравлика,Метизы,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/c37080e7839911ea9a86704d7b641f5c_f7aea1d54b1a11ebbac2704d7b641f5c-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b3%d0%b8%d0%b4%d1%80%d0%b0%d0%b2%d0%bb%d0%b8%d0%ba%d0%b0/%d1%80%d0%b2%d0%b4-%d0%b8-%d0%ba%d0%be%d0%bc%d0%bf%d0%bb%d0%b5%d0%ba%d1%82%d1%83%d1%8e%d1%89%d0%b8%d0%b5/%d0%b1%d0%be%d0%bb%d1%82-%d1%88%d1%82%d1%83%d1%86%d0%b5%d1%80%d0%bd%d1%8b%d0%b9-%d0%bf%d0%be%d0%bb%d1%8b%d0%b9-%d0%bc20%d1%8515/,,
Гидробак КУН,4 730.00₽,Универсальные,Гидравлика,Гидробаки,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/09/f12bbffa46fe11e990fe704d7b641f5c_f12bbffb46fe11e990fe704d7b641f5c-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b7%d0%b0%d0%bf%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d0%b4%d0%bb%d1%8f-%d0%bd%d0%b0%d0%b2%d0%b5%d1%81%d0%bd%d0%be%d0%b3%d0%be-%d0%be%d0%b1%d0%be%d1%80%d1%83%d0%b4%d0%be%d0%b2%d0%b0%d0%bd%d0%b8%d1%8f/%d0%bf%d1%80%d0%be%d1%87%d0%b8%d0%b5-%d0%be%d1%80%d1%83%d0%b4%d0%b8%d1%8f/%d0%b3%d0%b8%d0%b4%d1%80%d0%be%d0%b1%d0%b0%d0%ba-%d0%ba%d1%83%d0%bd/,,
Гидрораспределитель 1Р40(Z50)-K16 с плавающим режимом,4 590.00₽,Универсальные,Гидравлика,Гидрораспределители,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/11/fc338827c5b011ea87d3704d7b641f5c_caf9fedc150011f09b07d85ed391f4ed-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b3%d0%b8%d0%b4%d1%80%d0%b0%d0%b2%d0%bb%d0%b8%d0%ba%d0%b0/%d0%b3%d0%b8%d0%b4%d1%80%d0%be%d1%80%d0%b0%d1%81%d0%bf%d1%80%d0%b5%d0%b4%d0%b5%d0%bb%d0%b8%d1%82%d0%b5%d0%bb%d0%b8/%d0%b3%d0%b8%d0%b4%d1%80%d0%be%d1%80%d0%b0%d1%81%d0%bf%d1%80%d0%b5%d0%b4%d0%b5%d0%bb%d0%b8%d1%82%d0%b5%d0%bb%d1%8c-1%d1%8040z50-k16-%d1%81-%d0%bf%d0%bb%d0%b0%d0%b2%d0%b0%d1%8e%d1%89%d0%b8%d0%bc/,,
Гидрораспределитель 1Р40-А1 GKZ1,3 180.00₽,Универсальные,Гидравлика,Гидрораспределители,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2025/04/44d63ecc86b911e998ec704d7b641f5c_245cc393f74d11ea8285704d7b641f5c-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b3%d0%b8%d0%b4%d1%80%d0%b0%d0%b2%d0%bb%d0%b8%d0%ba%d0%b0/%d0%b3%d0%b8%d0%b4%d1%80%d0%be%d1%80%d0%b0%d1%81%d0%bf%d1%80%d0%b5%d0%b4%d0%b5%d0%bb%d0%b8%d1%82%d0%b5%d0%bb%d0%b8/%d0%b3%d0%b8%d0%b4%d1%80%d0%be%d1%80%d0%b0%d1%81%d0%bf%d1%80%d0%b5%d0%b4%d0%b5%d0%bb%d0%b8%d1%82%d0%b5%d0%bb%d1%8c-1%d1%8040-%d0%b01-gkz1/,,
Гидрораспределитель 1Р40-А8 GKz1 с фиксацией,3 530.00₽,Универсальные,Гидравлика,Гидрораспределители,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2025/10/965042cd451711ebbac2704d7b641f5c_caad18bbaefd11f09b15d85ed391f4ed-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b3%d0%b8%d0%b4%d1%80%d0%b0%d0%b2%d0%bb%d0%b8%d0%ba%d0%b0/%d0%b3%d0%b8%d0%b4%d1%80%d0%be%d1%80%d0%b0%d1%81%d0%bf%d1%80%d0%b5%d0%b4%d0%b5%d0%bb%d0%b8%d1%82%d0%b5%d0%bb%d0%b8/%d0%b3%d0%b8%d0%b4%d1%80%d0%be%d1%80%d0%b0%d1%81%d0%bf%d1%80%d0%b5%d0%b4%d0%b5%d0%bb%d0%b8%d1%82%d0%b5%d0%bb%d1%8c-1%d1%8040-%d0%b08-gkz1-%d1%81-%d1%84%d0%b8%d0%ba%d1%81%d0%b0%d1%86%d0%b8%d0%b5%d0%b9/,,
Гидрораспределитель 1Р80-А8 (Болгария) с фиксацией золотника,9 210.00₽,Универсальные,Гидравлика,Гидрораспределители,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/07/3f9649bbb10611ed8b10d85ed391f4ed_3f9649bcb10611ed8b10d85ed391f4ed-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b3%d0%b8%d0%b4%d1%80%d0%b0%d0%b2%d0%bb%d0%b8%d0%ba%d0%b0/%d0%b3%d0%b8%d0%b4%d1%80%d0%be%d1%80%d0%b0%d1%81%d0%bf%d1%80%d0%b5%d0%b4%d0%b5%d0%bb%d0%b8%d1%82%d0%b5%d0%bb%d0%b8/%d0%b3%d0%b8%d0%b4%d1%80%d0%be%d1%80%d0%b0%d1%81%d0%bf%d1%80%d0%b5%d0%b4%d0%b5%d0%bb%d0%b8%d1%82%d0%b5%d0%bb%d1%8c-1%d1%8080-%d0%b08-%d0%b1%d0%be%d0%bb%d0%b3%d0%b0%d1%80%d0%b8%d1%8f-%d1%81-%d1%84/,,
Гидрораспределитель 2Р40(Z50)-1A1K16 GKZ1 (Болгария) с плавающим режимом,11 800.00₽,Универсальные,Гидравлика,Гидрораспределители,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/11/0c60948877a811e9ad71704d7b641f5c_440d9fe5779d11e9ad71704d7b641f5c-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b3%d0%b8%d0%b4%d1%80%d0%b0%d0%b2%d0%bb%d0%b8%d0%ba%d0%b0/%d0%b3%d0%b8%d0%b4%d1%80%d0%be%d1%80%d0%b0%d1%81%d0%bf%d1%80%d0%b5%d0%b4%d0%b5%d0%bb%d0%b8%d1%82%d0%b5%d0%bb%d0%b8/%d0%b3%d0%b8%d0%b4%d1%80%d0%be%d1%80%d0%b0%d1%81%d0%bf%d1%80%d0%b5%d0%b4%d0%b5%d0%bb%d0%b8%d1%82%d0%b5%d0%bb%d1%8c-2%d1%8040z50-1a1k16-gkz1-%d0%b1%d0%be%d0%bb%d0%b3%d0%b0%d1%80%d0%b8%d1%8f-%d1%81/,,
Гидрораспределитель 2Р40-1А8А8 GKZ1 с фиксацией 2х золотников,5 120.00₽,Универсальные,Гидравлика,Гидрораспределители,,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/wp-content/uploads/2024/12/be4f3286c5b311ea87d3704d7b641f5c_0cb370f1f74d11ea8285704d7b641f5c-250x250.jpg,https://xn----7sbabpgpk4bsbesjp1f.xn--p1ai/shop/%d0%b3%d0%b8%d0%b4%d1%80%d0%b0%d0%b2%d0%bb%d0%b8%d0%ba%d0%b0/%d0%b3%d0%b8%d0%b4%d1%80%d0%be%d1%80%d0%b0%d1%81%d0%bf%d1%80%d0%b5%d0%b4%d0%b5%d0%bb%d0%b8%d1%82%d0%b5%d0%bb%d0%b8/%d0%b3%d0%b8%d0%b4%d1%80%d0%be%d1%80%d0%b0%d1%81%d0%bf%d1%80%d0%b5%d0%b4%d0%b5%d0%bb%d0%b8%d1%82%d0%b5%d0%bb%d1%8c-2%d1%8040-1%d0%b08%d0%b08-gkz1-%d1%81-%d1%84%d0%b8%d0%ba%d1%81%d0%b0%d1%86%d0%b8/,,
