title,article,price,brand,category,stock,description,url,image_url
Амортизатор капота L-630 мм,8830,517,DongFeng,Запчасти,В наличии,,https://tata-agro-moto.com/ru/amortizator-kapota-l-630-mm/,https://tata-agro-moto.com/image/cache/catalog/products/1c/8830/8830-1-410x410.jpg
"Амортизатор капота на трактор Dongfeng, L-700 мм",7483,538,DongFeng,Запчасти,Уточняйте,,https://tata-agro-moto.com/ru/amortizator-kapota-na-traktor-dongfeng-l-700-mm/,https://tata-agro-moto.com/image/cache/catalog/products/1c/7483/7483-1-410x410.jpg
Амперметр DongFeng 240/244,8334,255,DongFeng,Запчасти,В наличии,,https://tata-agro-moto.com/ru/ampermetr-dongfeng-240-244/,https://tata-agro-moto.com/image/cache/catalog/products/1c/8334/8334-1-410x410.JPEG
Бак топливный TTG DongFeng 240/244,8384,3612,DongFeng,Запчасти,Уточняйте,,https://tata-agro-moto.com/ru/bak-toplivnyy-ttg-dongfeng-240-244/,https://tata-agro-moto.com/image/cache/catalog/products/1c/8384/8384-1-410x410.JPEG
Балка левая телескопическая DongFeng 240/244,8385,2199,DongFeng,Запчасти,В наличии,,https://tata-agro-moto.com/ru/balka-levaya-teleskopicheskaya-dongfeng-240-244/,https://tata-agro-moto.com/image/cache/catalog/products/1c/8385/8385-1-410x410.JPEG
Балка передняя центральная DongFeng 240/244,8386,3157,DongFeng,Запчасти,Уточняйте,,https://tata-agro-moto.com/ru/balka-perednyaya-centralynaya-dongfeng-240-244/,https://tata-agro-moto.com/image/cache/catalog/products/1c/8386/8386-1-410x410.JPEG
Балка правая телескопическая DongFeng 240/244,8387,2199,DongFeng,Запчасти,В наличии,,https://tata-agro-moto.com/ru/balka-pravaya-teleskopicheskaya-dongfeng-240-244/,https://tata-agro-moto.com/image/cache/catalog/products/1c/8387/8387-1-410x410.JPEG
Барабан тормозной DongFeng 244/240,7491,726,DongFeng,Запчасти,Уточняйте,,https://tata-agro-moto.com/ru/baraban-tormoznoy-dongfeng-244-240/,https://tata-agro-moto.com/image/cache/catalog/products/1c/7491/7491-1-410x410.JPEG
Барабан тормозной DongFeng 354,7492,611,DongFeng,Запчасти,В наличии,,https://tata-agro-moto.com/ru/baraban-tormoznoy-dongfeng-354/,https://tata-agro-moto.com/image/cache/catalog/products/1c/7492/7492-1-410x410.JPEG
Блок переключателей (перекл.света + аварийка) DongFeng 240/2..,8831,736,DongFeng,Запчасти,В наличии,,https://tata-agro-moto.com/ru/blok-pereklyuchateley-perekl-sveta-avariyka-dongfeng-240-244/,https://tata-agro-moto.com/image/cache/catalog/products/1c/8831/8831-1-410x410.jpg
Блок переключателей (повороты + сигнал) DongFeng 240/244,8684,688,DongFeng,Запчасти,В наличии,,https://tata-agro-moto.com/ru/blok-pereklyuchateley-povoroty-signal-dongfeng-240-244/,https://tata-agro-moto.com/image/cache/catalog/products/1c/8684/8684-1-410x410.jpg
