title,article,price,brand,category,stock,description,url,image_url
Бак топливный Foton 250/254,4567,5363,Foton,Запчасти,Уточняйте,,https://tata-agro-moto.com/ru/bak-toplivnyy-foton-250-254/,https://tata-agro-moto.com/image/cache/catalog/products/1c/4567/4567-1-410x410.JPG
Барабан тормозной Foton 240/244,4571,567,Foton,Запчасти,Уточняйте,,https://tata-agro-moto.com/ru/baraban-tormoznoy-foton-240-244/,https://tata-agro-moto.com/image/cache/catalog/products/1c/4571/4571-1-410x410.JPG
"Блок перемещения вилки включения 3/4 передачи Foton 244, Jin..",7795,260,Foton,Запчасти,В наличии,,https://tata-agro-moto.com/ru/blok-peremescheniya-vilki-vklyucheniya-3-4-peredachi-foton-244-jinma-244-264/,https://tata-agro-moto.com/image/cache/catalog/products/1c/7795/7795-1-410x410.jpg
Блок предохранителей Foton,7105,629,Foton,Запчасти,В наличии,,https://tata-agro-moto.com/ru/blok-predohraniteley-foton/,https://tata-agro-moto.com/image/cache/catalog/products/1c/7105/7105-1-410x410.JPEG
"Блок реле в сборе Foton 244, ДТЗ 244, Jinma 244",7311,970,Foton,Запчасти,В наличии,,https://tata-agro-moto.com/ru/blok-rele-v-sbore-foton-244-dtz-244-jinma-244/,https://tata-agro-moto.com/image/cache/catalog/products/1c/7311/7311-1-410x410.jpeg
"Блок реле в сборе TTG на трактор Foton 244, ДТЗ 244, Jinma 2..",7311D,949,Foton,Запчасти,Уточняйте,,https://tata-agro-moto.com/ru/blok-rele-v-sbore-ttg-na-traktor-foton-244-dtz-244-jinma-244-ucenka/,https://tata-agro-moto.com/image/cache/catalog/products/1c/7311D/7311D-1-410x410.jpg
Болт крепления груза заднего колеса Foton 240/244,5998,346,Foton,Запчасти,Уточняйте,,https://tata-agro-moto.com/ru/bolt-krepleniya-gruza-zadnego-kolesa-foton-240-244/,https://tata-agro-moto.com/image/cache/catalog/products/1c/5998/5998-1-410x410.jpg
Болт ступицы переднего колеса Foton 240/244,4572,163,Foton,Запчасти,В наличии,,https://tata-agro-moto.com/ru/bolt-stupicy-perednego-kolesa-foton-240-244/,https://tata-agro-moto.com/image/cache/catalog/products/1c/4572/4572-1-410x410.jpg
Болт тяговый двухдискового сцепления Foton 240/244,4573,160,Foton,Запчасти,В наличии,,https://tata-agro-moto.com/ru/bolt-tyagovyy-dvuhdiskovogo-scepleniya-foton-240-244/,https://tata-agro-moto.com/image/cache/catalog/products/1c/4573/4573-1-410x410.JPG
Болт фиксирующий оси сателлита Foton 240/244,4574,67,Foton,Запчасти,В наличии,,https://tata-agro-moto.com/ru/bolt-fiksiruyuschiy-osi-satellita-foton-240-244/,https://tata-agro-moto.com/image/cache/catalog/products/1c/4574/4574-1-410x410.JPG
Важіль з тросом дросельної заслінки ручний в зборі Foton 244..,7878D,260,Foton,Запчасти,Уточняйте,,https://tata-agro-moto.com/ru/vazhily-z-trosom-droselynoji-zaslinki-ruchniy-v-zbori-foton-244-jinma-244-264-ucenka/,https://tata-agro-moto.com/image/cache/catalog/products/1c/7878D/7878D-1-410x410.jpg
Вал блокировки Foton 240/244,4575,361,Foton,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-blokirovki-foton-240-244/,https://tata-agro-moto.com/image/cache/catalog/products/1c/4575/4575-1-410x410.JPG
"Вал вертикальный переднего моста L-235 мм, Z-18/18 Foton 354..",7796,848,Foton,Запчасти,Уточняйте,,https://tata-agro-moto.com/ru/val-vertikalynyy-perednego-mosta-l-235-mm-z-18-18-foton-354-404/,https://tata-agro-moto.com/image/cache/catalog/products/1c/7796/7796-1-410x410.JPEG
"Вал вилки блокировки дифференциала Foton 244, ДТЗ 244, Jinma..",8477,498,Foton,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-vilki-blokirovki-differenciala-foton-244-dtz-244-jinma-244-264/,https://tata-agro-moto.com/image/cache/catalog/products/1c/8477/8477-1-410x410.JPEG
"Вал вилки блокировки дифференциала L-275 Z16 Foton 244, ДТЗ ..",8476,1331,Foton,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-vilki-blokirovki-differenciala-l-275-z16-foton-244-dtz-244-jinma-244-264/,https://tata-agro-moto.com/image/cache/catalog/products/1c/8476/8476-1-410x410.JPEG
"Вал вилки блокировки дифференциала L-300 мм Z16 Foton 244, Д..",8475,1331,Foton,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-vilki-blokirovki-differenciala-l-300-mm-z16-foton-244-dtz-244-jinma-244-264/,https://tata-agro-moto.com/image/cache/catalog/products/1c/8475/8475-1-410x410.JPEG
Вал вилки переключения оборотов ВОМ Foton 250/254,4586,354,Foton,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-vilki-pereklyucheniya-oborotov-vom-foton-250-254/,https://tata-agro-moto.com/image/cache/catalog/products/1c/4586/4586-1-410x410.JPG
"Вал ВОМ L-245 мм Z-6/22 Foton 244, Jinma 244/264",7797,1352,Foton,Запчасти,Уточняйте,,https://tata-agro-moto.com/ru/val-vom-l-245-mm-z-6-22-foton-244-jinma-244-264/,https://tata-agro-moto.com/image/cache/catalog/products/1c/7797/7797-1-410x410.JPEG
Вал ВОМ L-825 мм Z-15/15 Foton 354/404,7798,1401,Foton,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-vom-l-825-mm-z-15-15-foton-354-404/,https://tata-agro-moto.com/image/cache/catalog/products/1c/7798/7798-1-410x410.JPEG
Вал вторичный КПП L-253 мм Z-28/25/22 Foton 354/404,7799,1579,Foton,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-vtorichnyy-kpp-l-253-mm-z-28-25-22-foton-354-404/,https://tata-agro-moto.com/image/cache/catalog/products/1c/7799/7799-1-410x410.JPEG
"Вал гидравлики подъемный TTG на трактор Foton 244, ДТЗ 244, ..",7599,1401,Foton,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-gidravliki-podaemnyy-ttg-na-traktor-foton-244-dtz-244-jinma-244-264-l-355-mm-z-8-31-8/,https://tata-agro-moto.com/image/cache/catalog/products/1c/7599/7599-1-410x410.jpg
"Вал карданный приводной TTG на трактор Foton 244, Jinma 244/..",7800,1051,Foton,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-kardannyy-privodnoy-ttg-na-traktor-foton-244-jinma-244-264-l-570-mm-z-19-15/,https://tata-agro-moto.com/image/cache/catalog/products/1c/7800/7800-1-410x410.jpg
"Вал карданный приводной Z-15/19 на трактор Foton 244, Jinma ..",7801,1051,Foton,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-kardannyy-privodnoy-z-15-19-na-traktor-foton-244-jinma-244-264-l-505-mm/,https://tata-agro-moto.com/image/cache/catalog/products/1c/7801/7801-1-410x410.jpeg
"Вал отбора мощности L-400 мм Z-15/11/16 Foton 244, ДТЗ 244, ..",7600,1459,Foton,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-otbora-moschnosti-l-400-mm-z-15-11-16-foton-244-dtz-244-jinma-244-264/,https://tata-agro-moto.com/image/cache/catalog/products/1c/7600/7600-1-410x410.JPEG
Вал первичный L-425 мм Z-16 Foton 240/244,8705,1688,Foton,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-pervichnyy-l-425-mm-z-16-foton-240-244/,https://tata-agro-moto.com/image/cache/catalog/products/1c/8705/8705-1-410x410.JPG
Вал первичный Z-18/Z-26 КПП Foton 354/404,8479,1908,Foton,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-pervichnyy-z-18-z-26-kpp-foton-354-404/,https://tata-agro-moto.com/image/cache/catalog/products/1c/8479/8479-1-410x410.JPEG
"Вал первичный КПП L-351 мм Z-16 Foton 244, Jinma 244/264",7803,1836,Foton,Запчасти,Уточняйте,,https://tata-agro-moto.com/ru/val-pervichnyy-kpp-l-351-mm-z-16-foton-244-jinma-244-264/,https://tata-agro-moto.com/image/cache/catalog/products/1c/7803/7803-1-410x410.JPEG
"Вал первичный КПП L-390 мм Z-15/16/15 Foton 244, Jinma 244/2..",7802,1513,Foton,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-pervichnyy-kpp-l-390-mm-z-15-16-15-foton-244-jinma-244-264/,https://tata-agro-moto.com/image/cache/catalog/products/1c/7802/7802-1-410x410.JPEG
