title,article,price,brand,category,stock,description,url,image_url
Амортизатор двери кабины газовый Jinma 254C,6266,365,Jinma,Запчасти,Уточняйте,,https://tata-agro-moto.com/ru/amortizator-dveri-kabiny-gazovyy-jinma-254c/,https://tata-agro-moto.com/image/cache/catalog/products/1c/6266/6266-1-410x410.jpg
Балка передняя регулируемая Jinma 220/250,9285,1448,Jinma,Запчасти,В наличии,,https://tata-agro-moto.com/ru/balka-perednyaya-reguliruemaya-jinma-220-250/,https://tata-agro-moto.com/image/cache/catalog/products/1c/9285/9285-1-410x410.JPG
Барабан тормозной Jinma,8161,688,Jinma,Запчасти,В наличии,,https://tata-agro-moto.com/ru/baraban-tormoznoy-jinma/,https://tata-agro-moto.com/image/cache/catalog/products/1c/8161/8161-1-410x410.JPEG
Блок переключателей комплект Jinma 244,4764,904,Jinma,Запчасти,В наличии,,https://tata-agro-moto.com/ru/blok-pereklyuchateley-komplekt-jinma-244/,https://tata-agro-moto.com/image/cache/catalog/products/1c/4764/4764-1-410x410.JPG
Болт конической ведомой шестерни (тип 2) Jinma 404,6309,49,Jinma,Запчасти,В наличии,,https://tata-agro-moto.com/ru/bolt-konicheskoy-vedomoy-shesterni-tip-2-jinma-404/,https://tata-agro-moto.com/image/cache/catalog/products/1c/6309/6309-1-410x410.jpg
Болт ушковый рычага отжимного сцепления Jinma 240/244,6293,113,Jinma,Запчасти,В наличии,,https://tata-agro-moto.com/ru/bolt-ushkovyy-rychaga-otzhimnogo-scepleniya-jinma-240-244/,https://tata-agro-moto.com/image/cache/catalog/products/1c/6293/6293-1-410x410.jpg
Вал c шестерней раздаточной коробки ведомый (Z-17/Z-6) Jinma..,4705,1003,Jinma,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-c-shesterney-razdatochnoy-korobki-vedomyy-z-17-z-6-jinma-240-244/,https://tata-agro-moto.com/image/cache/catalog/products/1c/4705/4705-1-410x410.JPG
Вал c шестерней раздаточной коробки ведомый (Z-19/Z-15) Jinm..,4706,1003,Jinma,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-c-shesterney-razdatochnoy-korobki-vedomyy-z-19-z-15-jinma-240-244/,https://tata-agro-moto.com/image/cache/catalog/products/1c/4706/4706-1-410x410.JPG
Вал c шестерней раздаточной коробки ведомый (Z-19/Z-15) на т..,4706D,611,Jinma,Запчасти,Уточняйте,,https://tata-agro-moto.com/ru/val-c-shesterney-razdatochnoy-korobki-vedomyy-z-19-z-15-na-traktor-jinma-240-244-ucenka/,https://tata-agro-moto.com/image/cache/catalog/products/1c/4706D/4706D-1-410x410.jpg
Вал вертикальный переднего моста TTG на трактор Jinma 200/20..,8162,946,Jinma,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-vertikalynyy-perednego-mosta-ttg-na-traktor-jinma-200-204-240-244/,https://tata-agro-moto.com/image/cache/catalog/products/1c/8162/8162-1-410x410.jpg
Вал вилка переключения повышенной/пониженной передачи Jinma ..,8508,327,Jinma,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-vilka-pereklyucheniya-povyshennoy-ponizhennoy-peredachi-jinma-200-204-240-244/,https://tata-agro-moto.com/image/cache/catalog/products/1c/8508/8508-1-410x410.JPEG
Вал вилки 3/4-й передачи Jinma 254,4699,301,Jinma,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-vilki-3-4-y-peredachi-jinma-254/,https://tata-agro-moto.com/image/cache/catalog/products/1c/4699/4699-1-410x410.JPG
Вал вилки Jinma 244,4766,279,Jinma,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-vilki-jinma-244/,https://tata-agro-moto.com/image/cache/catalog/products/1c/4766/4766-1-410x410.jpg
Вал вилки Jinma 254,4700,299,Jinma,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-vilki-jinma-254/,https://tata-agro-moto.com/image/cache/catalog/products/1c/4700/4700-1-410x410.JPG
Вал вилки включения повыш./пониж. передач Jinma 240/244,4707,265,Jinma,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-vilki-vklyucheniya-povysh-ponizh-peredach-jinma-240-244/,https://tata-agro-moto.com/image/cache/catalog/products/1c/4707/4707-1-410x410.JPG
Вал ВОМ L-195 мм Z-14/15 Jinma 200/204/240/244,8805,841,Jinma,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-vom-l-195-mm-z-14-15-jinma-200-204-240-244/,https://tata-agro-moto.com/image/cache/catalog/products/1c/8805/8805-1-410x410.JPEG
Вал главный раздаточной коробки Jinma 200/204/240/244,8164,841,Jinma,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-glavnyy-razdatochnoy-korobki-jinma-200-204-240-244/,https://tata-agro-moto.com/image/cache/catalog/products/1c/8164/8164-1-410x410.JPEG
Вал горизонтальный переднего моста Jinma 200/204/240/244,8503,770,Jinma,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-gorizontalynyy-perednego-mosta-jinma-200-204-240-244/,https://tata-agro-moto.com/image/cache/catalog/products/1c/8503/8503-1-410x410.JPEG
"Вал горизонтальный переднего моста Jinma 200/204/240/244, ти..",8503D,844,Jinma,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-gorizontalynyy-perednego-mosta-jinma-200-204-240-244-tip-2/,https://tata-agro-moto.com/image/cache/catalog/products/1c/8503D/8503D-1-410x410.jpg
Вал дополнительной КПП Jinma 244,4767,738,Jinma,Запчасти,Уточняйте,,https://tata-agro-moto.com/ru/val-dopolnitelynoy-kpp-jinma-244/,https://tata-agro-moto.com/image/cache/catalog/products/1c/4767/4767-1-410x410.jpg
Вал заднего хода Jinma 404,6312,299,Jinma,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-zadnego-hoda-jinma-404/,https://tata-agro-moto.com/image/cache/catalog/products/1c/6312/6312-1-410x410.jpg
Вал карданный заднего моста L-230 мм Z-6/16 Jinma 200/204/24..,8165D,688,Jinma,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-kardannyy-zadnego-mosta-l-230-mm-z-6-16-jinma-200-204-240-244-tip-2/,https://tata-agro-moto.com/image/cache/catalog/products/1c/8165D/8165D-1-410x410.jpg
Вал карданный заднего моста L-230 мм Z-6/16 Jinma 200/204/24..,8165,732,Jinma,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-kardannyy-zadnego-mosta-l-230-mm-z-6-16-jinma-200-204-240-244/,https://tata-agro-moto.com/image/cache/catalog/products/1c/8165/8165-1-410x410.JPEG
"Вал отбора мощности на трактор Jinma 254, 540 об/мин",4698,1448,Jinma,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-otbora-moschnosti-na-traktor-jinma-254-540-ob-min/,https://tata-agro-moto.com/image/cache/catalog/products/1c/4698/4698-1-410x410.jpg
Вал педали тормоза Jinma 200/204/240/244,8504,579,Jinma,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-pedali-tormoza-jinma-200-204-240-244/,https://tata-agro-moto.com/image/cache/catalog/products/1c/8504/8504-1-410x410.JPEG
Вал первичный Jinma 254,4701,2042,Jinma,Запчасти,Уточняйте,,https://tata-agro-moto.com/ru/val-pervichnyy-jinma-254/,https://tata-agro-moto.com/image/cache/catalog/products/1c/4701/4701-1-410x410.JPG
"Вал первичный Jinma 254, тип 2",4701D,1051,Jinma,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-pervichnyy-jinma-254-tip-2/,https://tata-agro-moto.com/image/cache/catalog/products/1c/4701D/4701D-1-410x410.jpg
Вал первичный ВОМ (тип 2) Jinma 404,6315,534,Jinma,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-pervichnyy-vom-tip-2-jinma-404/,https://tata-agro-moto.com/image/cache/catalog/products/1c/6315/6315-1-410x410.jpg
Вал первичный ВОМ Jinma 404,6314,599,Jinma,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-pervichnyy-vom-jinma-404/,https://tata-agro-moto.com/image/cache/catalog/products/1c/6314/6314-1-410x410.jpg
Вал первичный заднего моста L-378 мм Z-15/16 Jinma 200/204/2..,8166,1401,Jinma,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-pervichnyy-zadnego-mosta-l-378-mm-z-15-16-jinma-200-204-240-244/,https://tata-agro-moto.com/image/cache/catalog/products/1c/8166/8166-1-410x410.JPEG
Вал первичный КПП Jinma 404,6313,1261,Jinma,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-pervichnyy-kpp-jinma-404/,https://tata-agro-moto.com/image/cache/catalog/products/1c/6313/6313-1-410x410.jpg
Вал первичный КПП L-433 мм Z-16/16 на трактор Jinma 200/204/..,8167,1724,Jinma,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-pervichnyy-kpp-l-433-mm-z-16-16-na-traktor-jinma-200-204-240-244/,https://tata-agro-moto.com/image/cache/catalog/products/1c/8167/8167-1-410x410.jpg
Вал подъемника Jinma 404,6316,1191,Jinma,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-podaemnika-jinma-404/,https://tata-agro-moto.com/image/cache/catalog/products/1c/6316/6316-1-410x410.jpg
Вал подъемный L-380 мм Z-8/31/8 Jinma 200/204/240/244,8168,1612,Jinma,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-podaemnyy-l-380-mm-z-8-31-8-jinma-200-204-240-244/,https://tata-agro-moto.com/image/cache/catalog/products/1c/8168/8168-1-410x410.JPEG
"Вал привода КПП TTG на минитрактор Jinma 200/204/240/244, ти..",14478,2513,Jinma,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-privoda-kpp-ttg-na-minitraktor-jinma-200-204-240-244-tip-2/,https://tata-agro-moto.com/image/cache/catalog/products/1c/14478/14478-1-410x410.jpg
Вал привода переднего моста Jinma 404,6317,981,Jinma,Запчасти,Уточняйте,,https://tata-agro-moto.com/ru/val-privoda-perednego-mosta-jinma-404/,https://tata-agro-moto.com/image/cache/catalog/products/1c/6317/6317-1-410x410.jpg
"Вал привода переднего моста TTG на минитрактор Jinma 404, ти..",14484,1016,Jinma,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-privoda-perednego-mosta-ttg-na-minitraktor-jinma-404-tip-2/,https://tata-agro-moto.com/image/cache/catalog/products/1c/14484/14484-1-410x410.jpg
Вал промежуточный раздаточной коробки L-73 мм Jinma 200/204/..,8169,392,Jinma,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-promezhutochnyy-razdatochnoy-korobki-l-73-mm-jinma-200-204-240-244/,https://tata-agro-moto.com/image/cache/catalog/products/1c/8169/8169-1-410x410.JPEG
Вал раздатки L-635 мм Z-6/15 Jinma 200/204/240/244,8170,1016,Jinma,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-razdatki-l-635-mm-z-6-15-jinma-200-204-240-244/,https://tata-agro-moto.com/image/cache/catalog/products/1c/8170/8170-1-410x410.JPEG
Вал раздаточной коробки ведомый TTG Z-19/Z-18 на минитрактор..,14538,911,Jinma,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-razdatochnoy-korobki-vedomyy-ttg-z-19-z-18-na-minitraktor-jinma-240-244/,https://tata-agro-moto.com/image/cache/catalog/products/1c/14538/14538-1-410x410.jpg
Вал рулевого механизма L-630 мм (с червяком) - Jinma 200/204..,8171,1096,Jinma,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-rulevogo-mehanizma-l-630-mm-s-chervyakom-jinma-200-204-240-244/,https://tata-agro-moto.com/image/cache/catalog/products/1c/8171/8171-1-410x410.JPEG
Вал рулевого механизма L-630mm (с червяком) — Jinma 200/204/..,8171DD,841,Jinma,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-rulevogo-mehanizma-l-630mm-s-chervyakom-jinma-200-204-240-244-tip-2/,https://tata-agro-moto.com/image/cache/catalog/products/1c/8171DD/8171DD-1-410x410.jpg
Вал рулевого механизма с подшипником (нового образца) Jinma ..,8506,995,Jinma,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-rulevogo-mehanizma-s-podshipnikom-novogo-obrazca-jinma-200-204-240-244/,https://tata-agro-moto.com/image/cache/catalog/products/1c/8506/8506-1-410x410.jpg
Вал с шестерней раздаточной коробки ведомый TTG на минитракт..,9268,392,Jinma,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-s-shesterney-razdatochnoy-korobki-vedomyy-ttg-na-minitraktor-jinma-200-204-240-244/,https://tata-agro-moto.com/image/cache/catalog/products/1c/9268/9268-1-410x410.jpg
Вал силовой передачи двухдискового сцепления Jinma 404,6321,374,Jinma,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-silovoy-peredachi-dvuhdiskovogo-scepleniya-jinma-404/,https://tata-agro-moto.com/image/cache/catalog/products/1c/6321/6321-1-410x410.jpg
Вал сцепления ВОМ Jinma 404,6322,688,Jinma,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-scepleniya-vom-jinma-404/,https://tata-agro-moto.com/image/cache/catalog/products/1c/6322/6322-1-410x410.jpg
Вал сцепления главный Jinma 200/204/240/244,8507,1331,Jinma,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-scepleniya-glavnyy-jinma-200-204-240-244/,https://tata-agro-moto.com/image/cache/catalog/products/1c/8507/8507-1-410x410.JPEG
Вал тормозных колодок неподвижный Jinma,8172,223,Jinma,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-tormoznyh-kolodok-nepodvizhnyy-jinma/,https://tata-agro-moto.com/image/cache/catalog/products/1c/8172/8172-1-410x410.JPEG
Вал тормозных колодок подвижный Jinma,8173,214,Jinma,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-tormoznyh-kolodok-podvizhnyy-jinma/,https://tata-agro-moto.com/image/cache/catalog/products/1c/8173/8173-1-410x410.JPEG
Вал шестерни заднего хода Jinma 240/244,4703,374,Jinma,Запчасти,Уточняйте,,https://tata-agro-moto.com/ru/val-shesterni-zadnego-hoda-jinma-240-244/,https://tata-agro-moto.com/image/cache/catalog/products/1c/4703/4703-1-410x410.JPG
"Вал шестерни заднего хода Jinma 240/244, тип 2",4703D,265,Jinma,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-shesterni-zadnego-hoda-jinma-240-244-tip-2/,https://tata-agro-moto.com/image/cache/catalog/products/1c/4703D/4703D-1-410x410.jpg
Вал шестерни заднего хода Jinma 254,4702,451,Jinma,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-shesterni-zadnego-hoda-jinma-254/,https://tata-agro-moto.com/image/cache/catalog/products/1c/4702/4702-1-410x410.JPG
Вал шестерни заднего хода на трактор Jinma 240/244 УЦЕНКА,4703DD,111,Jinma,Запчасти,Уточняйте,,https://tata-agro-moto.com/ru/val-shesterni-zadnego-hoda-na-traktor-jinma-240-244-ucenka/,https://tata-agro-moto.com/image/cache/catalog/products/1c/4703DD/4703DD-1-410x410.jpg
Вал-шестерня привода шестерни конечной передачи Z-13 Jinma 4..,6325D,911,Jinma,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-shesternya-privoda-shesterni-konechnoy-peredachi-z-13-jinma-404-ucenka/,https://tata-agro-moto.com/image/cache/catalog/products/1c/6325D/6325D-1-410x410.jpg
Вал-шестерня привода шестерни конечной передачи Z-13 Jinma 4..,6325,1146,Jinma,Запчасти,Уточняйте,,https://tata-agro-moto.com/ru/val-shesternya-privoda-shesterni-konechnoy-peredachi-z-13-jinma-404/,https://tata-agro-moto.com/image/cache/catalog/products/1c/6325/6325-1-410x410.jpg
Вилка 1/2-й передачи Jinma 200/204/240/244,9270,308,Jinma,Запчасти,В наличии,,https://tata-agro-moto.com/ru/vilka-1-2-y-peredachi-jinma-200-204-240-244/,https://tata-agro-moto.com/image/cache/catalog/products/1c/9270/9270-1-410x410.JPEG
