title,article,price,brand,category,stock,description,url,image_url
Амперметр - МТ,7044,213,Zubr,Запчасти,Уточняйте,,https://tata-agro-moto.com/ru/ampermetr-mt/,https://tata-agro-moto.com/image/cache/catalog/products/1c/7044/7044-1-410x410.JPEG
Амперметр - МТ YBX,11726,176,Zubr,Запчасти,В наличии,,https://tata-agro-moto.com/ru/ampermetr-mt-ybx/,https://tata-agro-moto.com/image/cache/catalog/products/1c/11726/11726-1-410x410.jpg
Балка левая TΛTΛ на мототрактор,11228,1316,Zubr,Запчасти,В наличии,,https://tata-agro-moto.com/ru/balka-levaya-tata-na-mototraktor/,https://tata-agro-moto.com/image/cache/catalog/products/1c/11228/11228-1-410x410.jpg
Балка правая TΛTΛ на мототрактор,11227,1316,Zubr,Запчасти,В наличии,,https://tata-agro-moto.com/ru/balka-pravaya-tata-na-mototraktor/,https://tata-agro-moto.com/image/cache/catalog/products/1c/11227/11227-1-410x410.jpg
Балка центральная TΛTΛ на мототрактор,11226,2164,Zubr,Запчасти,В наличии,,https://tata-agro-moto.com/ru/balka-centralynaya-tata-na-mototraktor/,https://tata-agro-moto.com/image/cache/catalog/products/1c/11226/11226-1-410x410.jpg
Бардачок TΛTΛ на мототрактор,26316,593,Zubr,Запчасти,Уточняйте,,https://tata-agro-moto.com/ru/bardachok-tata-na-mototraktor/,https://tata-agro-moto.com/image/cache/catalog/products/1c/26316/26316-1-410x410.jpg
Вал рулевого механизма горизонтальный - MТ ZUBR,4950,869,Zubr,Запчасти,Уточняйте,,https://tata-agro-moto.com/ru/val-rulevogo-mehanizma-gorizontalynyy-mt-zubr/,https://tata-agro-moto.com/image/cache/catalog/products/1c/4950/4950-1-410x410.jpg
Вилка тяги сцепления - МТ,6988,99,Zubr,Запчасти,В наличии,,https://tata-agro-moto.com/ru/vilka-tyagi-scepleniya-mt/,https://tata-agro-moto.com/image/cache/catalog/products/1c/6988/6988-1-410x410.JPG
Вилка тяги сцепления - МТ  YBX,27202,92,Zubr,Запчасти,В наличии,,https://tata-agro-moto.com/ru/vilka-tyagi-scepleniya-mt-ybx/,https://tata-agro-moto.com/image/cache/catalog/products/1c/27202/27202-1-410x410.jpg
Втулка рулевой колонки TΛTΛ на мототрактор,11229,96,Zubr,Запчасти,В наличии,,https://tata-agro-moto.com/ru/vtulka-rulevoy-kolonki-tata-na-mototraktor/,https://tata-agro-moto.com/image/cache/catalog/products/1c/11229/11229-1-410x410.jpg
"Гайка круглая M27x1,5 - МТ",5806,53,Zubr,Запчасти,В наличии,,https://tata-agro-moto.com/ru/gayka-kruglaya-m27x1-5-mt/,https://tata-agro-moto.com/image/cache/catalog/products/1c/5806/5806-1-410x410.jpg
"Гайка круглая M27x1,5 - МТ YBX",13673,53,Zubr,Запчасти,В наличии,,https://tata-agro-moto.com/ru/gayka-kruglaya-m27x1-5-mt-ybx/,https://tata-agro-moto.com/image/cache/catalog/products/1c/13673/13673-1-410x410.jpg
Генератор - Mototraktor,18825,1002,Zubr,Запчасти,Уточняйте,,https://tata-agro-moto.com/ru/generator-mototraktor/,https://tata-agro-moto.com/image/cache/catalog/products/1c/18825/18825-1-410x410.jpg
Генератор TΛTΛ на мототрактор УЦЕНКА,18825D,949,Zubr,Запчасти,Уточняйте,,https://tata-agro-moto.com/ru/generator-tata-na-mototraktor-ucenka/,https://tata-agro-moto.com/image/cache/catalog/products/1c/18825D/18825D-1-410x410.jpg
