title,article,price,brand,category,stock,description,url,image_url
Амперметр на трактор Xingtai,7103,259,Xingtai,Запчасти,В наличии,,https://tata-agro-moto.com/ru/ampermetr-na-traktor-xingtai/,https://tata-agro-moto.com/image/cache/catalog/products/1c/7103/7103-1-410x410.jpg
Бак топливный TTG в сборе Xingtai 180/220,7927,4632,Xingtai,Запчасти,Уточняйте,,https://tata-agro-moto.com/ru/bak-toplivnyy-ttg-v-sbore-xingtai-180-220/,https://tata-agro-moto.com/image/cache/catalog/products/1c/7927/7927-1-410x410.JPEG
Бак топливный в сборе Xingtai 120/160,7926,1382,Xingtai,Запчасти,Уточняйте,,https://tata-agro-moto.com/ru/bak-toplivnyy-v-sbore-xingtai-120-160/,https://tata-agro-moto.com/image/cache/catalog/products/1c/7926/7926-1-410x410.JPEG
Балка передняя L-665 мм Xingtai 120/160,7928,2702,Xingtai,Запчасти,В наличии,,https://tata-agro-moto.com/ru/balka-perednyaya-l-665-mm-xingtai-120-160/,https://tata-agro-moto.com/image/cache/catalog/products/1c/7928/7928-1-410x410.JPEG
Балка передняя регулируемая левая Xingtai 220,4457,1842,Xingtai,Запчасти,В наличии,,https://tata-agro-moto.com/ru/balka-perednyaya-reguliruemaya-levaya-xingtai-220/,https://tata-agro-moto.com/image/cache/catalog/products/1c/4457/4457-1-410x410.JPG
Балка передняя регулируемая правая Xingtai 220,4458,1948,Xingtai,Запчасти,В наличии,,https://tata-agro-moto.com/ru/balka-perednyaya-reguliruemaya-pravaya-xingtai-220/,https://tata-agro-moto.com/image/cache/catalog/products/1c/4458/4458-1-410x410.JPG
Балка центральная Xingtai 220,4459,3278,Xingtai,Запчасти,Уточняйте,,https://tata-agro-moto.com/ru/balka-centralynaya-xingtai-220/,https://tata-agro-moto.com/image/cache/catalog/products/1c/4459/4459-1-410x410.JPG
Барабан тормозной на трактор Xingtai 120/220,7929,1711,Xingtai,Запчасти,В наличии,,https://tata-agro-moto.com/ru/baraban-tormoznoy-na-traktor-xingtai-120-220/,https://tata-agro-moto.com/image/cache/catalog/products/1c/7929/7929-1-410x410.jpeg
Блок предохранителей Xingtai,7106,324,Xingtai,Запчасти,В наличии,,https://tata-agro-moto.com/ru/blok-predohraniteley-xingtai/,https://tata-agro-moto.com/image/cache/catalog/products/1c/7106/7106-1-410x410.JPEG
Болт лапки сцепления TΛTΛ для тракторов Xingtai УЦЕНКА,7654D,70,Xingtai,Запчасти,В наличии,,https://tata-agro-moto.com/ru/bolt-lapki-scepleniya-tata-dlya-traktorov-xingtai-ucenka/,https://tata-agro-moto.com/image/cache/catalog/products/1c/7654D/7654D-1-410x410.jpg
Болт лапки сцепления на трактор Xingtai,7654,86,Xingtai,Запчасти,Уточняйте,,https://tata-agro-moto.com/ru/bolt-lapki-scepleniya-na-traktor-xingtai/,https://tata-agro-moto.com/image/cache/catalog/products/1c/7654/7654-1-410x410.jpg
Болт штуцерный Xingtai 120/220,6896,42,Xingtai,Запчасти,В наличии,,https://tata-agro-moto.com/ru/bolt-shtucernyy-xingtai-120-220/,https://tata-agro-moto.com/image/cache/catalog/products/1c/6896/6896-1-410x410.jpg
"Вал BOM TTG Z-6 на трактор Xingtai 120/220, L-210 мм",7933,953,Xingtai,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-bom-ttg-z-6-na-traktor-xingtai-120-220-l-210-mm/,https://tata-agro-moto.com/image/cache/catalog/products/1c/7933/7933-1-410x410.jpg
Вал вилки 1-й передачи и заднего хода Xingtai 120/220,8489,308,Xingtai,Запчасти,Уточняйте,,https://tata-agro-moto.com/ru/val-vilki-1-y-peredachi-i-zadnego-hoda-xingtai-120-220/,https://tata-agro-moto.com/image/cache/catalog/products/1c/8489/8489-1-410x410.JPEG
"Вал вилки 2/3-й передачи TTG на трактор Xingtai 120/220, тип..",8490D,233,Xingtai,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-vilki-2-3-y-peredachi-ttg-na-traktor-xingtai-120-220-tip-2/,https://tata-agro-moto.com/image/cache/catalog/products/1c/8490D/8490D-1-410x410.jpg
Вал вилки 2/3-й передачи TΛTΛ на минитрактор Xingtai 120/220..,13644,308,Xingtai,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-vilki-2-3-y-peredachi-tata-na-minitraktor-xingtai-120-220-tip-2/,https://tata-agro-moto.com/image/cache/catalog/products/1c/13644/13644-1-410x410.jpg
Вал вилки 2/3-й передачи Xingtai 120/220,8490,290,Xingtai,Запчасти,Уточняйте,,https://tata-agro-moto.com/ru/val-vilki-2-3-y-peredachi-xingtai-120-220/,https://tata-agro-moto.com/image/cache/catalog/products/1c/8490/8490-1-410x410.JPEG
Вал вилки включения НШ Xingtai 120/220,7930,435,Xingtai,Запчасти,Уточняйте,,https://tata-agro-moto.com/ru/val-vilki-vklyucheniya-nsh-xingtai-120-220/,https://tata-agro-moto.com/image/cache/catalog/products/1c/7930/7930-1-410x410.JPEG
Вал вилки повышенной/пониженной передачи Xingtai 120/220,8491,244,Xingtai,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-vilki-povyshennoy-ponizhennoy-peredachi-xingtai-120-220/,https://tata-agro-moto.com/image/cache/catalog/products/1c/8491/8491-1-410x410.JPEG
Вал ВОМ (второй) L-405 мм Xingtai 224/244,7944,1261,Xingtai,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-vom-vtoroy-l-405-mm-xingtai-224-244/,https://tata-agro-moto.com/image/cache/catalog/products/1c/7944/7944-1-410x410.JPEG
Вал ВОМ (первый) L-202 мм Z-6/6 Xingtai 120/220,7931,981,Xingtai,Запчасти,Уточняйте,,https://tata-agro-moto.com/ru/val-vom-pervyy-l-202-mm-z-6-6-xingtai-120-220/,https://tata-agro-moto.com/image/cache/catalog/products/1c/7931/7931-1-410x410.JPEG
Вал ВОМ L-232 мм Z-6/16 Xingtai 240/244,7934,890,Xingtai,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-vom-l-232-mm-z-6-16-xingtai-240-244/,https://tata-agro-moto.com/image/cache/catalog/products/1c/7934/7934-1-410x410.JPEG
"Вал ВОМ второй (стандартный) Z-6/18 на трактор Xingtai, L-31..",7656,1378,Xingtai,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-vom-vtoroy-standartnyy-z-6-18-na-traktor-xingtai-l-315-mm/,https://tata-agro-moto.com/image/cache/catalog/products/1c/7656/7656-1-410x410.jpeg
Вал ВОМ старого образца (не стандартный) L-370 мм Z-6/6 Xing..,7932,886,Xingtai,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-vom-starogo-obrazca-ne-standartnyy-l-370-mm-z-6-6-xingtai-120-220/,https://tata-agro-moto.com/image/cache/catalog/products/1c/7932/7932-1-410x410.JPEG
Вал головки включения/выключения ВОМ TTG на трактор Xingtai ..,9188D,202,Xingtai,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-golovki-vklyucheniya-vyklyucheniya-vom-ttg-na-traktor-xingtai-120-tip-2/,https://tata-agro-moto.com/image/cache/catalog/products/1c/9188D/9188D-1-410x410.jpg
Вал головки включения/выключения ВОМ Xingtai 120,9188,374,Xingtai,Запчасти,Уточняйте,,https://tata-agro-moto.com/ru/val-golovki-vklyucheniya-vyklyucheniya-vom-xingtai-120/,https://tata-agro-moto.com/image/cache/catalog/products/1c/9188/9188-1-410x410.JPEG
Вал первичный L-380 мм Z-15/16 Xingtai 240/244,7936,1744,Xingtai,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-pervichnyy-l-380-mm-z-15-16-xingtai-240-244/,https://tata-agro-moto.com/image/cache/catalog/products/1c/7936/7936-1-410x410.JPEG
Вал первичный TTG дополнительной на КПП Z-6/19 L-165 мм на т..,7657,981,Xingtai,Запчасти,Уточняйте,,https://tata-agro-moto.com/ru/val-pervichnyy-ttg-dopolnitelynoy-na-kpp-z-6-19-l-165-mm-na-traktor-xingtai/,https://tata-agro-moto.com/image/cache/catalog/products/1c/7657/7657-1-410x410.jpg
"Вал первичный TΛTΛ на трактор  Xingtai 120/220, L-285 мм, Z-..",7935D,981,Xingtai,Запчасти,В наличии,,https://tata-agro-moto.com/ru/val-pervichnyy-tata-na-traktor-xingtai-120-220-l-285-mm-z-6-16-6-tip-2/,https://tata-agro-moto.com/image/cache/catalog/products/1c/7935D/7935D-1-410x410.jpg
