id,name,category_id,part_type,engine_model,category_spec
12031,ЗИП,2,parts,,
12032,Стандартные изделия,2,parts,,
12033,Запчасти для тракторов,2,parts,,
12034,Запчасти для навесного оборудования,2,parts,,
12035,Запчасти для дизелей,2,parts,,
12036,"Колёса, шины, груза",2,parts,,
12024,Ожидается,2,parts,,
12025,Прочие запчасти,2,parts,,
12026,Двигателя дизельные,2,engines,,
12027,Карданные валы,2,parts,,
12028,Гидравлика,2,hydraulics,,
12029,Универсальные комплектующие,2,parts,,
12030,Фильтра,2,filters,,
12328,Переходник (адаптер) 6 (1 3/4″) * 6 (1 3/8″) шлицов карданного вала,2,parts,,Карданные валы
12448,Сальник 50х75х12 коленвала S195,2,parts,,Стандартные изделия
12609,Скоба П-образная (Стремянка) М14 85х115,2,parts,,Стандартные изделия
12996,Диск в сборе желт. пресс-подборщик YK0850/YK0870 (D=65 мм).,2,parts,,Запчасти для навесного оборудования
13270,"Пластина крепежная для бороны 1BQX/ 1BJX 2,2",2,parts,,Запчасти для навесного оборудования
13338,Комплект прокладок двигателя LL385 BT (без прокладки ГБЦ),2,engines,,Запчасти для дизелей
13405,"Рычаг отжимной (Лапка сцепления) для KM385, JD295, JD2100, TY295IT",2,parts,,Запчасти для дизелей
14468,Борт боковой прицепа 1.5 тонны,2,parts,,Прочие запчасти
13702,Топливопровод Высокого Давления 1го цилиндра TY295IT (JD),2,fuel-system,,Запчасти для дизелей
14052,Цепи противоскольжения 11.20 – 20.00 с шипами (комплект),2,parts,,"Колёса, шины, груза"
14182,Борт боковой прицепа 1.5 тонны,2,parts,,Прочие запчасти
14557,Каркас кабины,2,parts,,Прочие запчасти
14176,Адаптер трехточечный к минитрактору СКАУТ,2,parts,,Прочие запчасти
14558,Каркас кабины,2,parts,,Прочие запчасти
14210,Грунтозацепы (d=27 см),2,parts,,Прочие запчасти
14225,Зеркало заднего вида для трактора (универсальное направление),2,parts,,Прочие запчасти
14227,Каркас кабины,2,parts,,Прочие запчасти
14431,Глушитель в сборе ZS1110/ZS1115,2,parts,,Ожидается
14432,"Насос шестеренчатый НШ левый CBN-E320 (плоский привод, с площадкой, выходы под 90°)",2,pumps,,Ожидается
14434,Прокладка ГБЦ двигателя HS380,2,engines,,Ожидается
14435,Прокладка крышки головки блока цилиндров (клапанной крышки) ZS1110/ZS1115,2,parts,,Ожидается
14436,Пружина кручения декомпрессионного механизма JD295,2,parts,,Ожидается
14438,Стеклодержатель,2,parts,,Ожидается
14439,Уралец,2,parts,,
14442,Скаут,2,parts,,
14523,Грунтозацепы (d=27 см),2,parts,,Прочие запчасти
14524,Грунтозацепы (d=27 см),2,parts,,Прочие запчасти
14553,Зеркало заднего вида для трактора (универсальное направление),2,parts,,Прочие запчасти
14554,Зеркало заднего вида для трактора (универсальное направление),2,parts,,Прочие запчасти
14591,Колеса для пресс-подборщика (комплект 2 шт),2,parts,,Прочие запчасти
14592,Колеса для пресс-подборщика (комплект 2 шт),2,parts,,Прочие запчасти
14647,Крылья передние квадратные Уралец 220,2,parts,,Прочие запчасти
14648,Крылья передние квадратные Уралец 220,2,parts,,Прочие запчасти
14773,Прокладка ГБЦ TY290/295 (медь) TY290.02.140 1,2,parts,,Прочие запчасти
14774,Прокладка ГБЦ TY290/295 (медь) TY290.02.140 1,2,parts,,Прочие запчасти
15200,Переходник (адаптер) 6 (1 3/4″) * 6 (1 3/8″) шлицов карданного вала,2,parts,,Карданные валы
15288,Сальник 50х75х12 коленвала S195,2,parts,,Стандартные изделия
15449,Скоба П-образная (Стремянка) М14 85х115,2,parts,,Стандартные изделия
16841,Переходники (адаптеры) (9),2,parts,,Карданные валы
16027,"Пластина крепежная для бороны 1BQX/ 1BJX 2,2",2,parts,,Запчасти для навесного оборудования
16842,Цепи противоскольжения (21),2,parts,,"Колёса, шины, груза"
16843,Колеса в сборе (2),2,parts,,"Колёса, шины, груза"
16095,Комплект прокладок двигателя LL385 BT (без прокладки ГБЦ),2,engines,,Запчасти для дизелей
20071,Грунтозацепы (d=27 см),2,parts,,Прочие запчасти
20072,Грунтозацепы (d=27 см),2,parts,,Прочие запчасти
20101,Зеркало заднего вида для трактора (универсальное направление),2,parts,,Прочие запчасти
20102,Зеркало заднего вида для трактора (универсальное направление),2,parts,,Прочие запчасти
20105,Каркас кабины,2,parts,,Прочие запчасти
20106,Каркас кабины,2,parts,,Прочие запчасти
16844,Покрышки (шины) (46),2,parts,,"Колёса, шины, груза"
16845,Камеры колесные (26),2,parts,,"Колёса, шины, груза"
20139,Колеса для пресс-подборщика (комплект 2 шт),2,parts,,Прочие запчасти
20140,Колеса для пресс-подборщика (комплект 2 шт),2,parts,,Прочие запчасти
20195,Крылья передние квадратные Уралец 220,2,parts,,Прочие запчасти
20196,Крылья передние квадратные Уралец 220,2,parts,,Прочие запчасти
16846,Диски колесные (25),2,parts,,"Колёса, шины, груза"
16847,Груза колесные (4),2,parts,,"Колёса, шины, груза"
16698,Цепи противоскольжения 11.20 – 20.00 с шипами (комплект),2,parts,,"Колёса, шины, груза"
20321,Прокладка ГБЦ TY290/295 (медь) TY290.02.140 1,2,parts,,Прочие запчасти
20322,Прокладка ГБЦ TY290/295 (медь) TY290.02.140 1,2,parts,,Прочие запчасти
16815,Прочие трактора: Fengshou FS180/ Shifeng /Шифенг/ Mahindra/ YTO (19),2,parts,,Запчасти для тракторов
16818,Запчасти для мототракторов и мотоблоков (22),2,parts,,Запчасти для тракторов
16838,Валы карданные (73),2,parts,,Карданные валы
16839,Крестовины и части (22),2,parts,,Карданные валы
16840,Муфты предохранительные (17),2,parts,,Карданные валы
16848,Адаптер трехточечный к минитрактору СКАУТ,2,parts,,Прочие запчасти
16849,Адаптер трехточечный к минитрактору СКАУТ,2,parts,,Прочие запчасти
