title,article,price,brand,category,stock,description,url,image_url
Пыльник рычага переключения передач DongFeng 240/244,200.37.153,360.00,DongFeng,Запчасти,В наличии,"Пыльник кулисы переключения передач DongFeng 240/244
Диаметр наружный/внутренний (мм) — 42/16
Высота..",https://zip-agro.ru/pylnik-kulisy-pereklyucheniya-peredach-dongfeng-240244,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/4/d0bfd18bd0bbd18cd0bdd0b8d0ba-d0bad183d0bbd0b8d181d18b-d0bfd0b5d180d0b5d0bad0bbd18ed187d0b5d0bdd0b8d18f-d0bfd0b5d180d0b5d0b4d0b0d187-dong_60e41dd527b72-170x170.jpeg
Амперметр DongFeng 240/244,DFPT-307,618.70,DongFeng,Запчасти,В наличии,"Амперметр DongFeng 240/244
Диаметр посадочный (мм) — 54
                                            ..",https://zip-agro.ru/ampermetr-dongfeng-240244,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/9/d0b0d0bcd0bfd0b5d180d0bcd0b5d182d180-dongfeng-240-244_60e41846c2fc6-170x170.jpeg
Бак топливный DongFeng 240/244,DF200.50.014A,15000.00,DongFeng,Запчасти,В наличии,"Бак топливный DongFeng 240/244
Габариты бака Д*Ш*В (мм) — 420 * 300 * 315
Вес (гр.) —
              ..",https://zip-agro.ru/bak-toplivnyj-dongfeng-240244,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/2/d0b1d0b0d0ba-d182d0bed0bfd0bbd0b8d0b2d0bdd18bd0b9-dongfeng-240-244_60e4184d3847d-170x170.jpeg
Барабан тормозной DongFeng 244/240,200.43.103-1,3200.00,DongFeng,Запчасти,В наличии,"Барабан тормозной DongFeng 244/240
Диаметр (мм) — 142
Количество зубьев (шт.) — 14
Высота (мм) — 57
..",https://zip-agro.ru/baraban-tormoznoj-dongfeng-244240,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/6/d0b1d0b0d180d0b0d0b1d0b0d0bd-d182d0bed180d0bcd0bed0b7d0bdd0bed0b9-dongfeng-244-240_60e418528904c-170x170.jpeg
Барабан тормозной DongFeng 354,300.43.134,2049.30,DongFeng,Запчасти,В наличии,"Барабан тормозной DongFeng 354
Диаметр (мм) — 195
Количество зубьев (шт.) — 14
Высота (мм) — 61
Вес ..",https://zip-agro.ru/baraban-tormoznoj-dongfeng-354,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/9/d0b1d0b0d180d0b0d0b1d0b0d0bd-d182d0bed180d0bcd0bed0b7d0bdd0bed0b9-dongfeng-354_60e4185772dcb-170x170.jpeg
Блок переключателей (2 позиционный) DongFeng 240/244,JK938A,1744.55,DongFeng,Запчасти,В наличии,"Блок переключателей (повороты + сигнал) DongFeng 240/244  Двухпозиционный
Вес (гр.) — 190
        ..",https://zip-agro.ru/blok-pereklyuchatelej-2-pozitsionnyj-dongfeng240244,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/1/d0b1d0bbd0bed0ba-d0bfd0b5d180d0b5d0bad0bbd18ed187d0b0d182d0b5d0bbd0b5d0b9-2-d0bfd0bed0b7d0b8d186d0b8d0bed0bdd0bdd18bd0b9-dongfeng240-244_60e4185cdbad6-170x170.jpeg
Блок предохранителей DongFeng 240/244,AX102,1499.60,DongFeng,Запчасти,В наличии,"Блок предохранителей DongFeng 240/244
Вес (гр.) — 430
                                              ..",https://zip-agro.ru/blok-predohranitelej-dongfeng-240244,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/5/d0b1d0bbd0bed0ba-d0bfd180d0b5d0b4d0bed185d180d0b0d0bdd0b8d182d0b5d0bbd0b5d0b9-dongfeng-240-244_60e418631aacc-170x170.jpeg
Болт крепления груза заднего колеса DongFeng 240/244,DF200.34.104-2,233.45,DongFeng,Запчасти,В наличии,"Болт крепления груза заднего колеса DongFeng 240/244
Диаметр (мм) — 14
Длина (мм) — 85
Вес (гр.) — 1..",https://zip-agro.ru/bolt-krepleniya-gruza-zadnego-kolesa-dongfeng-240244,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/7/d0b1d0bed0bbd182-d0bad180d0b5d0bfd0bbd0b5d0bdd0b8d18f-d0b3d180d183d0b7d0b0-d0b7d0b0d0b4d0bdd0b5d0b3d0be-d0bad0bed0bbd0b5d181d0b0-dongfeng_60e41867dc3d9-170x170.jpeg
Болт регулировочный сцепления 1 DongFeng 354/404,DF300.21C.114-1,190.90,DongFeng,Запчасти,В наличии,"Болт регулировочный сцепления 1 DongFeng 354/404
Длина болта (мм) — 90
Резьба — М10
Шаг резьбы (мм) ..",https://zip-agro.ru/bolt-regulirovochnyj-stsepleniya-1-dongfeng-354404,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/0/d0b1d0bed0bbd182-d180d0b5d0b3d183d0bbd0b8d180d0bed0b2d0bed187d0bdd18bd0b9-d181d186d0b5d0bfd0bbd0b5d0bdd0b8d18f-1-dongfeng-354-404_60e4186c9ea31-170x170.jpeg
Болт регулировочный сцепления 2 DongFeng 354/404,DF300.21C.113-1,170.20,DongFeng,Запчасти,В наличии,"Болт регулировочный сцепления 2 DongFeng 354/404
Длина (мм) — 46
Резьба — М10
Шаг резьбы (мм) — 1
Ве..",https://zip-agro.ru/bolt-regulirovochnyj-stsepleniya-2-dongfeng-354404,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/3/d0b1d0bed0bbd182-d180d0b5d0b3d183d0bbd0b8d180d0bed0b2d0bed187d0bdd18bd0b9-d181d186d0b5d0bfd0bbd0b5d0bdd0b8d18f-2-dongfeng-354-404_60e4187164afd-170x170.jpeg
Болт сцепления регулировочный DongFeng 244/240,200.21.107-1,170.20,DongFeng,Запчасти,В наличии,"Болт сцепления регулировочный DongFeng 244/240
Высота (мм) — 61
Диаметр шляпки (мм) — 13
Диаметр нож..",https://zip-agro.ru/bolt-stsepleniya-regulirovochnyj-dongfeng-244240,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/8/d0b1d0bed0bbd182-d181d186d0b5d0bfd0bbd0b5d0bdd0b8d18f-d180d0b5d0b3d183d0bbd0b8d180d0bed0b2d0bed187d0bdd18bd0b9-dongfeng-244-240_60e41876a1474-170x170.jpeg
Болт фиксирующий оси сателлита DongFeng 240/244,DF200.38.126,187.45,DongFeng,Запчасти,В наличии,"Болт фиксирующий оси сателлита DongFeng 240/244
Диаметр (мм) — 10
Длина (мм) — 67
Вес (гр.) — 37
   ..",https://zip-agro.ru/bolt-fiksiruyuschij-osi-satellita-dongfeng-240244,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/0/d0b1d0bed0bbd182-d184d0b8d0bad181d0b8d180d183d18ed189d0b8d0b9-d0bed181d0b8-d181d0b0d182d0b5d0bbd0bbd0b8d182d0b0-dongfeng-240-244_60e4187b6c31f-170x170.jpeg
"Вал L-377 мм, Z-19/19 DongFeng 354/404",300.37.134-1,2129.80,DongFeng,Запчасти,В наличии,"Вал L-377mm, Z-19/19 DongFeng 354/404
Диаметр (мм) — 30
Количество зубьев (шт.) — 19/19
Длина (мм) —..",https://zip-agro.ru/val-l-377-mm-z-1919-dongfeng-354404,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/2/d0b2d0b0d0bb-l-377mm-z-19-19-dongfeng-354-404_60e418803aaea-170x170.jpeg
Вал вилки 1 и задней передачи L-215 мм DongFeng 240/244,200.37.121-1,618.70,DongFeng,Запчасти,В наличии,"Вал Вилки 1 и задней передачи L-215 mm DongFeng 240/244
Диаметр (мм) — 15
Длина (мм) — 215
Вес (гр.)..",https://zip-agro.ru/val-vilki-1-i-zadnej-peredachi-l-215-mm-dongfeng-240244,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/4/d0b2d0b0d0bb-d0b2d0b8d0bbd0bad0b8-1-d0b8-d0b7d0b0d0b4d0bdd0b5d0b9-d0bfd0b5d180d0b5d0b4d0b0d187d0b8-l-215mm-dongfeng-240-244_60e418850e169-170x170.jpeg
Вал вилки 2 передачи L-345 мм DongFeng 240/244,200.37.125-1,618.70,DongFeng,Запчасти,В наличии,"Вал вилки 2 передачи L-345 mm DongFeng 240/244
Диаметр (мм) — 15
Длина (мм) — 345
Вес (гр.) — 439
  ..",https://zip-agro.ru/val-vilki-2-peredachi-l-345-mm-dongfeng-240244,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/9/d0b2d0b0d0bb-d0b2d0b8d0bbd0bad0b8-2-d0bfd0b5d180d0b5d0b4d0b0d187d0b8-l-345mm-dongfeng-240-244_60e41889c8589-170x170.jpeg
Вал вилки 3 и 4 передачи L-215 мм DongFeng 240/244,200.37.123-1,618.70,DongFeng,Запчасти,В наличии,"Вал вилки 3 и 4 передачи L-215 mm DongFeng 240/244
Диаметр (мм) — 15
Длина (мм) — 215
Вес (гр.) — 27..",https://zip-agro.ru/val-vilki-3-i-4-peredachi-l-215-mm-dongfeng-240244,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/4/d0b2d0b0d0bb-d0b2d0b8d0bbd0bad0b8-3-d0b8-4-d0bfd0b5d180d0b5d0b4d0b0d187d0b8-l-215mm-dongfeng-240-244_60e4188eded0f-170x170.jpeg
Вал вилки блокировки дифференциала L-363 мм диаметр 20 мм DongFeng 354/404,300.38.155-1,928.05,DongFeng,Запчасти,В наличии,"Вал вилки блокировки дифференциала L-363 mm Ø20 mm DongFeng 354/404
Диаметр (мм) — 20
Длина (мм) — 3..",https://zip-agro.ru/val-vilki-blokirovki-differentsiala-l-363-mm-diametr-20-mm-dongfeng-354404,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/7/d0b2d0b0d0bb-d0b2d0b8d0bbd0bad0b8-d0b1d0bbd0bed0bad0b8d180d0bed0b2d0bad0b8-d0b4d0b8d184d184d0b5d180d0b5d0bdd186d0b8d0b0d0bbd0b0-l-363mm-o2_60e41893ee644-170x170.jpeg
Вал вилки включения L-114 мм DongFeng,300.41B.111,759.00,DongFeng,Запчасти,В наличии,"Вал вилки включения оборотов ВОМ L-114 mm DongFeng
Диаметр (мм) — 15
Длина (мм) — 114
Вес (гр.) — 17..",https://zip-agro.ru/val-vilki-vklyucheniya-l-114-mm-dongfeng,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/0/d0b2d0b0d0bb-d0b2d0b8d0bbd0bad0b8-d0b2d0bad0bbd18ed187d0b5d0bdd0b8d18f-l-114mm-dongfeng_60e41898b0406-170x170.jpeg
Вал вилки выключения сцепления DongFeng 240/244,DF200.21.014A,1660.60,DongFeng,Запчасти,В наличии,"Вал вилки выключения сцепления DongFeng 240/244
Диаметр (мм) — 22
Длина (мм) — 275
Вес (гр.) — 851
 ..",https://zip-agro.ru/val-vilki-vyklyucheniya-stsepleniya-dongfeng-240244,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/7/d0b2d0b0d0bb-d0b2d0b8d0bbd0bad0b8-d0b2d18bd0bad0bbd18ed187d0b5d0bdd0b8d18f-d181d186d0b5d0bfd0bbd0b5d0bdd0b8d18f-dongfeng-240-244_60e4189da7e4f-170x170.jpeg
Вал входной (1000/540) DongFeng 354,DF300.37.103-A,4696.60,DongFeng,Запчасти,В наличии,"Вал входной (1000/540) DongFeng 354
Длина (мм) — 257
Количество зубов (шт.) — 17
Количество шлицов (..",https://zip-agro.ru/val-vhodnoj-1000540-dongfeng-354,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/0/d0b2d0b0d0bb-d0b2d185d0bed0b4d0bdd0bed0b9-1000-540-dongfeng-354_60e418a27fe1a-170x170.jpeg
Вал выходной КПП L-290 мм Z-11/8 DongFeng 240/244,200.37.137,3183.20,DongFeng,Запчасти,В наличии,"Вал выходной КПП L-290mm тип1 DongFeng 240/244
Диаметр (мм) — 20 / 27 / 12
Количество зубьев (шт.) —..",https://zip-agro.ru/val-vyhodnoj-kpp-l-290-mm-z-118-dongfeng-240244,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/0/d0b2d0b0d0bb-d0b2d18bd185d0bed0b4d0bdd0bed0b9-d0bad0bfd0bf-l-290mm-z-11-8-dongfeng-240-244_60e418a89321f-170x170.jpeg
Вал конечной передачи DongFeng 240/244,DF300.39A.101,2801.40,DongFeng,Запчасти,В наличии,"Вал конечной передачи DongFeng 240/244
Диаметр (мм) — 30/72/30
Количество зубьев (шт.) — 14/16/14
Дл..",https://zip-agro.ru/val-konechnoj-peredachi-dongfeng-240244,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/5/d0b2d0b0d0bb-d0bad0bed0bdd0b5d187d0bdd0bed0b9-d0bfd0b5d180d0b5d0b4d0b0d187d0b8-dongfeng-240-244_60e418ae03651-170x170.jpeg
Вал отбора мощности L-250 Z-6 Z-28 DongFeng 244/240/354/404,300.41B.114,3567.30,DongFeng,Запчасти,В наличии,"Вал отбора мощности L-250 Z-6 Z-28 DongFeng 244/240/354/404
Диаметр внутренний/наружный (мм) — 22/40..",https://zip-agro.ru/val-otbora-moschnosti-l-250-z-6-z-28-dongfeng-244240354404,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/9/d0b2d0b0d0bb-d0bed182d0b1d0bed180d0b0-d0bcd0bed189d0bdd0bed181d182d0b8-l-250-z-6-z-28-dongfeng-244-240-354-404_60e420cea03a4-170x170.jpeg
Вал первичный Z-14/17 L-260 мм DongFeng 244/240,200.37.102-2,3180.00,DongFeng,Запчасти,В наличии,"Вал первичный L-260 mm Z-14/17 DongFeng 244/240
                                                    ..",https://zip-agro.ru/val-pervichnyj-z-1417-l-260-mm-dongfeng-244240,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/0/d0b2d0b0d0bb-d0bfd0b5d180d0b2d0b8d187d0bdd18bd0b9-z-14-17-l-260mm-dongfeng-244-240_60e418b3d28db-170x170.jpeg
