title,url,brand,category,stock,article,price,image_url,description
Бак топливный Foton 250/254,https://zip-agro.ru/bak-toplivnyj-foton-250254,Foton,Запчасти,В наличии,TE300.50E.1.1,11366.60,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/5/d0b1d0b0d0ba-d182d0bed0bfd0bbd0b8d0b2d0bdd18bd0b9-foton-250-254_60e418caad39a-170x170.jpeg,"Бак топливный Foton 250/254
Габариты Д*Ш*В (мм) — 450 * 400 * 300(350)
Вес (кг) — 6,3
              .."
Барабан тормозной Foton 240/244,https://zip-agro.ru/baraban-tormoznoj-foton-240244,Foton,Запчасти,В наличии,FT250.43.105,1752.60,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/7/d0b1d0b0d180d0b0d0b1d0b0d0bd-d182d0bed180d0bcd0bed0b7d0bdd0bed0b9-foton-240-244_60e418d0c57e8-170x170.jpeg,"Барабан тормозной Foton 240/244
Диаметр наружный (мм) — 143
Диаметр внутри (мм) — 129
Диаметр по шли.."
"Блок перемещения вилки включения 3-4 передачи Foton 244, Jinma 244/264",https://zip-agro.ru/blok-peremescheniya-vilki-vklyucheniya-3-4-peredachi-foton-244-jinma-244264,Foton,Запчасти,В наличии,FT250.37.142,463.45,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/1/d0b1d0bbd0bed0ba-d0bfd0b5d180d0b5d0bcd0b5d189d0b5d0bdd0b8d18f-d0b2d0b8d0bbd0bad0b8-d0b2d0bad0bbd18ed187d0b5d0bdd0b8d18f-3-4-d0bfd0b5d180_60e418d6157c2-170x170.jpeg,"Уважаемые клиенты, обратите внимание - комплектация товара может отличаться от фото на сайте,
в раз.."
Блок предохранителей Foton,https://zip-agro.ru/blok-predohranitelej-foton,Foton,Запчасти,В наличии,FT250.48.042,1244.30,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/6/d0b1d0bbd0bed0ba-d0bfd180d0b5d0b4d0bed185d180d0b0d0bdd0b8d182d0b5d0bbd0b5d0b9-foton_60e418db6f69d-170x170.jpeg,"Уважаемые клиенты, обратите внимание - комплектация товара может отличаться от фото на сайте,
в раз.."
"Блок реле в сборе Foton 244, ДТЗ 244, Jinma 244",https://zip-agro.ru/blok-rele-v-sbore-foton-244-dtz-244-jinma-244,Foton,Запчасти,В наличии,TE250.482A.2,2559.90,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/0/d0b1d0bbd0bed0ba-d180d0b5d0bbd0b5-d0b2-d181d0b1d0bed180d0b5-foton-244-d0b4d182d0b7-244-jinma-244_60e418e029318-170x170.jpeg,"Блок реле в сборе Foton 244, ДТЗ 244,  Jinma 244
Вес (гр.) — 255
                                   .."
Болт тяговый двухдискового сцепления Foton 240/244,https://zip-agro.ru/bolt-tyagovyj-dvuhdiskovogo-stsepleniya-foton-240244,Foton,Запчасти,В наличии,FT400.21B.104,336.95,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/5/d0b1d0bed0bbd182-d182d18fd0b3d0bed0b2d18bd0b9-d0b4d0b2d183d185d0b4d0b8d181d0bad0bed0b2d0bed0b3d0be-d181d186d0b5d0bfd0bbd0b5d0bdd0b8_60e418e4e7840-170x170.jpeg,"Болт тяговый двухдискового сцепления Foton 240/244
Длина (мм) — 106
Резьба — М8
Диаметр болта (мм) —.."
Болт фиксации оси сателлитов Foton 240/244,https://zip-agro.ru/bolt-fiksatsii-osi-satellitov-foton-240244,Foton,Запчасти,В наличии,FT250.37.201,170.20,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/9/d0b1d0bed0bbd182-d184d0b8d0bad181d0b0d186d0b8d0b8-d0bed181d0b8-d181d0b0d182d0b5d0bbd0bbd0b8d182d0bed0b2-foton-240-244_60e418ea3c7f9-170x170.jpeg,"Болт фиксирующий оси сателлита Foton 240/244
Длина (мм) — 61
Резьба — М8
Диаметр (мм) — 5,6
Вес (гр..."
Вал блокировки Foton 240/244,https://zip-agro.ru/val-blokirovki-foton-240244,Foton,Запчасти,В наличии,FT250.37.027,882.05,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/3/d0b2d0b0d0bb-d0b1d0bbd0bed0bad0b8d180d0bed0b2d0bad0b8-foton-240-244_60e418efab9d8-170x170.jpeg,"Вал блокировки Foton 240/244
Длина общая (мм) — 230
Диаметр вала (мм) — 12
Вес (гр.) — 225
         .."
"Вал вертикальный переднего моста L-235 мм, Z-18/18 Foton 354/404",https://zip-agro.ru/val-vertikalnyj-perednego-mosta-l-235-mm-z-1818-foton-354404,Foton,Запчасти,В наличии,FT304.31F.110,2006.75,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/9/d0b2d0b0d0bb-d0b2d0b5d180d182d0b8d0bad0b0d0bbd18cd0bdd18bd0b9-d0bfd0b5d180d0b5d0b4d0bdd0b5d0b3d0be-d0bcd0bed181d182d0b0-l-235mm-z-18-18-foton_60e418f4e19c3-170x170.jpeg,"Уважаемые клиенты, обратите внимание - комплектация товара может отличаться от фото на сайте,
в раз.."
"Вал вилки блокировки дифференциала Foton 244, ДТЗ 244, Jinma 244/264,",https://zip-agro.ru/val-vilki-blokirovki-differentsiala-foton-244-dtz-244-jinma-244264,Foton,Запчасти,В наличии,FT250.37.267,1434.05,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/0/d0b2d0b0d0bb-d0b2d0b8d0bbd0bad0b8-d0b1d0bbd0bed0bad0b8d180d0bed0b2d0bad0b8-d0b4d0b8d184d184d0b5d180d0b5d0bdd186d0b8d0b0d0bbd0b0-foton-244_60e418f9c1233-170x170.jpeg,"Уважаемые клиенты, обратите внимание - комплектация товара может отличаться от фото на сайте,
в раз.."
