title,url,brand,category,stock,article,price,image_url,description
Амперметр Xingtai,https://zip-agro.ru/ampermetr-xingtai,Xingtai/Уралец,Запчасти,В наличии,CA10,800.00,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/5/d0b0d0bcd0bfd0b5d180d0bcd0b5d182d180-xingtai_60e41a1db2bba-170x170.jpeg,"Уважаемые клиенты, обратите внимание - комплектация товара может отличаться от фото на сайте,
в раз.."
Бак топливный в сборе Xingtai 120,https://zip-agro.ru/bak-toplivnyj-v-sbore-xingtai-120160,Xingtai/Уралец,Запчасти,В наличии,14D.50.011,5370.00,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/8/d0b1d0b0d0ba-d182d0bed0bfd0bbd0b8d0b2d0bdd18bd0b9-d0b2-d181d0b1d0bed180d0b5-xingtai-120-160_60e41a22b00ee-170x170.jpeg,"Бак топливный в сборе Xingtai 120Габариты бака: 245*240*280(295)mm
                                .."
Балка передняя L-665 мм Xingtai XT-120,https://zip-agro.ru/balka-perednyaya-l-665-mm-xingtai-120160,Xingtai/Уралец,Запчасти,В наличии,16.31.012,9500.00,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/2/d0b1d0b0d0bbd0bad0b0-d0bfd0b5d180d0b5d0b4d0bdd18fd18f-l-665mm-xingtai-120-160_60e41a27a8b08-170x170.jpeg,"Балка передняя L-665 мм для минитрактора Xingtai XT-120Уважаемые клиенты, обратите внимание - компле.."
Балка передняя регулируемая левая Xingtai 220,https://zip-agro.ru/balka-perednyaya-reguliruemaya-levaya-xingtai-220,Xingtai/Уралец,Запчасти,В наличии,XT220.31.013,5300.00,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/4/d0b1d0b0d0bbd0bad0b0-d0bfd0b5d180d0b5d0b4d0bdd18fd18f-d180d0b5d0b3d183d0bbd0b8d180d183d0b5d0bcd0b0d18f-d0bbd0b5d0b2d0b0d18f-xingtai-220_60e41a2e8df26-170x170.jpeg,"Балка передняя регулируемая левая Xingtai 220
Длина общая (мм) — 430
Под сошку (мм) — 30
Вес (кг).."
Балка передняя регулируемая правая Xingtai 220,https://zip-agro.ru/balka-perednyaya-reguliruemaya-pravaya-xingtai-220,Xingtai/Уралец,Запчасти,В наличии,XT220.31.014,5300.00,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/7/d0b1d0b0d0bbd0bad0b0-d0bfd0b5d180d0b5d0b4d0bdd18fd18f-d180d0b5d0b3d183d0bbd0b8d180d183d0b5d0bcd0b0d18f-d0bfd180d0b0d0b2d0b0d18f-xingtai-22_60e41a34c2aef-170x170.jpeg,"Балка передняя регулируемая правая Xingtai 220
Длина общая (мм) — 430
Диаметр под сошку (мм) — 30.."
Балка центральная Xingtai 220,https://zip-agro.ru/balka-tsentralnaya-xingtai-220,Xingtai/Уралец,Запчасти,В наличии,XT220.31.012,12000.00,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/0/d0b1d0b0d0bbd0bad0b0-d186d0b5d0bdd182d180d0b0d0bbd18cd0bdd0b0d18f-xingtai-220_60e41a3b00d4a-170x170.jpeg,"Балка центральная Xingtai 220
Длина общая (мм) — 790
Вес (кг.) — 7.150
                          .."
Барабан тормозной Xingtai 120/220,https://zip-agro.ru/baraban-tormoznoj-xingtai-120220,Xingtai/Уралец,Запчасти,В наличии,10T.43.101,2890.00,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/3/d0b1d0b0d180d0b0d0b1d0b0d0bd-d182d0bed180d0bcd0bed0b7d0bdd0bed0b9-xingtai-120-220_60e41a4067f48-170x170.jpeg,"Барабан тормозной Xingtai 120/220
Диаметр внутренний/наружный (мм) — 50/200
Высота (мм) — 62
Вес .."
Блок предохранителей Xingtai,https://zip-agro.ru/blok-predohranitelej-xingtai,Xingtai/Уралец,Запчасти,В наличии,BX504,990.00,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/7/d0b1d0bbd0bed0ba-d0bfd180d0b5d0b4d0bed185d180d0b0d0bdd0b8d182d0b5d0bbd0b5d0b9-xingtai_60e41a454d2c2-170x170.jpeg,"Уважаемые клиенты, обратите внимание - комплектация товара может отличаться от фото на сайте,
в раз.."
Болт — держатель сцепления Xingtai,https://zip-agro.ru/bolt-dergatel-stsepleniya-xingtai,Xingtai/Уралец,Запчасти,В наличии,10.21.104,150.00,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/9/d0b1d0bed0bbd182-d0b4d0b5d180d0b6d0b0d182d0b5d0bbd18c-d181d186d0b5d0bfd0bbd0b5d0bdd0b8d18f-xingtai_60e41f9d8f425-170x170.jpeg,"Болт — держатель сцепления Xingtai
Диаметр (мм) — 8
Длина (мм) — 59
Вес (гр.) — 31
             .."
"Вал L-410 мм, Z-15/13 Xingtai 224/244",https://zip-agro.ru/val-l-410-mm-z-1513-xingtai-224244,Xingtai/Уралец,Запчасти,В наличии,180.37.327,4400.00,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/7/d0b2d0b0d0bb-l-410mm-z-15-13-xingtai-224-244_60e41a4a31466-170x170.jpeg,"Второй ВОМ (вторичный вал отбора мощностей) L-405mm Xingtai 224/244
Диаметр (мм) — 25 / 9,5
Количе.."
