title,article,price,brand,category,stock,description,url,image_url
Барабан тормозной DongFeng 354,300.43.134,2049.30,DongFeng,Запчасти,В наличии,"Барабан тормозной DongFeng 354

Барабан тормозной DongFeng 354
Диаметр (мм) — 195
Количество зубьев (шт.) — 14
Высота (мм) — 61
Вес ..",https://zip-agro.ru/baraban-tormoznoj-dongfeng-354,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/9/d0b1d0b0d180d0b0d0b1d0b0d0bd-d182d0bed180d0bcd0bed0b7d0bdd0bed0b9-dongfeng-354_60e4185772dcb-170x170.jpeg
Болт регулировочный сцепления 1 DongFeng 354/404,DF300.21C.114-1,190.90,DongFeng,Запчасти,В наличии,"Болт регулировочный сцепления 1 DongFeng 354/404

Болт регулировочный сцепления 1 DongFeng 354/404
Длина болта (мм) — 90
Резьба — М10
Шаг резьбы (мм) ..",https://zip-agro.ru/bolt-regulirovochnyj-stsepleniya-1-dongfeng-354404,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/0/d0b1d0bed0bbd182-d180d0b5d0b3d183d0bbd0b8d180d0bed0b2d0bed187d0bdd18bd0b9-d181d186d0b5d0bfd0bbd0b5d0bdd0b8d18f-1-dongfeng-354-404_60e4186c9ea31-170x170.jpeg
Болт регулировочный сцепления 2 DongFeng 354/404,DF300.21C.113-1,170.20,DongFeng,Запчасти,В наличии,"Болт регулировочный сцепления 2 DongFeng 354/404

Болт регулировочный сцепления 2 DongFeng 354/404
Длина (мм) — 46
Резьба — М10
Шаг резьбы (мм) — 1
Ве..",https://zip-agro.ru/bolt-regulirovochnyj-stsepleniya-2-dongfeng-354404,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/3/d0b1d0bed0bbd182-d180d0b5d0b3d183d0bbd0b8d180d0bed0b2d0bed187d0bdd18bd0b9-d181d186d0b5d0bfd0bbd0b5d0bdd0b8d18f-2-dongfeng-354-404_60e4187164afd-170x170.jpeg
"Вал L-377 мм, Z-19/19 DongFeng 354/404",300.37.134-1,2129.80,DongFeng,Запчасти,В наличии,"Вал L-377 мм, Z-19/19 DongFeng 354/404

Вал L-377mm, Z-19/19 DongFeng 354/404
Диаметр (мм) — 30
Количество зубьев (шт.) — 19/19
Длина (мм) —..",https://zip-agro.ru/val-l-377-mm-z-1919-dongfeng-354404,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/2/d0b2d0b0d0bb-l-377mm-z-19-19-dongfeng-354-404_60e418803aaea-170x170.jpeg
Вал вилки блокировки дифференциала L-363 мм диаметр 20 мм DongFeng 354/404,300.38.155-1,928.05,DongFeng,Запчасти,В наличии,"Вал вилки блокировки дифференциала L-363 мм диаметр 20 мм DongFeng 354/404

Вал вилки блокировки дифференциала L-363 mm Ø20 mm DongFeng 354/404
Диаметр (мм) — 20
Длина (мм) — 3..",https://zip-agro.ru/val-vilki-blokirovki-differentsiala-l-363-mm-diametr-20-mm-dongfeng-354404,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/7/d0b2d0b0d0bb-d0b2d0b8d0bbd0bad0b8-d0b1d0bbd0bed0bad0b8d180d0bed0b2d0bad0b8-d0b4d0b8d184d184d0b5d180d0b5d0bdd186d0b8d0b0d0bbd0b0-l-363mm-o2_60e41893ee644-170x170.jpeg
Вал входной (1000/540) DongFeng 354,DF300.37.103-A,4696.60,DongFeng,Запчасти,В наличии,"Вал входной (1000/540) DongFeng 354

Вал входной (1000/540) DongFeng 354
Длина (мм) — 257
Количество зубов (шт.) — 17
Количество шлицов (..",https://zip-agro.ru/val-vhodnoj-1000540-dongfeng-354,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/0/d0b2d0b0d0bb-d0b2d185d0bed0b4d0bdd0bed0b9-1000-540-dongfeng-354_60e418a27fe1a-170x170.jpeg
Вал отбора мощности L-250 Z-6 Z-28 DongFeng 244/240/354/404,300.41B.114,3567.30,DongFeng,Запчасти,В наличии,"Вал отбора мощности L-250 Z-6 Z-28 DongFeng 244/240/354/404

Вал отбора мощности L-250 Z-6 Z-28 DongFeng 244/240/354/404
Диаметр внутренний/наружный (мм) — 22/40..",https://zip-agro.ru/val-otbora-moschnosti-l-250-z-6-z-28-dongfeng-244240354404,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/9/d0b2d0b0d0bb-d0bed182d0b1d0bed180d0b0-d0bcd0bed189d0bdd0bed181d182d0b8-l-250-z-6-z-28-dongfeng-244-240-354-404_60e420cea03a4-170x170.jpeg
"Вал первичный с шестерней L-375 мм, Z-14/21/18 DongFeng 354/404",300.37.102-3,3598.35,DongFeng,Запчасти,В наличии,"Вал первичный с шестерней L-375 мм, Z-14/21/18 DongFeng 354/404

Вал первичный с шестерней L-375mm, Z-14/21/18 DongFeng 354/404
Диаметр внутренний/наружный (мм) — 22..",https://zip-agro.ru/val-pervichnyj-s-shesternej-l-375-mm-z-142118-dongfeng-354404,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/7/d0b2d0b0d0bb-d0bfd0b5d180d0b2d0b8d187d0bdd18bd0b9-d181-d188d0b5d181d182d0b5d180d0bdd0b5d0b9-l-375mm-z-14-21-18-dongfeng-354-404_60e418b8a16be-170x170.jpeg
Вал промежуточный L-225 мм Z-24 DongFeng 354/404,280.37.112,2689.85,DongFeng,Запчасти,В наличии,"Вал промежуточный L-225 мм Z-24 DongFeng 354/404

Вал промежуточный DongFeng 354/404
Диаметр (мм) — 40
Количество зубьев (шт.) — 24
Длина (мм) — 225
В..",https://zip-agro.ru/val-promegutochnyj-l-225-mm-z-24-dongfeng-354404,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/3/d0b2d0b0d0bb-d0bfd180d0bed0bcd0b5d0b6d183d182d0bed187d0bdd18bd0b9-l-225mm-z-24-dongfeng-354-404_60e419544adbe-170x170.jpeg
"Вал редуктора первичный ВОМ (540/1000) L-520 мм, Z-19/26/28 DongFeng 354/404",400B.41.123A,6519.35,DongFeng,Запчасти,В наличии,"Вал редуктора первичный ВОМ (540/1000) L-520 мм, Z-19/26/28 DongFeng 354/404

Вал редуктора первичный ВОМ (540/1000) L-520mm, Z-19/26/28 DongFeng 354/404
Диаметр (мм) — 30/16/15
..",https://zip-agro.ru/val-reduktora-pervichnyj-vom-5401000-l-520-mm-z-192628-dongfeng-354404,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/0/d0b2d0b0d0bb-d180d0b5d0b4d183d0bad182d0bed180d0b0-d0bfd0b5d180d0b2d0b8d187d0bdd18bd0b9-d0b2d0bed0bc-540-1000-l-520mm-z-19-26-28-dongfeng-354-404_60e4196758a9d-170x170.jpeg
