title,article,price,brand,category,stock,description,url,image_url
Двигатель дизельный 4L23BT,,256000.00,Неизвестно,Запчасти,В наличии,"Двигатель дизельный 4L23BT

Двигатель марки 4L23 представляет собой четырехцилиндровый силовой агрегат с классической схемой и в..",https://zip-agro.ru/dvigatel-dizelnyj-4l23bt,https://zip-agro.ru/image/cache/catalog/product/dvigatelya/4L23/photo_2023-07-26_11-21-35-170x170.jpg
Двигатель дизельный R195 М (12 л.с) с электростартером и фарой,,59000.00,Неизвестно,Запчасти,В наличии,"Двигатель дизельный R195 М (12 л.с) с электростартером и фарой

1-но цилиндровый дизель, 12 л.с. (моторная установка).Жидкостное охлаждение с испарительным конденса..",https://zip-agro.ru/dvigatel-dizelnyj-r195-m-12-ls-s-elektrostarterom-i-faroj,https://zip-agro.ru/image/cache/catalog/product/dvigatelya/R195-T/dvigatel-195m-170x170.jpg
Дизельный двигатель KM385BT-47E1,,210000.00,Неизвестно,Запчасти,В наличии,"Дизельный двигатель KM385BT-47E1

Дизельный двигатель KM385BT-47E1 мощностью 24л.с Предлагаем вашему вниманию двигатель KM385BT-47E1 о..",https://zip-agro.ru/dvigatel-KM385BT-47E1,https://zip-agro.ru/image/cache/catalog/product/dvigatelya/KM385BT-47E1/KM385BT-47E1-1-170x170.jpg
Дизельный двигатель R180AN,,44000.00,Неизвестно,Запчасти,В наличии,"Дизельный двигатель R180AN

Дизельный двигатель R180AN мощностью 8 л.с. является идеальным выбором для тяжелых мотоблоков. Он от..",https://zip-agro.ru/dvigatel-r180an,https://zip-agro.ru/image/cache/catalog/product/dvigatelya/R180AN/photo_2023-05-19_16-15-23-170x170.jpg
Дизельный двигатель R180ANE,,49000.00,Неизвестно,Запчасти,В наличии,"Дизельный двигатель R180ANE

Дизельный двигатель R180ANE мощностью 8 л.с. является идеальным выбором для тяжелых мотоблоков. Он о..",https://zip-agro.ru/dvigatel-r180ane,https://zip-agro.ru/image/cache/catalog/product/dvigatelya/R180ANE/photo_2023-05-19_12-35-10-170x170.jpg
Дизельный двигатель R190ANE,,55000.00,Неизвестно,Запчасти,В наличии,"Дизельный двигатель R190ANE

Дизельный двигатель R190ANE от известного производителя Скаут является отличным выбором для установк..",https://zip-agro.ru/dvigatel-r190ane,https://zip-agro.ru/image/cache/catalog/product/dvigatelya/R190ANE/photo_2023-05-19_07-32-28%20%282%29-170x170.jpg
Дизельный двигатель R195-T,,74900.00,Неизвестно,Запчасти,В наличии,"Дизельный двигатель R195-T

Дизельный двигатель R195-T мощностью 15 л.с. с электрозапуском предназначен для установки на ременны..",https://zip-agro.ru/dvigatel-r195-T,https://zip-agro.ru/image/cache/catalog/product/dvigatelya/R195-T/photo_2023-05-19_07-09-51-170x170.jpg
Дизельный двигатель SF138-2,100085,153000.00,Неизвестно,Запчасти,В наличии,"Дизельный двигатель SF138-2

SF138-2 — дизельный одноцилиндровый двигатель, который устанавливается на минитракторы.Мотор четырех..",https://zip-agro.ru/dvigatel-sf138-2,https://zip-agro.ru/image/cache/catalog/product/dvigatelya/sf188-2/af952f94-f053-4334-a9d3-87e27c614357-170x170.jpg
Дизельный двигатель SF188-2,,212000.00,Неизвестно,Запчасти,В наличии,"Дизельный двигатель SF188-2

SF188-2 — дизельный одноцилиндровый двигатель, который устанавливается на минитракторы.Мотор четырех..",https://zip-agro.ru/dvigatel-sf188-2,https://zip-agro.ru/image/cache/catalog/product/dvigatelya/sf138-2/photo1679648001%20%282%29-170x170.jpeg
Дизельный двигатель TY295IT,,207000.00,Неизвестно,Запчасти,В наличии,"Дизельный двигатель TY295IT

Устанавливается на минитрактора Синтай, Уралец, Сватт, Калибр, Шифенг, Чувашпиллер и другие.

TY29..",https://zip-agro.ru/dvigatel-ty295it,https://zip-agro.ru/image/cache/catalog/product/dvigatelya/TY295/photo_2022-03-25_14-12-23-170x170.jpg
Дизельный двигатель ZS1100-T,,83000.00,Неизвестно,Запчасти,В наличии,"Дизельный двигатель ZS1100-T

Одноцилиндровый дизельный двигатель 18 л.с с водяным охлаждением ZS1100-T для ременных минитракторов..",https://zip-agro.ru/dvigatel-sz1100-t,https://zip-agro.ru/image/cache/catalog/product/dvigatelya/zs1100-t/photo_2023-05-19_15-31-09%20%283%29-170x170.jpg
Дизельный двигатель ZS1115-T,,85000.00,Неизвестно,Запчасти,В наличии,"Дизельный двигатель ZS1115-T

Дизельный двигатель 20л.с. ZS1115-T c электрозапуском является надежным и мощным двигателем, предназ..",https://zip-agro.ru/dvigatel-sz1115-t,https://zip-agro.ru/image/cache/catalog/product/dvigatelya/zs1115-t/photo_2023-05-19_15-51-50%20%282%29-170x170.jpg
