title,article,price,brand,category,stock,description,url,image_url
Фильтр воздушный DongFeng 244/240,200.00.011A,2076.90,Неизвестно,Запчасти,В наличии,"Фильтр воздушный DongFeng 244/240

Фильтр воздушный DongFeng 244/240
Диаметр (мм) — 47
Межболтовое расстояние (мм) — 74*74
Длина (мм) —..",https://zip-agro.ru/filtr-vozdushnyj-dongfeng-244240,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/9/d184d0b8d0bbd18cd182d180-d0b2d0bed0b7d0b4d183d188d0bdd18bd0b9-dongfeng-244-240_60e41f541dba8-170x170.jpeg
"Фильтр воздушный в сборе Foton 244, Jinma 244/264",FT300.11.010,4640.00,Неизвестно,Запчасти,В наличии,"Фильтр воздушный в сборе Foton 244, Jinma 244/264

Уважаемые клиенты, обратите внимание - комплектация товара может отличаться от фото на сайте,
в раз..",https://zip-agro.ru/filtr-vozdushnyj-v-sbore-foton-244-jinma-244264,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/4/d184d0b8d0bbd18cd182d180-d0b2d0bed0b7d0b4d183d188d0bdd18bd0b9-d0b2-d181d0b1d0bed180d0b5-foton-244-jinma-244-264_60e42a4ae9451-170x170.jpeg
Фильтр воздушный в сборе Xingtai 120/160,12A.51.100,3960.00,Неизвестно,Запчасти,В наличии,"Фильтр воздушный в сборе Xingtai 120/160

Фильтр воздушный в сборе Xingtai 120/160
                                                          ..",https://zip-agro.ru/filtr-vozdushnyj-v-sbore-xingtai-120160,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/9/d184d0b8d0bbd18cd182d180-d0b2d0bed0b7d0b4d183d188d0bdd18bd0b9-d0b2-d181d0b1d0bed180d0b5-xingtai-120-160_60e41e8a49bda-170x170.jpeg
Фильтр воздушный в сборе Xingtai 180/224,TY290.10.011,3339.60,Неизвестно,Запчасти,В наличии,"Фильтр воздушный в сборе Xingtai 180/224

Фильтр воздушный в сборе Xingtai 180/224
Высота общая (мм) — 530
Межболтовое расстояние крепления (м..",https://zip-agro.ru/filtr-vozdushnyj-v-sbore-xingtai-180224,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/3/d184d0b8d0bbd18cd182d180-d0b2d0bed0b7d0b4d183d188d0bdd18bd0b9-d0b2-d181d0b1d0bed180d0b5-xingtai-180-224_60e4205158828-170x170.jpeg
Фильтр масла гидравлики DongFeng 240/244,DF304.58A.016,695.75,Неизвестно,Запчасти,В наличии,"Фильтр масла гидравлики DongFeng 240/244

Фильтр масла гидравлики DongFeng 240/244
Длина общая (мм) — 146
Диаметр наружный (мм) — 44 
Диаметр ..",https://zip-agro.ru/filtr-masla-gidravliki-dongfeng-240244,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/5/d184d0b8d0bbd18cd182d180-d0bcd0b0d181d0bbd0b0-d0b3d0b8d0b4d180d0b0d0b2d0bbd0b8d0bad0b8-dongfeng-240-244_60e41f590cfb8-170x170.jpeg
Фильтр масляный (JX0710C),JX0710C,947.60,Неизвестно,Запчасти,В наличии,"Фильтр масляный (JX0710C)

Фильтр масляный JX0710C
Высота (мм) — 115
Диаметр (мм) — 76 / 79
Резьба — М20
Вес (гр.) — 340
      ..",https://zip-agro.ru/filtr-maslyanyj-jx0710c,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/6/d184d0b8d0bbd18cd182d180-d0bcd0b0d181d0bbd18fd0bdd18bd0b9-jx0710c_60e42a7a316b8-170x170.jpeg
Фильтр масляный (JX0710C2),JX0710C2,599.15,Неизвестно,Запчасти,В наличии,"Фильтр масляный (JX0710C2)

Уважаемые клиенты, обратите внимание - комплектация товара может отличаться от фото на сайте,
в раз..",https://zip-agro.ru/filtr-maslyanyj-jx0710c2,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/2/d184d0b8d0bbd18cd182d180-d0bcd0b0d181d0bbd18fd0bdd18bd0b9-jx0710c2_60e42a80d3458-170x170.jpeg
"Фильтр масляный Ø17 мм Foton 244, Jinma 244 (WB178)",WB178,695.75,Неизвестно,Запчасти,В наличии,"Фильтр масляный Ø17 мм Foton 244, Jinma 244 (WB178)

Фильтр масляный — Foton 244, Jinma 244 (WB178). Размеры: H-…mm, Ø17mm. Вес: … гр.
                  ..",https://zip-agro.ru/filtr-maslyanyj-17-mm-foton-244-jinma-244-wb178,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/5/d184d0b8d0bbd18cd182d180-d0bcd0b0d181d0bbd18fd0bdd18bd0b9-d-17mm-foton-244-jinma-244-wb178_60e42a61af99e-170x170.jpeg
Фильтр масляный Ø18 мм DongFeng 244/240 (JX0810B),JX0810B,805.00,Неизвестно,Запчасти,В наличии,"Фильтр масляный Ø18 мм DongFeng 244/240 (JX0810B)

Фильтр масляний — DongFeng 244/240 (JX0810B)
Высота (мм) — 122
Диаметр наружный (мм) — 95
Диаметр ре..",https://zip-agro.ru/filtr-maslyanyj-18-mm-dongfeng-244240-jx0810b,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/5/d184d0b8d0bbd18cd182d180-d0bcd0b0d181d0bbd18fd0bdd0b8d0b9-d-18mm-dongfeng-244-240-jx0810b_60e42a4f8f9fa-170x170.jpeg
"Фильтр масляный Ø18 мм DongFeng 244/240, Булат 264 (JX0707)",JX0707,869.40,Неизвестно,Запчасти,В наличии,"Фильтр масляный Ø18 мм DongFeng 244/240, Булат 264 (JX0707)

Фильтр масляный — DongFeng 244/240, Булат 264 (JX0707). Размеры: H-…mm, Ø18mm. Вес: … гр.
          ..",https://zip-agro.ru/filtr-maslyanyj-18-mm-dongfeng-244240-bulat-264-jx0707,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/8/d184d0b8d0bbd18cd182d180-d0bcd0b0d181d0bbd18fd0bdd18bd0b9-d-18mm-dongfeng-244-240-d0b1d183d0bbd0b0d182-264-jx0707_60e42a67c83ae-170x170.jpeg
Фильтр масляный Ø23 мм DongFeng 354/404/504 (JX85100C),JX85100C,615.00,Неизвестно,Запчасти,В наличии,"Фильтр масляный Ø23 мм DongFeng 354/404/504 (JX85100C)

Фильтр масляный — DongFeng 354/404/504 (JX85100C)
Высота общая (мм) — 120
Диаметр (мм) — 94
Резьб..",https://zip-agro.ru/filtr-maslyanyj-23-mm-dongfeng-354404504-jx85100c,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/9/d184d0b8d0bbd18cd182d180-d0bcd0b0d181d0bbd18fd0bdd18bd0b9-d-23mm-dongfeng-354-404-504-jx85100c_60e42a6ddfc3f-170x170.jpeg
"Фильтр масляный Ø23 мм Jinma 354, Булат 244/354 (JX1008A)",JX1008A,800.00,Неизвестно,Запчасти,В наличии,"Фильтр масляный Ø23 мм Jinma 354, Булат 244/354 (JX1008A)

Фильтр масляный — Jinma 354, Булат 244/354 (JX1008A). Размеры: H-105mm, Ø23mm. Вес: 590 гр.
        ..",https://zip-agro.ru/filtr-maslyanyj-23-mm-jinma-354-bulat-244354-jx1008a,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/2/d184d0b8d0bbd18cd182d180-d0bcd0b0d181d0bbd18fd0bdd18bd0b9-d-23mm-jinma-354-d0b1d183d0bbd0b0d182-244-354-jx1008a_60e42a73e8212-170x170.jpeg
Фильтр масляный Ø24 мм DongFeng 244/240 (JX0810Y),JX0810Y,706.10,Неизвестно,Запчасти,В наличии,"Фильтр масляный Ø24 мм DongFeng 244/240 (JX0810Y)

Фильтр масляний — DongFeng 244/240 (JX0810Y)
Высота (мм) — 122
Диаметр наружный (мм) — 95
Диаметр ре..",https://zip-agro.ru/filtr-maslyanyj-24-mm-dongfeng-244240-jx0810y,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/9/d184d0b8d0bbd18cd182d180-d0bcd0b0d181d0bbd18fd0bdd0b8d0b9-d-24mm-dongfeng-244-240-jx0810y_60e42a55c5056-170x170.jpeg
Фильтр масляный в сборе с клапаном Xingtai 120/224 (J0708A),J0708A,2640.00,Неизвестно,Запчасти,В наличии,"Фильтр масляный в сборе с клапаном Xingtai 120/224 (J0708A)

Фильтр масляний в сборе с клапаном — Xingtai 120-224 (J0708A). Размеры: H-…mm, Ø…mm. Вес: … гр.
   ..",https://zip-agro.ru/filtr-maslyanyj-v-sbore-s-klapanom-xingtai-120224-j0708a,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/2/d184d0b8d0bbd18cd182d180-d0bcd0b0d181d0bbd18fd0bdd0b8d0b9-d0b2-d181d0b1d0bed180d0b5-d181-d0bad0bbd0b0d0bfd0b0d0bdd0bed0bc-xingtai-120-224-j07_60e42a5c13718-170x170.jpeg
"Фильтр масляный гидравлики Ø23 мм DongFeng 354/454, Jinma 804 (JX0811A)",JX0811A,706.10,Неизвестно,Запчасти,В наличии,"Фильтр масляный гидравлики Ø23 мм DongFeng 354/454, Jinma 804 (JX0811A)

Фильтр масляный гидравлики — DongFeng 354/454, Jinma 804 (JX0811A). Размеры: H-…mm, Ø23mm. Вес: … гр..",https://zip-agro.ru/filtr-maslyanyj-gidravliki-23-mm-dongfeng-354454-jinma-804-jx0811a,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/8/d184d0b8d0bbd18cd182d180-d0bcd0b0d181d0bbd18fd0bdd18bd0b9-d0b3d0b8d0b4d180d0b0d0b2d0bbd0b8d0bad0b8-d-23mm-dongfeng-354-454-jinma-804-jx0811a_60e42a86d5bda-170x170.jpeg
Фильтр масляный гидравлики Ø24 мм DongFeng 354/404 (YX0811A),YX0811A,770.00,Неизвестно,Запчасти,В наличии,"Фильтр масляный гидравлики Ø24 мм DongFeng 354/404 (YX0811A)

Фильтр масляный гидравлики — DongFeng 354/404 (YX0811A). Размеры: H-130mm, Ø24mm. Вес: 550 гр.
    ..",https://zip-agro.ru/filtr-maslyanyj-gidravliki-24-mm-dongfeng-354404-yx0811a,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/3/d184d0b8d0bbd18cd182d180-d0bcd0b0d181d0bbd18fd0bdd18bd0b9-d0b3d0b8d0b4d180d0b0d0b2d0bbd0b8d0bad0b8-d-24mm-dongfeng-354-404-yx0811a_60e42a8d068de-170x170.jpeg
"Фильтр масляный гидросистемы в сборе Foton 244, Jinma 244/264",FT400.58A.040,4012.35,Неизвестно,Запчасти,В наличии,"Фильтр масляный гидросистемы в сборе Foton 244, Jinma 244/264

Фильтр масляный гидросистемы в сборе Foton 244, Jinma 244/264 (не разборной)
Длина общая (мм) — 320
..",https://zip-agro.ru/filtr-maslyanyj-gidrosistemy-v-sbore-foton-244-jinma-244264,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/2/d184d0b8d0bbd18cd182d180-d0bcd0b0d181d0bbd18fd0bdd18bd0b9-d0b3d0b8d0b4d180d0bed181d0b8d181d182d0b5d0bcd18b-d0b2-d181d0b1d0bed180d0b5-fot_60e42a93564d8-170x170.jpeg
