title,article,price,brand,category,stock,description,url,image_url
Амортизатор двери кабины газовый Jinma 254,10865ТР,537.05,Jinma,Запчасти,В наличии,"Амортизатор двери кабины газовый Jinma 254

Уважаемые клиенты, обратите внимание - комплектация товара может отличаться от фото на сайте,
в раз..",https://zip-agro.ru/amortizator-dveri-kabiny-gazovyj-jinma-254,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/2/d0b0d0bcd0bed180d182d0b8d0b7d0b0d182d0bed180-d0b4d0b2d0b5d180d0b8-d0bad0b0d0b1d0b8d0bdd18b-d0b3d0b0d0b7d0bed0b2d18bd0b9-jinma-254_60e419d91cb33-170x170.jpeg
Барабан тормозной Jinma,160.43.105,1569.75,Jinma,Запчасти,В наличии,"Барабан тормозной Jinma

Барабан тормозной Jinma
Диаметр (мм) — 129
Количество шлицов (шт.) — 20
Диаметр под шлицы (мм) — 29
..",https://zip-agro.ru/baraban-tormoznoj-jinma,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/5/d0b1d0b0d180d0b0d0b1d0b0d0bd-d182d0bed180d0bcd0bed0b7d0bdd0bed0b9-jinma_60e419dea50b5-170x170.jpeg
Блок переключателей комплект Jinma 244,JM180.48D.040,1799.75,Jinma,Запчасти,В наличии,"Блок переключателей комплект Jinma 244

Блок переключателей комплект Jinma 244
Под окно в панели (мм) — 48 * 130
Вес (гр.) — 175
           ..",https://zip-agro.ru/blok-pereklyuchatelej-komplekt-jinma-244,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/0/d0b1d0bbd0bed0ba-d0bfd0b5d180d0b5d0bad0bbd18ed187d0b0d182d0b5d0bbd0b5d0b9-d0bad0bed0bcd0bfd0bbd0b5d0bad182-jinma-244_60e419e385275-170x170.jpeg
"Блок перемещения вилки включения 3-4 передачи Foton 244, Jinma 244/264",FT250.37.142,463.45,Jinma,Запчасти,В наличии,"Блок перемещения вилки включения 3-4 передачи Foton 244, Jinma 244/264

Уважаемые клиенты, обратите внимание - комплектация товара может отличаться от фото на сайте,
в раз..",https://zip-agro.ru/blok-peremescheniya-vilki-vklyucheniya-3-4-peredachi-foton-244-jinma-244264,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/1/d0b1d0bbd0bed0ba-d0bfd0b5d180d0b5d0bcd0b5d189d0b5d0bdd0b8d18f-d0b2d0b8d0bbd0bad0b8-d0b2d0bad0bbd18ed187d0b5d0bdd0b8d18f-3-4-d0bfd0b5d180_60e418d6157c2-170x170.jpeg
"Блок реле в сборе Foton 244, ДТЗ 244, Jinma 244",TE250.482A.2,2559.90,Jinma,Запчасти,В наличии,"Блок реле в сборе Foton 244, ДТЗ 244, Jinma 244

Блок реле в сборе Foton 244, ДТЗ 244,  Jinma 244
Вес (гр.) — 255
                                   ..",https://zip-agro.ru/blok-rele-v-sbore-foton-244-dtz-244-jinma-244,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/0/d0b1d0bbd0bed0ba-d180d0b5d0bbd0b5-d0b2-d181d0b1d0bed180d0b5-foton-244-d0b4d182d0b7-244-jinma-244_60e418e029318-170x170.jpeg
Болт ушковый рычага отжимного сцепления Jinma 240/244,JM300.21.123,187.45,Jinma,Запчасти,В наличии,"Болт ушковый рычага отжимного сцепления Jinma 240/244

Уважаемые клиенты, обратите внимание - комплектация товара может отличаться от фото на сайте,
в раз..",https://zip-agro.ru/bolt-ushkovyj-rychaga-otgimnogo-stsepleniya-jinma-240244,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/4/d0b1d0bed0bbd182-d183d188d0bad0bed0b2d18bd0b9-d180d18bd187d0b0d0b3d0b0-d0bed182d0b6d0b8d0bcd0bdd0bed0b3d0be-d181d186d0b5d0bfd0bbd0b5_60e421c28fcdc-170x170.jpeg
Вал 540 об/мин Jinma 254,JM184.37.404-2,2577.15,Jinma,Запчасти,В наличии,"Вал 540 об/мин Jinma 254

Вал 540 об/мин Jinma 254
Длина вала (мм) — 405
Количество шлицов (шт.) — 12 / 15
Количество зубов (ш..",https://zip-agro.ru/val-540-obmin-jinma-254,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/8/d0b2d0b0d0bb-540-d0bed0b1-d0bcd0b8d0bd-jinma-254_60e421c7a2654-170x170.jpeg
Вал вертикальный переднего моста Jinma 200/204/240/244,184.31.111-1,1937.75,Jinma,Запчасти,В наличии,"Вал вертикальный переднего моста Jinma 200/204/240/244

Вал вертикальный переднего моста Jinma 200/204/240/244
Длина (мм) — 233
Количество шлицов (шт.) — 14..",https://zip-agro.ru/val-vertikalnyj-perednego-mosta-jinma-200204240244,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/4/d0b2d0b0d0bb-d0b2d0b5d180d182d0b8d0bad0b0d0bbd18cd0bdd18bd0b9-d0bfd0b5d180d0b5d0b4d0bdd0b5d0b3d0be-d0bcd0bed181d182d0b0-jinma-200-204-240-244_60e419e9aded1-170x170.jpeg
Вал вилки 3 и 4 передачи Jinma 254,JM220.37.186-2,908.50,Jinma,Запчасти,В наличии,"Вал вилки 3 и 4 передачи Jinma 254

Вал вилки 3/4 передачи Jinma 254
Длина (мм) — 250
Диаметр (мм) — 15
Вес (гр.) — 325
                ..",https://zip-agro.ru/val-vilki-3-i-4-peredachi-jinma-254,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/6/d0b2d0b0d0bb-d0b2d0b8d0bbd0bad0b8-3-4-d0b9-d0bfd0b5d180d0b5d0b4d0b0d187d0b8-jinma-254_60e419eeb39fc-170x170.jpeg
Вал вилки Jinma 254,JM220.37.190-2,908.50,Jinma,Запчасти,В наличии,"Вал вилки Jinma 254

Вал вилки Jinma 254
Длина (мм) — 250
Диаметр (мм) — 15
Вес (гр.) — 330
                             ..",https://zip-agro.ru/val-vilki-jinma-254,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/1/d0b2d0b0d0bb-d0b2d0b8d0bbd0bad0b8-jinma-254_60e419f38dcde-170x170.jpeg
