title,article,price,brand,category,stock,description,url,image_url
Вал вторичный (квадрат) L=190 мм Т25 (2017),101256,3448.00,Неизвестно,Запчасти,В наличии,"Вал вторичный (квадрат) L=190 мм Т25 (2017)

Подходит к трактору:
Трактор СКАУТ T-25

Тип детали:
Валы, втулки..",https://zip-agro.ru/val-vtorichnyj-kvadrat-l190-mm-t25-2017,https://zip-agro.ru/image/cache/catalog/zapshasti/skayt/1/605x450-Secondary_shaft.e7c-170x170.jpg
Вал главный L150 мотоблоков / минитракторов SCOUT T-15 / T-18 / T-25,101287,1000.00,Неизвестно,Запчасти,В наличии,"Вал главный L150 мотоблоков / минитракторов SCOUT T-15 / T-18 / T-25

Вал главный кпп дизельного мотоблока, ременного минитрактора китайского производства

Устанавливае..",https://zip-agro.ru/val-glavnyj,https://zip-agro.ru/image/cache/catalog/zapshasti/skayt/6/605x450-KPP6-val-pervichnij.e7c-170x170.jpg
Вал главный L205 минитракторов ФАЙТЕР T-15 / T-22 до 2022,108006022,1400.00,Неизвестно,Запчасти,В наличии,"Вал главный L205 минитракторов ФАЙТЕР T-15 / T-22 до 2022

Вал отбора мощности (ВОМ) китайского ременного минитрактора длинной 205мм производства Файтер, Русич..",https://zip-agro.ru/val-glavnyj-l205-mm-fajter,https://zip-agro.ru/image/cache/catalog/zapshasti/skayt/6/605x450-Fighter_main_shaft_1.e7c-170x170.jpg
Вал дифференциала,101237,2990.00,Неизвестно,Запчасти,В наличии,"Вал дифференциала

Подходит к трактору:
Трактор СКАУТ T-25

Подходит к трактору:
Трактор СКАУТ T-18

Подходит к трактор..",https://zip-agro.ru/val-differentsiala,https://zip-agro.ru/image/cache/catalog/zapshasti/skayt/0/605x450-differential_shaft_1.e7c-170x170.jpg
Вал дифференциала L160 М27х2 минитракторов SCOUT T-18 / T-25 2021 / ФАЙТЕР Т-22,,1800.00,Неизвестно,Запчасти,В наличии,"Вал дифференциала L160 М27х2 минитракторов SCOUT T-18 / T-25 2021 / ФАЙТЕР Т-22

Резьба — М27х2
Вес (гр.) — 695
                                                            
     ..",https://zip-agro.ru/val-differentsiala-l-160-mm-tip-2-mototraktor,https://zip-agro.ru/image/cache/catalog/product/effa4059b557a2d3167cb7db782515fa-170x170.jpg
"Вал дифференциала L170 М27х1,5 минитракторов SCOUT T-18 / T-25 2021 / ФАЙТЕР Т-22",,4300.00,Неизвестно,Запчасти,В наличии,"Вал дифференциала L170 М27х1,5 минитракторов SCOUT T-18 / T-25 2021 / ФАЙТЕР Т-22

Вал дифференциала ременного минитрактора Скаут Т-18 и Т-25 2021 года выпуска и трактора Файтер Т-22
..",https://zip-agro.ru/val-differentsiala-l-160-mm-tip-1-mototraktor,https://zip-agro.ru/image/cache/catalog/product/zapchasti-moto/36620_%D0%92%D0%B0%D0%BB_%D0%B4%D0%B8%D1%84%D1%84%D0%B5%D1%80%D0%B5%D0%BD%D1%86%D0%B8%D0%B0%D0%BB%D0%B0_%D0%A4%D0%B0%D0%B9%D1%82%D0%B5%D1%80_%D0%A222-170x170.jpeg
Вал дифференциала Z18 под гайку минитракторов SCOUT T-15 / T-18 / T-25 до 2021,101238,2500.00,Неизвестно,Запчасти,В наличии,"Вал дифференциала Z18 под гайку минитракторов SCOUT T-15 / T-18 / T-25 до 2021

Вал дифференциала минитрактора с ременным приводомУстанавливается на мототрактора производства: Скау..",https://zip-agro.ru/val-differentsiala-z18-pod-gajki,https://zip-agro.ru/image/cache/catalog/zapshasti/skayt/3/605x450-DSC05244.e7c-170x170.jpg
Вал задней передачи L152 минитракторов SCOUT Т-15 / Т-18 / Т-25 / ФАЙТЕР Т-15 / Т-22,101269,850.00,Неизвестно,Запчасти,В наличии,"Вал задней передачи L152 минитракторов SCOUT Т-15 / Т-18 / Т-25 / ФАЙТЕР Т-15 / Т-22

Вал задней передачи дизельного мотоблока и ременного минитрактора Скаут, Файтер, Кентавр, Русич, Зуб..",https://zip-agro.ru/val-zadnej-peredachi,https://zip-agro.ru/image/cache/catalog/zapshasti/skayt/6/605x450-KPP6-val-shesterni-zadnej-skorosti.e7c-170x170.jpg
Вал первичный L368 минитракторов SCOUT T-15 / T-18 / T-25 / ФАЙТЕР T-15 / T-22,101305,2300.00,Неизвестно,Запчасти,В наличии,"Вал первичный L368 минитракторов SCOUT T-15 / T-18 / T-25 / ФАЙТЕР T-15 / T-22

Первичный вал ременного минитрактора Скаут, Файтер, Русич, Кентавр с длинной 368мм,
Подходит на мод..",https://zip-agro.ru/val-pervichnyj-l368-mm,https://zip-agro.ru/image/cache/catalog/zapshasti/skayt/9/605x450-primary_shaft_1.e7c-170x170.jpg
Вал первичный Т25 (2017),101234,12000.00,Неизвестно,Запчасти,В наличии,"Вал первичный Т25 (2017)

Подходит к трактору:
Трактор СКАУТ T-25

Тип детали:
Валы, втулки..",https://zip-agro.ru/val-pervichnyj-t25-2017,https://zip-agro.ru/image/cache/catalog/zapshasti/skayt/1/605x450-T25_2017_primary_shaft_1.e7c-170x170.jpg
Вал повышающей / понижающей передачи L152 мотоблоков / минитракторов SCOUT T-15 / T-18 / T-25 / ФАЙТЕР T-15 / T-22,101264,1000.00,Неизвестно,Запчасти,В наличии,"Вал повышающей / понижающей передачи L152 мотоблоков / минитракторов SCOUT T-15 / T-18 / T-25 / ФАЙТЕР T-15 / T-22

Вал повышающей и понижающей передачи дизельного мотоблока, ременного минитрактора длинной L=152 мм
..",https://zip-agro.ru/val-povyshayuschej-ponigayuschej-peredachi-l152-mm,https://zip-agro.ru/image/cache/catalog/zapshasti/skayt/2/605x450-povishayushhej-shesterni.e7c-170x170.jpg
Вилка 1 / задней передачи Т25 (2017),101298,1700.00,Неизвестно,Запчасти,В наличии,"Вилка 1 / задней передачи Т25 (2017)

Подходит к трактору:
Трактор СКАУТ T-25

Тип детали:
Вилки, оси КПП..",https://zip-agro.ru/vilka-1-zadnej-peredachi-t25-2017,https://zip-agro.ru/image/cache/catalog/zapshasti/skayt/4/605x450-Fork_for_1-reverse_shift.e7c-170x170.jpg
Вилка 2-3 передач минитракторов SCOUT Т-25 до 2017,101296,600.00,Неизвестно,Запчасти,В наличии,"Вилка 2-3 передач минитракторов SCOUT Т-25 до 2017

Подходит к трактору:
Трактор СКАУТ T-25

Тип детали:
Вилки, оси КПП..",https://zip-agro.ru/vilka-2-3-peredachi-t25-2017,https://zip-agro.ru/image/cache/catalog/zapshasti/skayt/5/605x450-Fork_for_2-3_shift.e7c-170x170.jpg
Вилка первой / задней передачи минитракторов SCOUT Т-15 / Т-18 / Т-25 / ФАЙТЕР Т-15 / Т-22,101232,850.00,Неизвестно,Запчасти,В наличии,"Вилка первой / задней передачи минитракторов SCOUT Т-15 / Т-18 / Т-25 / ФАЙТЕР Т-15 / Т-22

Вилка переключения 1 и задней передачи китайского ременного минитрактора

Подходит на технику кита..",https://zip-agro.ru/vilka-1-zadnej-peredachi,https://zip-agro.ru/image/cache/catalog/zapshasti/skayt/5/605x450-fork_1_r.e7c-170x170.jpg
