title,article,price,brand,category,stock,description,url,image_url
ZS1100 Насос масляный,100971,1677.00,Неизвестно,Запчасти,В наличии,"ZS1100 Насос масляный

Подходит к трактору:
Трактор Файтер

Подходит к трактору:
Трактор СКАУТ T-220B

Подходит к трактору:..",https://zip-agro.ru/zs1100-nasos-maslyanyj,https://zip-agro.ru/image/cache/catalog/zapshasti/skayt/5/605x450-37_ZS1115.e7c-170x170.jpg
ZS1115 Насос масляный,101068,1480.00,Неизвестно,Запчасти,В наличии,"ZS1115 Насос масляный

Подходит к трактору:
Трактор СКАУТ T-25

Подходит к трактору:
Двигатель ZS1115-T

Тип детали:
Смазоч..",https://zip-agro.ru/zs1115-nasos-maslyanyj,https://zip-agro.ru/image/cache/catalog/zapshasti/skayt/9/605x450-37_ZS1115.e7c-170x170.jpg
"Гидронасос CBN-E306-CFBL, Т18-Т25",100528,8000.00,Неизвестно,Запчасти,В наличии,"Гидронасос CBN-E306-CFBL, Т18-Т25

Характеристики
Бренд SCOUT
Подача (производительность) 15 л/мин
Рабочее давление 20 МПа
Тип прив..",https://zip-agro.ru/gidronasos-cbn-e306-cfbl-t18-t25,https://zip-agro.ru/image/cache/catalog/zapshasti/skayt/8/605x450-DSC03730-1.e7c-170x170.jpg
"Гидронасос CBN-E314-CFBL, Т18-Т25",100525,5400.00,Неизвестно,Запчасти,В наличии,"Гидронасос CBN-E314-CFBL, Т18-Т25

Гидравлический насос CBN-E314-CFBL на ременной минитрактор Скаут, Русич, Файтер

Устанавливается н..",https://zip-agro.ru/gidronasos-cbn-e314-cfbl-t18-t25,https://zip-agro.ru/image/cache/catalog/zapshasti/skayt/1/605x450-DSC03730-1.e7c-170x170.jpg
"Гидронасос CBN-E314-CFHL, XT244",100550,7216.00,Неизвестно,Запчасти,В наличии,"Гидронасос CBN-E314-CFHL, XT244

..",https://zip-agro.ru/gidronasos-cbn-e314-cfhl-xt244,https://zip-agro.ru/image/cache/catalog/zapshasti/skayt/3/605x450-noimage.e7c_16-170x170.jpg
"Гидронасос CBN-E320-CFBL, Т18-Т25",100615,5800.00,Неизвестно,Запчасти,В наличии,"Гидронасос CBN-E320-CFBL, Т18-Т25

Подходит к трактору:
Трактор СКАУТ T-25

Подходит к трактору:
Трактор СКАУТ T-18

Тип детали:
Гидрав..",https://zip-agro.ru/gidronasos-cbn-e320-cfbl-t18-t25,https://zip-agro.ru/image/cache/catalog/zapshasti/skayt/5/605x450-DSC03730-1.e7c-170x170.jpg
"Гидронасос CBN-F325FHR, T-804C",102899,14000.00,Неизвестно,Запчасти,В наличии,"Гидронасос CBN-F325FHR, T-804C

Гидронасос Трактора Скаут TB-804C CBN-F325FHR..",https://zip-agro.ru/gidronasos-cbn-f325fhr-t-804c,https://zip-agro.ru/image/cache/catalog/product/TB-804C/H91b733de30bd4156b0e1ffd4e7bd3e7ev-170x170.jpg
Гидронасос PBB74RK495 для Асфальтоукладчика Hanta F31C-3,,75000.00,Неизвестно,Запчасти,В наличии,"Гидронасос PBB74RK495 для Асфальтоукладчика Hanta F31C-3

Гидронасос PBB74RK495 для Асфальтоукладчика Hanta F31C-3  - доставка по России
Дорогие клиенты..",https://zip-agro.ru/gidronasos-pbb74rk495-dlya-asfaltoukladchika-hanta-f31c-3,https://zip-agro.ru/image/cache/catalog/product/IMG_0731-170x170.JPG
Гидронасос с одноконтурным распределителем (с плавающим положением) Т15 в сборе,100610,9700.00,Неизвестно,Запчасти,В наличии,"Гидронасос с одноконтурным распределителем (с плавающим положением) Т15 в сборе

Подходит к трактору:
Трактор Файтер

Подходит к трактору:
Трактор СКАУТ T-15

Тип детали:
Гидравличе..",https://zip-agro.ru/gidronasos-s-odnokonturnym-raspredelitelem-s-plavayuschim-pologeniem-t15-v-sbore,https://zip-agro.ru/image/cache/catalog/zapshasti/skayt/6/605x450-T-18-25scout-13.e7c-170x170.jpg
"Насос водяной (помпа)  DongFeng 404, ZN490",,4427.50,Неизвестно,Запчасти,В наличии,"Насос водяной (помпа)  DongFeng 404, ZN490

Уважаемые клиенты, обратите внимание - комплектация товара может отличаться от фото на сайте,
в раз..",https://zip-agro.ru/nasos-vodyanoj-pompa-dongfeng-404-zn490,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/0/d0bdd0b0d181d0bed181-d0b2d0bed0b4d18fd0bdd0bed0b9-d0bfd0bed0bcd0bfd0b0-dongfeng-404-zn490_60e4292f76ac9-170x170.jpeg
"Насос водяной (помпа) 2-а ручья КМ385ВТ DongFeng 244/240, Foton 244, Jinma 244",LL480-06100,8500.00,Неизвестно,Запчасти,В наличии,"Насос водяной (помпа) 2-а ручья КМ385ВТ DongFeng 244/240, Foton 244, Jinma 244

Уважаемые клиенты, обратите внимание - комплектация товара может отличаться от фото на сайте,
в раз..",https://zip-agro.ru/nasos-vodyanoj-pompa-2-a-ruchya-km385vt-dongfeng-244240-foton-244-jinma-244,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/0/d0bdd0b0d181d0bed181-d0b2d0bed0b4d18fd0bdd0bed0b9-d0bfd0bed0bcd0bfd0b0-2-d0b0-d180d183d187d18cd18f-d0bad0bc385d0b2d182-dongfeng-244-240-foton-2_60e42a3bc3d99-170x170.jpeg
"Насос водяной (помпа) 4L22BT Bulat 354, Foton 354",4L22BT-06103,8500.00,Неизвестно,Запчасти,В наличии,"Насос водяной (помпа) 4L22BT Bulat 354, Foton 354

Насос водяной (помпа) Булат 354.4 Фотон 354 4L22BT
Вес (гр.) — 5200
                                ..",https://zip-agro.ru/nasos-vodyanoj-pompa-4l22bt-bulat-354-foton-354,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/2/d0bdd0b0d181d0bed181-d0b2d0bed0b4d18fd0bdd0bed0b9-d0bfd0bed0bcd0bfd0b0-4l22bt-bulat-354-foton-354_60e42a444c8f3-170x170.jpeg
Насос водяной (помпа) KM130/138 (Xingtai 24B),1105-06000,3630.00,Неизвестно,Запчасти,В наличии,"Насос водяной (помпа) KM130/138 (Xingtai 24B)

Насос водяной (помпа) KM130/138 Xingtai 24B
Диаметр шкива (мм) — 85
Под ремень профиль «Z»
Рассто..",https://zip-agro.ru/nasos-vodyanoj-pompa-km130138-xingtai-24b,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/5/d0bdd0b0d181d0bed181-d0b2d0bed0b4d18fd0bdd0bed0b9-d0bfd0bed0bcd0bfd0b0-km130-138-xingtai-24b_60e4293585d5b-170x170.jpeg
Насос водяной (помпа) TY290 (Xingtai 180),TY290.12.001,5500.00,Неизвестно,Запчасти,В наличии,"Насос водяной (помпа) TY290 (Xingtai 180)

Насос водяной (помпа) TY290 (Xingtai 180)
Диаметр шкива (мм) — 100
Ширина ручья (мм) — 13
Высота общ..",https://zip-agro.ru/nasos-vodyanoj-pompa-ty290-xingtai-180,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/9/d0bdd0b0d181d0bed181-d0b2d0bed0b4d18fd0bdd0bed0b9-d0bfd0bed0bcd0bfd0b0-ty290-xingtai-180_60e4293a5f351-170x170.jpeg
"Насос водяной (помпа) TY295, TY2100 (DongFeng, Xingtai 220/224, Jinma)",TY495.12-1,6370.00,Неизвестно,Запчасти,В наличии,"Насос водяной (помпа) TY295, TY2100 (DongFeng, Xingtai 220/224, Jinma)

Насос водяной (помпа)  TY295IT, TY2100 (DongFeng, Xingtai 220/224, Jinma)   
Диаметр шкива (мм) — 1..",https://zip-agro.ru/nasos-vodyanoj-pompa-ty295-ty2100-dongfeng-xingtai-220224-jinma,https://zip-agro.ru/image/cache/catalog/product/zapchasti-moto/pompa-ty295it/Nasos-vodyanoj-pompa-TY295IT-TY2100-DongFeng-Xingtai-220-224-Jinma-3-170x170.jpg
Насос водяной (помпа) TY395,TY295.12-1,4288.35,Неизвестно,Запчасти,В наличии,"Насос водяной (помпа) TY395

Уважаемые клиенты, обратите внимание - комплектация товара может отличаться от фото на сайте,
в раз..",https://zip-agro.ru/nasos-vodyanoj-pompa-ty395,https://zip-agro.ru/image/cache/catalog/zapshasti/1/5780-1-170x170.jpg
Насос водяной (помпа) Y385/BY385T/Y385T/YD385T  (Jinma 254/264),Y385T-6-11103,6900.00,Неизвестно,Запчасти,В наличии,"Насос водяной (помпа) Y385/BY385T/Y385T/YD385T  (Jinma 254/264)

Насос водяной (помпа) Y385/BY385T/Y385T/YD385T (Jinma 254/264)
Вес (гр.) — 4000
                    ..",https://zip-agro.ru/nasos-vodyanoj-pompa-y385by385ty385tyd385t-jinma-254264,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/3/d0bdd0b0d181d0bed181-d0b2d0bed0b4d18fd0bdd0bed0b9-d0bfd0bed0bcd0bfd0b0-y385-by385t-y385t-yd385t-jinma-254-264_60e42946b0a0b-170x170.jpeg
"Насос водяной (помпа) КМ385ВТ (DongFeng 244/240, Foton 244, Jinma 244)",LL480-06100,5440.00,Неизвестно,Запчасти,В наличии,"Насос водяной (помпа) КМ385ВТ (DongFeng 244/240, Foton 244, Jinma 244)

Насос водяной (помпа) КМ385ВТ (DongFeng 244/240, Foton 244, Jinma 244)
Диаметр патрубка (мм) — 36
Дл..",https://zip-agro.ru/nasos-vodyanoj-pompa-km385vt-dongfeng-244240-foton-244-jinma-244,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/7/d0bdd0b0d181d0bed181-d0b2d0bed0b4d18fd0bdd0bed0b9-d0bfd0bed0bcd0bfd0b0-d0bad0bc385d0b2d182-dongfeng-244-240-foton-244-jinma-244_60e4295480b61-170x170.jpeg
Насос водяной (помпа) нового образца ZN490 DongFeng 404,,4828.85,Неизвестно,Запчасти,В наличии,"Насос водяной (помпа) нового образца ZN490 DongFeng 404

Уважаемые клиенты, обратите внимание - комплектация товара может отличаться от фото на сайте,
в раз..",https://zip-agro.ru/nasos-vodyanoj-pompa-novogo-obraztsa-zn490-dongfeng-404,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/3/d0bdd0b0d181d0bed181-d0b2d0bed0b4d18fd0bdd0bed0b9-d0bfd0bed0bcd0bfd0b0-d0bdd0bed0b2d0bed0b3d0be-d0bed0b1d180d0b0d0b7d186d0b0-zn490-dongfen_60e4295a6f543-170x170.jpeg
"Насос водяной (помпа) трактор с кабиной  DongFeng 404, ZN490",N85T-08007,6187.00,Неизвестно,Запчасти,В наличии,"Насос водяной (помпа) трактор с кабиной  DongFeng 404, ZN490

Уважаемые клиенты, обратите внимание - комплектация товара может отличаться от фото на сайте,
в раз..",https://zip-agro.ru/nasos-vodyanoj-pompa-traktor-s-kabinoj-dongfeng-404-zn490,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/8/d0bdd0b0d181d0bed181-d0b2d0bed0b4d18fd0bdd0bed0b9-d0bfd0bed0bcd0bfd0b0-d182d180d0b0d0bad182d0bed180-d181-d0bad0b0d0b1d0b8d0bdd0bed0b9_60e4296074870-170x170.jpeg
"Насос водяной (помпа) усиленный КМ385ВТ (DongFeng 244/240, Foton 244, Jinma 244)",LL480-06100,5800.00,Неизвестно,Запчасти,В наличии,"Насос водяной (помпа) усиленный КМ385ВТ (DongFeng 244/240, Foton 244, Jinma 244)

Насос водяной (помпа) усиленный КМ385ВТ (DongFeng 244/240, Foton 244, Jinma 244)
                   ..",https://zip-agro.ru/nasos-vodyanoj-pompa-usilennyj-km385vt-dongfeng-244240-foton-244-jinma-244,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/2/d0bdd0b0d181d0bed181-d0b2d0bed0b4d18fd0bdd0bed0b9-d183d181d0b8d0bbd0b5d0bdd0bdd18bd0b9-d0bfd0bed0bcd0bfd0b0-d0bad0bc385d0b2d182-dongfeng_60e4296681d33-170x170.jpeg
Насос дозатор ГУР BZZ-80 Foton 240/244,FT254.40.028,8873.40,Неизвестно,Запчасти,В наличии,"Насос дозатор ГУР BZZ-80 Foton 240/244

Насос дозатор ГУР BZZ-80 Foton 240/244
Вес (гр.) — 5680
                                            ..",https://zip-agro.ru/nasos-dozator-gur-bzz-80-foton-240244,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/6/d0bdd0b0d181d0bed181-d0b4d0bed0b7d0b0d182d0bed180-d0b3d183d180-bzz-80-foton-240-244_60e41c1cdc6e4-170x170.jpeg
Насос масляный DL190-12 (Xingtai 120),12A.05.100,2970.00,Неизвестно,Запчасти,В наличии,"Насос масляный DL190-12 (Xingtai 120)

Уважаемые клиенты, обратите внимание - комплектация товара может отличаться от фото на сайте,
в раз..",https://zip-agro.ru/nasos-maslyanyj-dl190-12-xingtai-120,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/9/d0bdd0b0d181d0bed181-d0bcd0b0d181d0bbd18fd0bdd18bd0b9-dl190-12-xingtai-120_60e42970982c8-170x170.jpeg
"Насос масляный KM130/138 (Xingtai 24B, Shifeng 244,Taishan 24)",1105-09200,1354.70,Неизвестно,Запчасти,В наличии,"Насос масляный KM130/138 (Xingtai 24B, Shifeng 244,Taishan 24)

Уважаемые клиенты, обратите внимание - комплектация товара может отличаться от фото на сайте,
в раз..",https://zip-agro.ru/nasos-maslyanyj-km130138-xingtai-24b-shifeng-244taishan-24,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/3/d0bdd0b0d181d0bed181-d0bcd0b0d181d0bbd18fd0bdd18bd0b9-km130-138-xingtai-24b-shifeng-244taishan-24_60e429757cb7a-170x170.jpeg
"Насос масляный R190 / R195, в сборе",100780,1167.00,Неизвестно,Запчасти,В наличии,"Насос масляный R190 / R195, в сборе

Насос масляный (маслонасос) для двигателя Р190 и Р195

Подходит на мототрактора и мотоблоки китайс..",https://zip-agro.ru/r190-r195-nasos-maslyanyj,https://zip-agro.ru/image/cache/catalog/zapshasti/skayt/5/605x450-R190_nasos_maslyanyi.e7c-170x170.jpg
"Насос масляный в сборе  TY290/295, Xingtai 180/220",TY290.05.001,3200.00,Неизвестно,Запчасти,В наличии,"Насос масляный в сборе  TY290/295, Xingtai 180/220

Насос масляный в сборе TY290/295, Xingtai 180/220
                                                 ..",https://zip-agro.ru/nasos-maslyanyj-v-sbore-ty290295-xingtai-180220,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/0/d0bdd0b0d181d0bed181-d0bcd0b0d181d0bbd18fd0bdd18bd0b9-d0b2-d181d0b1d0bed180d0b5-ty290-295-xingtai-180-220_60e42985a8694-170x170.jpeg
