title,article,price,brand,category,stock,description,url,image_url
Барабан тормозной Xingtai 120/220,10T.43.101,2890.00,Xingtai,Запчасти,В наличии,"Барабан тормозной Xingtai 120/220

Барабан тормозной Xingtai 120/220
Диаметр внутренний/наружный (мм) — 50/200
Высота (мм) — 62
Вес ..",https://zip-agro.ru/baraban-tormoznoj-xingtai-120220,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/3/d0b1d0b0d180d0b0d0b1d0b0d0bd-d182d0bed180d0bcd0bed0b7d0bdd0bed0b9-xingtai-120-220_60e41a4067f48-170x170.jpeg
Вал вилки 1 передачи и заднего хода Xingtai 120/220,10T.37.169,940.00,Xingtai,Запчасти,В наличии,"Вал вилки 1 передачи и заднего хода Xingtai 120/220

Валик вилки первой передачи и заднего хода Уралец/Синтай 
Длина - 200 мм.Диаметр - 15 мм.Глуби..",https://zip-agro.ru/val-vilki-1-peredachi-i-zadnego-hoda-xingtai-120220,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/4/d0b2d0b0d0bb-d0b2d0b8d0bbd0bad0b8-1-d0bfd0b5d180d0b5d0b4d0b0d187d0b8-d0b8-d0b7d0b0d0b4d0bdd0b5d0b3d0be-d185d0bed0b4d0b0-xingtai-120-220_60e41fa28e803-170x170.jpeg
Вал вилки 2-3 передачи Xingtai 120/220,10T.37.170,980.00,Xingtai,Запчасти,В наличии,"Вал вилки 2-3 передачи Xingtai 120/220

Размеры:Длина = 242 мм;Диаметр = 15 мм
                                                            ..",https://zip-agro.ru/val-vilki-2-3-peredachi-xingtai-120220,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/8/d0b2d0b0d0bb-d0b2d0b8d0bbd0bad0b8-2-3-d0bfd0b5d180d0b5d0b4d0b0d187d0b8-xingtai-120-220_60e41fa7b655f-170x170.jpeg
Вал вилки включения НШ Xingtai 120/220,16.37.216,1400.00,Xingtai,Запчасти,В наличии,"Вал вилки включения НШ Xingtai 120/220

Вал головки подъемной вилки Уралец/СинтайДлина - 80 мм.Наружный диаметр - 18/14 мм.Диаметр отверстия..",https://zip-agro.ru/val-vilki-vklyucheniya-nsh-xingtai-120220,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/3/d0b2d0b0d0bb-d0b2d0b8d0bbd0bad0b8-d0b2d0bad0bbd18ed187d0b5d0bdd0b8d18f-d0bdd188-xingtai-120-220_60e41a4f5d9c4-170x170.jpeg
Вал вилки повышенной/пониженной передачи Xingtai 120/220,10T.37.172,980.00,Xingtai,Запчасти,В наличии,"Вал вилки повышенной/пониженной передачи Xingtai 120/220

Валик вилки дополнительной передачи Уралец/СинтайРазмеры:Длина = 242 мм;Диаметр = 15 мм
           ..",https://zip-agro.ru/val-vilki-povyshennojponigennoj-peredachi-xingtai-120220,https://zip-agro.ru/image/cache/catalog/product/minitractor/val-vilki-dop-peredashi-170x170.jpg
"Вал ВОМ L-210 мм, Z-6 Xingtai 120/220",16.37.310,2860.00,Xingtai,Запчасти,В наличии,"Вал ВОМ L-210 мм, Z-6 Xingtai 120/220

Вал ВОМ Xingtai 120/220
Диаметр внутренний / наружный (мм) — 20 / 30
Количество шлицов (шт.) — 6
..",https://zip-agro.ru/val-vom-l-210-mm-z-6-xingtai-120220,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/8/d0b2d0b0d0bb-d0b2d0bed0bc-l-210mm-z-6-xingtai-120-220_60e41a552c038-170x170.jpeg
Вал ВОМ первый Z-6/6 Xingtai 120/220,16.37.202-1,2240.00,Xingtai,Запчасти,В наличии,"Вал ВОМ первый Z-6/6 Xingtai 120/220

Первый вал отбора мощностей ВОМ 6/6 зуб. Уралец/ Синтай 160-220
Диаметр внутренний / наружный (мм) ..",https://zip-agro.ru/val-vom-pervyj-z-66-xingtai-120220,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/4/d0b2d0b0d0bb-d0b2d0bed0bc-d0bfd0b5d180d0b2d18bd0b9-z-6-6-xingtai-120-220_60e41a5ef1de5-170x170.jpeg
"Вал ВОМ постоянного вращения L-370, Z-6/6 Xingtai 120/220",10T.37.115,3300.00,Xingtai,Запчасти,В наличии,"Вал ВОМ постоянного вращения L-370, Z-6/6 Xingtai 120/220

Вал ВОМ (не стандартный) Xingtai 120/220
Длина (мм) — 370
Количество шлицов (шт.) — 6 / 6
Диаметр..",https://zip-agro.ru/val-vom-postoyannogo-vrascheniya-l-370-z-66-xingtai-120220,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/8/d0b2d0b0d0bb-d0b2d0bed0bc-d0bfd0bed181d182d0bed18fd0bdd0bdd0bed0b3d0be-d0b2d180d0b0d189d0b5d0bdd0b8d18f-l-370-z-6-6-xingtai-120-220_60e41a63c1559-170x170.jpeg
"Вал первичный L-285 мм, Z-6/16/6 Xingtai 120/220",16.37.114,4070.00,Xingtai,Запчасти,В наличии,"Вал первичный L-285 мм, Z-6/16/6 Xingtai 120/220

Вал первичный L-285mm, Z-6/16/6 Xingtai 120/220
Диаметр (мм) — 28/30/16
Количество зубьев (шт.) — ..",https://zip-agro.ru/val-pervichnyj-l-285-mm-z-6166-xingtai-120220,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/5/d0b2d0b0d0bb-d0bfd0b5d180d0b2d0b8d187d0bdd18bd0b9-l-285mm-z-6-16-6-xingtai-120-220_60e41a748084c_1-170x170.jpeg
"Вал подьемника внутренний шлицевой L-340 мм, Z-23/29/23 Xingtai 120/220",150.55.103,3291.30,Xingtai,Запчасти,В наличии,"Вал подьемника внутренний шлицевой L-340 мм, Z-23/29/23 Xingtai 120/220

Вал подьемника внутренний шлицевой L-340mm, Z-23/29/23 Xingtai 120/220
Диаметр внутренний/наружный ..",https://zip-agro.ru/val-podemnika-vnutrennij-shlitsevoj-l-340-mm-z-232923-xingtai-120220,https://zip-agro.ru/image/cache/catalog/zapshasti/9/7937-1-170x170.JPEG
Вал привода НШ Xingtai 120/220,14D.54.202-3,1790.00,Xingtai,Запчасти,В наличии,"Вал привода НШ Xingtai 120/220

Вал шестерни привода НШ Xingtai 120/220
Диаметр внутренний/наружный (мм) — 20/24
Количество шлицов..",https://zip-agro.ru/val-privoda-nsh-xingtai-120220,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/3/d0b2d0b0d0bb-d0bfd180d0b8d0b2d0bed0b4d0b0-d0bdd188-xingtai-120-220_60e41fbb31f4e-170x170.jpeg
Вал рулевой в сборе L-600 мм (с червяком) нового образца — Xingtai 120/220,184.40.012,2129.80,Xingtai,Запчасти,В наличии,"Вал рулевой в сборе L-600 мм (с червяком) нового образца — Xingtai 120/220

Вал рулевой в сборе L-560mm с червяком (нового образца) тип 1 — Xingtai 120/220
Длина общая (мм) — ..",https://zip-agro.ru/val-rulevoj-v-sbore-l-600-mm-s-chervyakom-novogo-obraztsa-xingtai-120220,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/3/d0b2d0b0d0bb-d180d183d0bbd0b5d0b2d0bed0b9-d0b2-d181d0b1d0bed180d0b5-l-600mm-d181-d187d0b5d180d0b2d18fd0bad0bed0bc-d0bdd0bed0b2d0bed0b3_60e41a8f33876-170x170.jpeg
Вал шестерни заднего хода L-114 мм Xingtai 120/220,10.37.144,1090.00,Xingtai,Запчасти,В наличии,"Вал шестерни заднего хода L-114 мм Xingtai 120/220

Вал шестерни заднего хода Xingtai 120/220
Длина (мм) — 114
Вес (гр.) —
                          ..",https://zip-agro.ru/val-shesterni-zadnego-hoda-l-114-mm-xingtai-120220,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/5/d0b2d0b0d0bb-d188d0b5d181d182d0b5d180d0bdd0b8-d0b7d0b0d0b4d0bdd0b5d0b3d0be-d185d0bed0b4d0b0-l-114mm-xingtai-120-220_60e41b17e857e-170x170.jpeg
Вал шестерни неподвижной дополнительной передачи L-143 мм Xingtai 120/220,10T.37.120,857.90,Xingtai,Запчасти,В наличии,"Вал шестерни неподвижной дополнительной передачи L-143 мм Xingtai 120/220

Вал шестерни неподвижной дополнительной передачи L-143mm Xingtai 120/220
Диаметр (мм) — 25/23/20
Д..",https://zip-agro.ru/val-shesterni-nepodvignoj-dopolnitelnoj-peredachi-l-143-mm-xingtai-120220,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/9/d0b2d0b0d0bb-d188d0b5d181d182d0b5d180d0bdd0b8-d0bdd0b5d0bfd0bed0b4d0b2d0b8d0b6d0bdd0bed0b9-d0b4d0bed0bfd0bed0bbd0bdd0b8d182d0b5d0bb_60e41b1cbdc86-170x170.jpeg
Вал шестерни неподвижной дополнительной передачи Xingtai 120/220,16.37.208,2040.00,Xingtai,Запчасти,В наличии,"Вал шестерни неподвижной дополнительной передачи Xingtai 120/220

Вал шестерни неподвижной дополнительной передачи Xingtai 120/220
Диаметр (мм) — 25
Количество шлиц..",https://zip-agro.ru/val-shesterni-nepodvignoj-dopolnitelnoj-peredachi-xingtai-120220,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/1/d0b2d0b0d0bb-d188d0b5d181d182d0b5d180d0bdd0b8-d0bdd0b5d0bfd0bed0b4d0b2d0b8d0b6d0bdd0bed0b9-d0b4d0bed0bfd0bed0bbd0bdd0b8d182d0b5d0bb_60e41b21ab415_1-170x170.jpeg
Вал шестерни привода НШ Xingtai 120/220,14D.54.202-2,926.90,Xingtai,Запчасти,В наличии,"Вал шестерни привода НШ Xingtai 120/220

Уважаемые клиенты, обратите внимание - комплектация товара может отличаться от фото на сайте,
в раз..",https://zip-agro.ru/val-shesterni-privoda-nsh-xingtai-120220,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/5/d0b2d0b0d0bb-d188d0b5d181d182d0b5d180d0bdd0b8-d0bfd180d0b8d0b2d0bed0b4d0b0-d0bdd188-xingtai-120-220_60e41b268cac0-170x170.jpeg
