title,article,price,brand,category,stock,description,url,image_url
Вкладыши коренные пара ZN490BT,ZN490,2130.00,Неизвестно,Запчасти,В наличии,"Вкладыши коренные пара ZN490BT

Вкладыши коренные ZN490BT (комплект 10 шт.)
Диаметр (мм) — 65
Ширина вкладыша (мм) — 22
Толщина (..",https://zip-agro.ru/vkladyshi-korennye-para-zn490bt,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/0/d0b2d0bad0bbd0b0d0b4d18bd188d0b8-d0bad0bed180d0b5d0bdd0bdd18bd0b5-d0bfd0b0d180d0b0-zn490bt_60e427ba0b358-170x170.jpeg
Вкладыши упорные к-т ZN490 DongFeng 404,N85-03007+N85-0,554.30,Неизвестно,Запчасти,В наличии,"Вкладыши упорные к-т ZN490 DongFeng 404

Вкладыши упорные ZN490BT  DongFeng 404 (комплект 4 шт.)
Ширина (мм) — 2,9
Вес комплекта (гр.) — 80
 ..",https://zip-agro.ru/vkladyshi-upornye-k-t-zn490-dongfeng-404,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/4/d0b2d0bad0bbd0b0d0b4d18bd188d0b8-d183d0bfd0bed180d0bdd18bd0b5-d0ba-d182-zn490-dongfeng-404_60e427bed8074-170x170.jpeg
Вкладыши шатуна (8шт.) ZN490BT,ZN490,1590.00,Неизвестно,Запчасти,В наличии,"Вкладыши шатуна (8шт.) ZN490BT

Вкладыши шатуна ZN490BT (комплект 8 шт.)
Вес комплекта (гр.) — 255
                               ..",https://zip-agro.ru/vkladyshi-shatuna-8sht-zn490bt,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/7/d0b2d0bad0bbd0b0d0b4d18bd188d0b8-d188d0b0d182d183d0bdd0b0-8d188d182-zn490bt_60e427c41e8f8-170x170.jpeg
"Втулка распредвала ZN490BT, ZN390, ZN485 DongFeng 404, Chery 244/354/404",N85-03103,425.50,Неизвестно,Запчасти,В наличии,"Втулка распредвала ZN490BT, ZN390, ZN485 DongFeng 404, Chery 244/354/404

Втулка распредвала ZN490BT ZN390 ZN485 DongFeng 404 Chery 244/354/404
Диаметр внутренний/наружный (м..",https://zip-agro.ru/vtulka-raspredvala-zn490bt-zn390-zn485-dongfeng-404-chery-244354404,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/1/d0b2d182d183d0bbd0bad0b0-d180d0b0d181d0bfd180d0b5d0b4d0b2d0b0d0bbd0b0-zn490bt-zn390-zn485-dongfeng-404-chery-244-354-404_60e427c8cde4d-170x170.jpeg
"Втулка распредвала крайняя ZN490BT, ZN390, ZN485 DongFeng 404, Chery 244/354/404",N85-03109,425.50,Неизвестно,Запчасти,В наличии,"Втулка распредвала крайняя ZN490BT, ZN390, ZN485 DongFeng 404, Chery 244/354/404

Втулка распредвала крайняя ZN490BT ZN390 ZN485 DongFeng 404 Chery 244/354/404
Диаметр внутренний/нар..",https://zip-agro.ru/vtulka-raspredvala-krajnyaya-zn490bt-zn390-zn485-dongfeng-404-chery-244354404,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/5/d0b2d182d183d0bbd0bad0b0-d180d0b0d181d0bfd180d0b5d0b4d0b2d0b0d0bbd0b0-d0bad180d0b0d0b9d0bdd18fd18f-zn490bt-zn390-zn485-dongfeng-404-chery-244-354-404_60e427ce300e9-170x170.jpeg
"Втулка распредвала средняя ZN490BT, ZN390, ZN485 DongFeng 404, Chery 244/354/404",N85-03112,425.50,Неизвестно,Запчасти,В наличии,"Втулка распредвала средняя ZN490BT, ZN390, ZN485 DongFeng 404, Chery 244/354/404

Втулка распредвала средняя ZN490BT ZN390 ZN485 DongFeng 404 Chery 244/354/404
Диаметр внутренний/нар..",https://zip-agro.ru/vtulka-raspredvala-srednyaya-zn490bt-zn390-zn485-dongfeng-404-chery-244354404,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/9/d0b2d182d183d0bbd0bad0b0-d180d0b0d181d0bfd180d0b5d0b4d0b2d0b0d0bbd0b0-d181d180d0b5d0b4d0bdd18fd18f-zn490bt-zn390-zn485-dongfeng-404-chery-244-354-404_60e427d3df37f-170x170.jpeg
Гильза блока цилиндров ZN490BT,N90-03003,1937.75,Неизвестно,Запчасти,В наличии,"Гильза блока цилиндров ZN490BT

Гильза цилиндра ZN490BT
Высота общая (мм) — 162
Диаметр снизу (мм) — 100
Диаметр сверху (мм) — 108
Д..",https://zip-agro.ru/gilza-bloka-tsilindrov-zn490bt,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/6/d0b3d0b8d0bbd18cd0b7d0b0-zn490bt_60e427d96d57d-170x170.jpeg
"Клапан впускной ZN490BT, ZN390, ZN485 DongFeng 404, Chery 244/354/404",N85-02008,411.70,Неизвестно,Запчасти,В наличии,"Клапан впускной ZN490BT, ZN390, ZN485 DongFeng 404, Chery 244/354/404

Клапан впускной ZN490BT ZN390 ZN485 DongFeng 404 Chery 244/354/404
Длина (мм) — 119
Диаметр ножки (м..",https://zip-agro.ru/klapan-vpusknoj-zn490bt-zn390-zn485-dongfeng-404-chery-244354404,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/8/d0bad0bbd0b0d0bfd0b0d0bd-d0b2d0bfd183d181d0bad0bdd0bed0b9-zn490bt-zn390-zn485-dongfeng-404-chery-244-354-404_60e427dfe6811-170x170.jpeg
"Клапан выпускной ZN490BT, ZN390, ZN485 DongFeng 404, Chery 244/354/404",N85-02007,411.70,Неизвестно,Запчасти,В наличии,"Клапан выпускной ZN490BT, ZN390, ZN485 DongFeng 404, Chery 244/354/404

Клапан выпускной ZN490BT ZN390 ZN485 DongFeng 404 Chery 244/354/404
Длина (мм) — 117
Диаметр ножки (..",https://zip-agro.ru/klapan-vypusknoj-zn490bt-zn390-zn485-dongfeng-404-chery-244354404,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/2/d0bad0bbd0b0d0bfd0b0d0bd-d0b2d18bd0bfd183d181d0bad0bdd0bed0b9-zn490bt-zn390-zn485-dongfeng-404-chery-244-354-404_60e4282faa8d3-170x170.jpeg
Клапанный механизм в сборе ZN490BT ZN390 ZN485 DongFeng 404 Chery 354/404,N485-02200,5593.60,Неизвестно,Запчасти,В наличии,"Клапанный механизм в сборе ZN490BT ZN390 ZN485 DongFeng 404 Chery 354/404

Ось коромысел в сборе ZN490BT ZN390 ZN485 DongFeng 404 Chery 354/404
Длина общая (мм) — 450
Вес (гр...",https://zip-agro.ru/klapannyj-mehanizm-v-sbore-zn490bt-zn390-zn485-dongfeng-404-chery-354404,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/7/d0bad0bbd0b0d0bfd0b0d0bdd0bdd18bd0b9-d0bcd0b5d185d0b0d0bdd0b8d0b7d0bc-d0b2-d181d0b1d0bed180d0b5-zn490bt-zn390-zn485-dongfeng-404-chery-354-404_60e427e54c825-170x170.jpeg
