ID,Название,Slug,Цена,Category ID,Категория,Производитель,В наличии,Есть фото,Дата создания
12059,Дизельный двигатель SF138-2,universal-dizelnyy-dvigatel-sf138-2,108100.0,302,ДВС в Сборе,UNIVERSAL,ДА,ДА,2025-11-22T13:30:51.905277+00:00
12063,Дизельный двигатель ZS1100-T,universal-dizelnyy-dvigatel-zs1100-t,69000.0,302,ДВС в Сборе,UNIVERSAL,ДА,ДА,2025-11-22T13:30:51.905277+00:00
12045,Двигатель дизельный R195 М (12 л.с) с электростартером и фарой,universal-dvigatel-dizelnyy-r195-m-12-ls-s-elektrostarterom-i-faroy,55000.0,302,ДВС в Сборе,Xingtai,ДА,ДА,2025-11-22T13:30:51.905277+00:00
12054,Дизельный двигатель R180AN,universal-dizelnyy-dvigatel-r180an,44910.0,302,ДВС в Сборе,Xingtai,ДА,ДА,2025-11-22T13:30:51.905277+00:00
12055,Дизельный двигатель R180ANE,universal-dizelnyy-dvigatel-r180ane,55900.0,302,ДВС в Сборе,Xingtai,ДА,ДА,2025-11-22T13:30:51.905277+00:00
12056,Дизельный двигатель R190ANE,universal-dizelnyy-dvigatel-r190ane,64900.0,302,ДВС в Сборе,Xingtai,ДА,ДА,2025-11-22T13:30:51.905277+00:00
12057,Дизельный двигатель R195-T,universal-dizelnyy-dvigatel-r195-t,69000.0,302,ДВС в Сборе,Xingtai,ДА,ДА,2025-11-22T13:30:51.905277+00:00
12064,Дизельный двигатель ZS1115-T,universal-dizelnyy-dvigatel-zs1115-t,93693.0,302,ДВС в Сборе,Xingtai,ДА,ДА,2025-11-22T13:30:51.905277+00:00
20863,"Блок цилиндров TTG КМ385ВТ DongFeng 240/244, Foton 240/244, ..",dongfeng-blok-tsilindrov-ttg-km385vt-dongfeng-240244-foton-240244,18516.0,303,Запчасти на ДВС,DongFeng,ДА,ДА,2025-11-22T13:31:30.079829+00:00
13626,Блок цилиндров TY295IT (JD 295) “голый”,universal-blok-tsilindrov-ty295it-jd-295-golyy,36400.0,303,Запчасти на ДВС,DongFeng,ДА,ДА,2025-11-22T13:30:59.521355+00:00
13440,Блок цилиндров ZN490 ВТ “голый”,universal-blok-tsilindrov-zn490-vt-golyy,60430.0,303,Запчасти на ДВС,DongFeng,ДА,ДА,2025-11-22T13:30:58.93755+00:00
11546,"Блок цилиндров КМ385ВТ DongFeng 240/244, Foton 240/244, Jinma 240/244",неизвестно-blok-tsilindrov-km385vt-dongfeng-240244-foton-240244-jinma-240244,39990.0,303,Запчасти на ДВС,DongFeng,ДА,ДА,2025-11-22T13:30:49.637097+00:00
11547,Болт головки блока цилиндров KM385BT,неизвестно-bolt-golovki-bloka-tsilindrov-km385bt,304.75,303,Запчасти на ДВС,DongFeng,ДА,ДА,2025-11-22T13:30:49.637097+00:00
20864,Болт головки блока цилиндров TTG на дизельный двигатель KM38..,dongfeng-bolt-golovki-bloka-tsilindrov-ttg-na-dizelnyy-dvigatel-km38,152.0,303,Запчасти на ДВС,DongFeng,ДА,ДА,2025-11-22T13:31:30.079829+00:00
20865,Болт регулировки зазора клапана TTG дизельного двигателя КМ3..,dongfeng-bolt-regulirovki-zazora-klapana-ttg-dizelnogo-dvigatelya-km3,47.0,303,Запчасти на ДВС,DongFeng,ДА,ДА,2025-11-22T13:31:30.079829+00:00
20866,Болт регулировки зазора клапана TTG на трактор DongFeng 240/..,dongfeng-bolt-regulirovki-zazora-klapana-ttg-na-traktor-dongfeng-240,36.0,303,Запчасти на ДВС,DongFeng,ДА,ДА,2025-11-22T13:31:30.079829+00:00
11548,"Болт регулировки зазора клапана КМ385ВТ DongFeng 240/244, Foton 240/244, Jinma 240/244",неизвестно-bolt-regulirovki-zazora-klapana-km385vt-dongfeng-240244-foton-240244-jinma-240244,85.1,303,Запчасти на ДВС,DongFeng,ДА,ДА,2025-11-22T13:30:49.637097+00:00
11549,Болт шатуна KM385BT,неизвестно-bolt-shatuna-km385bt,266.8,303,Запчасти на ДВС,DongFeng,ДА,ДА,2025-11-22T13:30:49.637097+00:00
11550,Вал водяного насоса KM385BT,неизвестно-val-vodyanogo-nasosa-km385bt,715.3,303,Запчасти на ДВС,DongFeng,ДА,ДА,2025-11-22T13:30:49.637097+00:00
20868,Вал водяного насоса на дизельный двигатель KM385BT,dongfeng-val-vodyanogo-nasosa-na-dizelnyy-dvigatel-km385bt,416.0,303,Запчасти на ДВС,DongFeng,ДА,ДА,2025-11-22T13:31:30.079829+00:00
20869,Вал декомпресcии L-335 мм КМ385ВТ,dongfeng-val-dekomprescii-l-335-mm-km385vt,221.0,303,Запчасти на ДВС,DongFeng,ДА,ДА,2025-11-22T13:31:30.079829+00:00
