ID,Название,Текущая категория,Цена,В наличии,Тип запчасти (авто),Предлагаемое действие
12967,Вал под пружины 6 витков (6мм) D=34 мм пресс-подборщика YK0850/YK0870,Пресс-подборщики,3380.0,ДА,Вал,Добавить в метаданные: part_type=Вал
12973,Вал редуктора пресс-подборщика YK0890 оранж (6 шлицов),Пресс-подборщики,7120.0,ДА,Вал,Добавить в метаданные: part_type=Вал
12211,"Вал карданный 6*6 шлицов, 1200 мм, трехлимонник, крестовина 30,2х106,3 (50-80 л.с.) с кожухом",Карданные валы,10370.0,ДА,Вал,Добавить в метаданные: part_type=Вал
12213,"Вал карданный 6*6 шлицов, 1500 мм, трехлимонник, крестовина 30,2х106,3 (50-80 л.с.) с кожухом",Карданные валы,11440.0,ДА,Вал,Добавить в метаданные: part_type=Вал
12220,"Вал карданный 6*6 шлицов, 660 мм, квадрат, крестовина 30х88 (35-60 л.с.)",Карданные валы,3960.0,ДА,Вал,Добавить в метаданные: part_type=Вал
12227,"Вал карданный 6*6 шлицов, 770 мм, квадрат, крестовина 30х88 (35-60 л.с.)",Карданные валы,4770.0,ДА,Вал,Добавить в метаданные: part_type=Вал
12234,"Вал карданный 6*8 шлицов, 1000 мм, трехлимонник, крестовина 24х63 (20-30 л.с.) с кожухом",Карданные валы,5830.0,ДА,Вал,Добавить в метаданные: part_type=Вал
12242,"Вал карданный 6*8 шлицов, 1200 мм, трехлимонник, крестовина 27х74,5 (25-45 л.с.) б/к",Карданные валы,6540.0,ДА,Вал,Добавить в метаданные: part_type=Вал
12246,"Вал карданный 6*8 шлицов, 660 мм, трехлимонник, крестовина 24х63 (20-30 л.с.) б/к",Карданные валы,4240.0,ДА,Вал,Добавить в метаданные: part_type=Вал
12248,"Вал карданный 6*8 шлицов, 730 мм, квадрат, крестовина 30х88 (35-60 л.с.)",Карданные валы,4590.0,ДА,Вал,Добавить в метаданные: part_type=Вал
12255,"Вал карданный 6*8 шлицов, 800 мм, квадрат, крестовина 30х88 (35-60 л.с.)",Карданные валы,4530.0,ДА,Вал,Добавить в метаданные: part_type=Вал
12269,"Вал карданный 8*8 шлицов, 1200 мм, трехлимонник, крестовина 27х74,5 (25-45 л.с) с кожухом",Карданные валы,8500.0,ДА,Вал,Добавить в метаданные: part_type=Вал
12273,"Вал карданный 8*8 шлицов, 1500 мм, трехлимонник, крестовина 35х98 (65-100 л.с.) с кожухом",Карданные валы,11610.0,ДА,Вал,Добавить в метаданные: part_type=Вал
12277,"Вал карданный 8*8 шлицов, 700 мм, квадрат, крестовина 30х88 (35-60 л.с.)",Карданные валы,4490.0,ДА,Вал,Добавить в метаданные: part_type=Вал
12278,"Вал карданный 8*8 шлицов, 720 мм, квадрат, крестовина 30х88 (35-60 л.с.)",Карданные валы,4770.0,ДА,Вал,Добавить в метаданные: part_type=Вал
12285,Крестовина карданного вала 22х54,Карданные валы,700.0,ДА,Вал,Добавить в метаданные: part_type=Вал
12293,"Крестовина карданного вала 30,2х92",Карданные валы,1260.0,ДА,Вал,Добавить в метаданные: part_type=Вал
12301,Шарнир карданного вала (ГУК) 8 шлицов (сечение трехлимонник) D=35 мм,Карданные валы,3600.0,ДА,Вал,Добавить в метаданные: part_type=Вал
12309,Муфта фрикционная карданного вала универсальная 6*6 шлицов 900-1200 Нм,Карданные валы,8330.0,ДА,Вал,Добавить в метаданные: part_type=Вал
12317,Обгонная муфта карданного вала 6*6 для тракторов до 70 л.с 3500 Нм,Карданные валы,4900.0,ДА,Вал,Добавить в метаданные: part_type=Вал
12323,Переходник (адаптер) карданного вала 21*8 шлицов,Карданные валы,1920.0,ДА,Вал,Добавить в метаданные: part_type=Вал
12331,Вал ведомый 25мм углового редуктора (1:1) (под шпонку),Запчасти на Минитракторы,2380.0,ДА,Вал,Добавить в метаданные: part_type=Вал
11233,Вал вторичный (квадрат) L=190 мм Т25 (2017),Запчасти на Минитракторы,3448.0,ДА,Вал,Добавить в метаданные: part_type=Вал
12388,Сальник коленвала 95x120x12 двигателя 4L100BT,Запчасти на ДВС,189.0,ДА,Вал,Добавить в метаданные: part_type=Вал
12556,Подшипник 776701 на вал горизонтальный рулевой колонки,Рулевое управление,715.0,ДА,Вал,Добавить в метаданные: part_type=Вал
13622,Шестерня распределительного вала DLH/ DL,Запчасти на ДВС,2190.0,ДА,Вал,Добавить в метаданные: part_type=Вал
11242,Вал первичный Т25 (2017),Запчасти на Минитракторы,12000.0,ДА,Вал,Добавить в метаданные: part_type=Вал
13694,Стойка валика коромысла II TY295IT (JD),Запчасти на Минитракторы,820.0,ДА,Вал,Добавить в метаданные: part_type=Вал
12233,"Вал карданный 6*8 шлицов, 1000 мм, квадрат, крестовина 39х118 (80-150 л.с)",Карданные валы,6600.0,ДА,Вал,Добавить в метаданные: part_type=Вал
12235,"Вал карданный 6*8 шлицов, 1000 мм, трехлимонник, крестовина 27х74,5 (25-45 л.с) с кожухом",Карданные валы,6880.0,ДА,Вал,Добавить в метаданные: part_type=Вал
11267,Колесо зубчатое Z20 / Z26 вала задней передачи мотоблоков / минитракторов,Колёса и шины,1100.0,ДА,Вал,Добавить в метаданные: part_type=Вал
14192,Вал почвофрезы нижний L=270 мм,Почвофрезы,2200.0,ДА,Вал,Добавить в метаданные: part_type=Вал
11263,Колесо зубчатое Z15 / Z16 вала дифференциала правое минитракторов SCOUT T-15 / T-18 / T-25 кроме 2021,Ходовая часть,2500.0,ДА,Вал,Добавить в метаданные: part_type=Вал
14226,"Вал карданный 6*6 шлицов, 690 мм, трехлимонник, крестовина 24х63, с кожухом",Карданные валы,6000.0,ДА,Вал,Добавить в метаданные: part_type=Вал
12322,Переходник (адаптер) карданного вала 21*6 шлицев,Карданные валы,1920.0,ДА,Вал,Добавить в метаданные: part_type=Вал
13770,"Коленвал (Коленчатый вал) S195, S1100",Запчасти на ДВС,6370.0,ДА,Вал,Добавить в метаданные: part_type=Вал
12219,"Вал карданный 6*6 шлицов, 660 мм, квадрат, крестовина 35х98 (65-100 л.с )",Карданные валы,4770.0,ДА,Вал,Добавить в метаданные: part_type=Вал
13250,Вал бороны 1BQX под 6 дисков,Бороны,18150.0,ДА,Вал,Добавить в метаданные: part_type=Вал
